date,open,high,low,close,volume
2026-06-08T09:15:00+05:30,7105.5,7129.5,6951.5,7069,14438
2026-06-08T09:20:00+05:30,7070,7085,7040,7052,5530
2026-06-08T09:25:00+05:30,7048,7078.5,7041,7077.5,3554
2026-06-08T09:30:00+05:30,7082.5,7084,7062,7068,3065
2026-06-08T09:35:00+05:30,7068,7071,7031,7035.5,3257
2026-06-08T09:40:00+05:30,7047,7055,7005,7020,5502
2026-06-08T09:45:00+05:30,7020,7030.5,7008.5,7008.5,2406
2026-06-08T09:50:00+05:30,7008.5,7040,7008.5,7040,2326
2026-06-08T09:55:00+05:30,7036.5,7047,7036.5,7047,1076
2026-06-08T10:00:00+05:30,7045.5,7047,7025.5,7029,1744
2026-06-08T10:05:00+05:30,7029,7039,7020,7030.5,2954
2026-06-08T10:10:00+05:30,7029,7036.5,7025,7033,1291
2026-06-08T10:15:00+05:30,7030.5,7036,7008,7015.5,4181
2026-06-08T10:20:00+05:30,7019.5,7030,7014.5,7017,2031
2026-06-08T10:25:00+05:30,7015.5,7020,7009,7012,1593
2026-06-08T10:30:00+05:30,7012.5,7056,7009,7052.5,5159
2026-06-08T10:35:00+05:30,7055.5,7055.5,7035,7048.5,1648
2026-06-08T10:40:00+05:30,7048.5,7050,7030,7030,1646
2026-06-08T10:45:00+05:30,7030,7030,7020,7028,3570
2026-06-08T10:50:00+05:30,7028,7044.5,7026.5,7030.5,2792
2026-06-08T10:55:00+05:30,7037.5,7048,7030.5,7047,3213
2026-06-08T11:00:00+05:30,7047,7070,7044.5,7070,2404
2026-06-08T11:05:00+05:30,7069,7081.5,7066.5,7073.5,8470
2026-06-08T11:10:00+05:30,7073.5,7075,7050,7058,6108
2026-06-08T11:15:00+05:30,7058,7070,7051.5,7065.5,4625
2026-06-08T11:20:00+05:30,7065,7072,7065,7068.5,901
2026-06-08T11:25:00+05:30,7066,7072.5,7060.5,7067,1433
2026-06-08T11:30:00+05:30,7067,7075,7067,7070,716
2026-06-08T11:35:00+05:30,7070.5,7075.5,7069.5,7072.5,707
2026-06-08T11:40:00+05:30,7072.5,7077,7070,7075,942
2026-06-08T11:45:00+05:30,7075,7085.5,7071.5,7078.5,2773
2026-06-08T11:50:00+05:30,7078.5,7078.5,7071.5,7071.5,532
