date,open,high,low,close,volume
2026-06-08T09:15:00+05:30,1805.6,1818,1800,1813.9,142538
2026-06-08T09:20:00+05:30,1813.9,1819.2,1810.8,1817.1,49859
2026-06-08T09:25:00+05:30,1816.1,1822,1815.8,1818,39552
2026-06-08T09:30:00+05:30,1818,1825.5,1817.5,1820.2,50898
2026-06-08T09:35:00+05:30,1819.9,1824,1817.7,1823.7,65420
2026-06-08T09:40:00+05:30,1824,1828,1821.5,1823.3,90598
2026-06-08T09:45:00+05:30,1824.4,1826.3,1816.4,1816.4,37820
2026-06-08T09:50:00+05:30,1816.8,1820.9,1816,1819.8,32499
2026-06-08T09:55:00+05:30,1819.8,1823.8,1819.7,1823.2,23293
2026-06-08T10:00:00+05:30,1823.7,1823.9,1816.2,1817.6,26075
2026-06-08T10:05:00+05:30,1817.6,1820.1,1815.5,1818.8,23784
2026-06-08T10:10:00+05:30,1819.3,1821.1,1816,1816,16991
2026-06-08T10:15:00+05:30,1815.8,1818.4,1814.7,1817.9,17864
2026-06-08T10:20:00+05:30,1817.9,1818,1815,1817,19699
2026-06-08T10:25:00+05:30,1817.2,1817.5,1814.1,1816.4,21844
2026-06-08T10:30:00+05:30,1816.4,1822.8,1815.6,1822.5,22780
2026-06-08T10:35:00+05:30,1822.5,1822.5,1820.3,1821,12758
2026-06-08T10:40:00+05:30,1821,1821.6,1819.4,1820.8,31851
2026-06-08T10:45:00+05:30,1820.6,1821,1817,1820.8,20660
2026-06-08T10:50:00+05:30,1820.8,1822.8,1820.1,1821.6,16583
2026-06-08T10:55:00+05:30,1821.7,1823.4,1819.8,1822,20393
2026-06-08T11:00:00+05:30,1822.7,1824.8,1820.4,1823.8,25473
2026-06-08T11:05:00+05:30,1824,1824.5,1822.6,1824.3,25189
2026-06-08T11:10:00+05:30,1824.3,1824.8,1822.1,1824.4,26874
2026-06-08T11:15:00+05:30,1823.9,1824.4,1820.3,1822.3,25014
2026-06-08T11:20:00+05:30,1822.2,1823.9,1820.1,1821.6,18973
2026-06-08T11:25:00+05:30,1821.6,1823.8,1820.8,1823,21828
2026-06-08T11:30:00+05:30,1823,1824.7,1822.6,1824.2,17991
2026-06-08T11:35:00+05:30,1824.3,1827,1823.8,1826.2,38624
2026-06-08T11:40:00+05:30,1826.9,1827.8,1826.3,1827.6,24235
2026-06-08T11:45:00+05:30,1827.7,1827.9,1824.6,1827,22365
2026-06-08T11:50:00+05:30,1827,1827.5,1823.1,1824.8,24848
2026-06-08T11:55:00+05:30,1824.8,1825.3,1823.8,1825,13900
2026-06-08T12:00:00+05:30,1825,1825.8,1823.8,1825.6,12629
2026-06-08T12:05:00+05:30,1825.6,1825.7,1824,1825,16146
2026-06-08T12:10:00+05:30,1825.2,1831.8,1825,1830,42260
2026-06-08T12:15:00+05:30,1830,1831.9,1828,1828.7,21746
2026-06-08T12:20:00+05:30,1828.7,1829.6,1822.3,1822.8,72490
2026-06-08T12:25:00+05:30,1823.3,1824.1,1820,1823.8,51576
2026-06-08T12:30:00+05:30,1823.8,1824.3,1820.9,1822.4,38695
2026-06-08T12:35:00+05:30,1822.4,1822.5,1820,1822.3,50602
2026-06-08T12:40:00+05:30,1822.3,1827.5,1822.1,1826.7,21661
2026-06-08T12:45:00+05:30,1826.7,1829.1,1826,1829,26241
2026-06-08T12:50:00+05:30,1828.9,1832.8,1828.5,1831.3,25151
2026-06-08T12:55:00+05:30,1831.6,1832.3,1830,1831,17944
2026-06-08T13:00:00+05:30,1831,1832,1830.1,1830.7,20891
2026-06-08T13:05:00+05:30,1830.8,1831.5,1827,1829.3,21575
2026-06-08T13:10:00+05:30,1829.5,1829.9,1828.1,1828.5,16774
2026-06-08T13:15:00+05:30,1828.2,1829.9,1827.4,1829,19938
2026-06-08T13:20:00+05:30,1829,1830,1828.6,1830,17103
2026-06-08T13:25:00+05:30,1830,1830.1,1826,1827.7,22635
2026-06-08T13:30:00+05:30,1827.6,1828.1,1823.6,1824.6,23165
2026-06-08T13:35:00+05:30,1824.6,1825.1,1822.3,1823.5,14284
2026-06-08T13:40:00+05:30,1823.6,1823.6,1820.2,1820.9,20858
2026-06-08T13:45:00+05:30,1820.8,1821.1,1817.5,1820.3,46354
2026-06-08T13:50:00+05:30,1820.3,1821,1815.9,1816.8,19444
2026-06-08T13:55:00+05:30,1816.8,1817.8,1815.2,1817.1,13592
2026-06-08T14:00:00+05:30,1817.6,1818.6,1817.2,1817.6,18084
2026-06-08T14:05:00+05:30,1817.6,1817.6,1815.5,1816.1,22769
2026-06-08T14:10:00+05:30,1816.2,1816.2,1812.7,1813.9,34907
2026-06-08T14:15:00+05:30,1814,1815,1810,1814.7,28704
2026-06-08T14:20:00+05:30,1814.6,1814.6,1810.2,1811.4,20212
2026-06-08T14:25:00+05:30,1811.4,1813.5,1810.2,1813.3,32229
2026-06-08T14:30:00+05:30,1813.3,1815.4,1812.7,1813.6,15837
2026-06-08T14:35:00+05:30,1813.7,1815.7,1813.7,1814.8,20621
2026-06-08T14:40:00+05:30,1815,1818.5,1814.2,1818.5,22830
2026-06-08T14:45:00+05:30,1818.3,1818.3,1815.5,1815.8,17702
2026-06-08T14:50:00+05:30,1816,1816,1813.5,1813.9,17704
2026-06-08T14:55:00+05:30,1814,1816.9,1813,1814.7,23284
2026-06-08T15:00:00+05:30,1814.7,1814.8,1805.6,1807.2,103422
2026-06-08T15:05:00+05:30,1806.6,1811.1,1804.1,1806.3,99599
2026-06-08T15:10:00+05:30,1806.1,1810,1805.5,1810,91429
2026-06-08T15:15:00+05:30,1810,1810.2,1806.8,1807,79924
2026-06-08T15:20:00+05:30,1807,1807,1795,1796.4,121275
2026-06-08T15:25:00+05:30,1796.4,1797,1791.6,1796.2,71123
2026-06-09T09:15:00+05:30,1828,1828,1804,1809.3,108512
2026-06-09T09:20:00+05:30,1808.9,1811.6,1806.9,1806.9,42542
2026-06-09T09:25:00+05:30,1806.1,1807.3,1803.1,1804.6,27385
