date,open,high,low,close,volume
2026-06-08T09:15:00+05:30,230.97,230.97,227.39,230.31,2411546
2026-06-08T09:20:00+05:30,230.22,230.49,229.28,230.1,817823
2026-06-08T09:25:00+05:30,230.18,231.89,229.9,231.88,1341903
2026-06-08T09:30:00+05:30,231.76,234.35,231.47,233.18,2131478
2026-06-08T09:35:00+05:30,233.16,233.3,232.1,233.26,1041078
2026-06-08T09:40:00+05:30,233.3,233.9,232.1,233.06,1114121
2026-06-08T09:45:00+05:30,233.11,233.2,231.62,231.69,666433
2026-06-08T09:50:00+05:30,231.69,232.7,231.56,232.68,374884
2026-06-08T09:55:00+05:30,232.67,233.89,232.5,233.8,603658
2026-06-08T10:00:00+05:30,233.82,233.94,232.3,232.58,660051
2026-06-08T10:05:00+05:30,232.49,232.52,231.5,232.18,460967
2026-06-08T10:10:00+05:30,232.18,232.57,231.9,232.26,195691
2026-06-08T10:15:00+05:30,232.23,232.55,232.15,232.51,124237
2026-06-08T10:20:00+05:30,232.55,232.89,232.4,232.56,195484
2026-06-08T10:25:00+05:30,232.59,232.59,231.72,231.97,212454
2026-06-08T10:30:00+05:30,231.96,233.4,231.93,233.2,300414
2026-06-08T10:35:00+05:30,233.14,233.5,233.14,233.31,300291
2026-06-08T10:40:00+05:30,233.43,233.7,232.87,233,618269
2026-06-08T10:45:00+05:30,233,233.4,232.78,233.29,180016
2026-06-08T10:50:00+05:30,233.29,233.35,232.9,232.94,154714
2026-06-08T10:55:00+05:30,232.94,233.1,232.7,233.03,114233
2026-06-08T11:00:00+05:30,233.03,233.14,232.83,232.99,127873
2026-06-08T11:05:00+05:30,232.9,233.21,232.7,232.91,179907
2026-06-08T11:10:00+05:30,232.73,233.1,232.73,232.95,178117
2026-06-08T11:15:00+05:30,232.95,233.4,232.9,233.07,138354
2026-06-08T11:20:00+05:30,233.08,233.08,232.51,232.54,152293
2026-06-08T11:25:00+05:30,232.54,232.9,232.3,232.9,133699
2026-06-08T11:30:00+05:30,232.9,233.36,232.86,233.21,195192
2026-06-08T11:35:00+05:30,233.23,233.49,232.9,233.42,217096
2026-06-08T11:40:00+05:30,233.36,233.7,233.31,233.69,263187
2026-06-08T11:45:00+05:30,233.69,234,233.38,234,375580
2026-06-08T11:50:00+05:30,234,234,233.45,233.46,266664
2026-06-08T11:55:00+05:30,233.46,233.54,232.93,233.2,148745
2026-06-08T12:00:00+05:30,233.2,233.31,233.01,233.09,141477
2026-06-08T12:05:00+05:30,233.09,233.25,232.7,232.98,182550
2026-06-08T12:10:00+05:30,232.98,233.15,232.61,232.65,123283
2026-06-08T12:15:00+05:30,232.6,232.76,232.05,232.12,376106
2026-06-08T12:20:00+05:30,232.12,232.23,232.1,232.1,269810
2026-06-08T12:25:00+05:30,232.11,232.27,231.75,232,606197
2026-06-08T12:30:00+05:30,232,232.63,231.97,232.53,103973
2026-06-08T12:35:00+05:30,232.57,232.82,232.51,232.75,73300
2026-06-08T12:40:00+05:30,232.8,232.97,232.68,232.97,124969
2026-06-08T12:45:00+05:30,232.97,232.97,232.56,232.9,127111
2026-06-08T12:50:00+05:30,232.9,232.97,232.53,232.78,330192
2026-06-08T12:55:00+05:30,232.79,232.95,232.67,232.8,171593
