date,open,high,low,close,volume
2026-06-08T09:15:00+05:30,8211,8330,8211,8296,20160
2026-06-08T09:20:00+05:30,8296,8349,8294,8340.5,15727
2026-06-08T09:25:00+05:30,8340.5,8379,8332,8362,16641
2026-06-08T09:30:00+05:30,8362,8369,8351.5,8366.5,8809
2026-06-08T09:35:00+05:30,8367.5,8368.5,8330,8339.5,11181
2026-06-08T09:40:00+05:30,8344,8359.5,8340,8348,5870
2026-06-08T09:45:00+05:30,8347.5,8359,8342.5,8345,3305
2026-06-08T09:50:00+05:30,8345,8396.5,8345,8385,18407
2026-06-08T09:55:00+05:30,8385,8406.5,8385,8399.5,15765
2026-06-08T10:00:00+05:30,8406,8407,8390,8395.5,6815
2026-06-08T10:05:00+05:30,8395,8397,8384.5,8394,5281
2026-06-08T10:10:00+05:30,8393.5,8416,8384.5,8407,12534
2026-06-08T10:15:00+05:30,8406.5,8414,8402,8405,7622
2026-06-08T10:20:00+05:30,8405,8406,8395.5,8401,6414
2026-06-08T10:25:00+05:30,8398,8409,8390,8395.5,4844
2026-06-08T10:30:00+05:30,8395,8424,8394.5,8414.5,11210
2026-06-08T10:35:00+05:30,8414,8415.5,8402,8407.5,4096
2026-06-08T10:40:00+05:30,8406,8415,8404.5,8407.5,3441
2026-06-08T10:45:00+05:30,8407,8434.5,8407,8428,9884
2026-06-08T10:50:00+05:30,8429.5,8433.5,8422,8422,13442
2026-06-08T10:55:00+05:30,8422,8453,8415,8453,24000
2026-06-08T11:00:00+05:30,8448.5,8463.5,8446.5,8457.5,12501
2026-06-08T11:05:00+05:30,8457.5,8489.5,8453,8487,20946
2026-06-08T11:10:00+05:30,8487.5,8490,8455.5,8464.5,14997
2026-06-08T11:15:00+05:30,8464.5,8471,8456,8456.5,11405
2026-06-08T11:20:00+05:30,8458.5,8461.5,8436.5,8437.5,11383
2026-06-08T11:25:00+05:30,8439.5,8441,8427.5,8440,6140
2026-06-08T11:30:00+05:30,8440,8447,8438,8444,7083
2026-06-08T11:35:00+05:30,8445,8447,8442.5,8445,3037
2026-06-08T11:40:00+05:30,8445.5,8446,8430,8434,7353
2026-06-08T11:45:00+05:30,8434,8436,8428,8432.5,3788
2026-06-08T11:50:00+05:30,8432.5,8438,8427.5,8436,5804
2026-06-08T11:55:00+05:30,8436,8444.5,8436,8444,4303
