date,open,high,low,close,volume
2026-06-08T09:15:00+05:30,10251,10305,10241,10265,6087
2026-06-08T09:20:00+05:30,10265,10266,10240,10240,3629
2026-06-08T09:25:00+05:30,10240,10252,10235,10251,3007
2026-06-08T09:30:00+05:30,10251,10292,10245,10292,2689
2026-06-08T09:35:00+05:30,10284,10288,10261,10270,1079
2026-06-08T09:40:00+05:30,10270,10274,10258,10270,600
2026-06-08T09:45:00+05:30,10270,10277,10251,10256,597
2026-06-08T09:50:00+05:30,10251,10276,10246,10272,2692
2026-06-08T09:55:00+05:30,10275,10290,10274,10284,1208
2026-06-08T10:00:00+05:30,10283,10287,10269,10273,910
2026-06-08T10:05:00+05:30,10269,10282,10265,10270,656
2026-06-08T10:10:00+05:30,10270,10272,10260,10260,531
2026-06-08T10:15:00+05:30,10260,10262,10255,10257,583
2026-06-08T10:20:00+05:30,10256,10260,10252,10258,2502
2026-06-08T10:25:00+05:30,10258,10260,10251,10257,720
2026-06-08T10:30:00+05:30,10256,10290,10251,10285,2884
2026-06-08T10:35:00+05:30,10283,10284,10264,10274,1183
2026-06-08T10:40:00+05:30,10274,10279,10261,10264,460
2026-06-08T10:45:00+05:30,10264,10265,10255,10262,505
2026-06-08T10:50:00+05:30,10262,10277,10262,10271,467
2026-06-08T10:55:00+05:30,10271,10280,10266,10278,570
2026-06-08T11:00:00+05:30,10279,10279,10261,10270,426
2026-06-08T11:05:00+05:30,10270,10278,10264,10277,557
2026-06-08T11:10:00+05:30,10277,10277,10270,10271,274
2026-06-08T11:15:00+05:30,10271,10277,10264,10271,508
2026-06-08T11:20:00+05:30,10271,10271,10253,10259,473
2026-06-08T11:25:00+05:30,10255,10263,10253,10255,439
2026-06-08T11:30:00+05:30,10255,10267,10244,10256,2421
2026-06-08T11:35:00+05:30,10256,10270,10250,10266,1302
2026-06-08T11:40:00+05:30,10265,10274,10260,10267,1112
2026-06-08T11:45:00+05:30,10264,10273,10260,10267,1245
2026-06-08T11:50:00+05:30,10267,10277,10265,10277,1966
2026-06-08T11:55:00+05:30,10277,10282,10257,10268,1366
2026-06-08T12:00:00+05:30,10268,10273,10257,10262,1308
2026-06-08T12:05:00+05:30,10262,10268,10260,10260,1452
2026-06-08T12:10:00+05:30,10260,10278,10260,10263,1226
2026-06-08T12:15:00+05:30,10263,10268,10260,10260,1146
2026-06-08T12:20:00+05:30,10260,10263,10255,10259,1102
2026-06-08T12:25:00+05:30,10257,10260,10254,10256,1031
2026-06-08T12:30:00+05:30,10255,10261,10250,10250,1265
2026-06-08T12:35:00+05:30,10250,10257,10242,10249,1487
2026-06-08T12:40:00+05:30,10245,10259,10245,10250,1135
2026-06-08T12:45:00+05:30,10250,10255,10247,10252,1083
2026-06-08T12:50:00+05:30,10250,10255,10244,10247,1193
2026-06-08T12:55:00+05:30,10245,10253,10244,10248,1039
2026-06-08T13:00:00+05:30,10245,10250,10242,10242,1175
2026-06-08T13:05:00+05:30,10242,10244,10222,10233,3513
2026-06-08T13:10:00+05:30,10234,10234,10221,10225,1527
2026-06-08T13:15:00+05:30,10225,10255,10222,10245,2165
2026-06-08T13:20:00+05:30,10245,10248,10239,10247,1066
2026-06-08T13:25:00+05:30,10245,10262,10245,10262,2727
2026-06-08T13:30:00+05:30,10264,10267,10254,10264,1136
2026-06-08T13:35:00+05:30,10263,10263,10254,10261,975
2026-06-08T13:40:00+05:30,10263,10263,10251,10257,619
2026-06-08T13:45:00+05:30,10252,10265,10249,10265,717
2026-06-08T13:50:00+05:30,10265,10265,10259,10264,1727
2026-06-08T13:55:00+05:30,10264,10265,10262,10264,750
2026-06-08T14:00:00+05:30,10264,10278,10264,10278,1421
2026-06-08T14:05:00+05:30,10274,10280,10272,10277,1451
2026-06-08T14:10:00+05:30,10277,10279,10272,10274,2026
2026-06-08T14:15:00+05:30,10274,10279,10272,10279,1202
2026-06-08T14:20:00+05:30,10276,10280,10275,10280,1639
2026-06-08T14:25:00+05:30,10277,10280,10275,10278,710
2026-06-08T14:30:00+05:30,10275,10285,10275,10277,1801
2026-06-08T14:35:00+05:30,10280,10285,10276,10276,833
2026-06-08T14:40:00+05:30,10276,10287,10274,10287,1394
2026-06-08T14:45:00+05:30,10289,10290,10281,10286,2037
2026-06-08T14:50:00+05:30,10283,10287,10271,10276,1731
2026-06-08T14:55:00+05:30,10277,10292,10275,10282,2570
2026-06-08T15:00:00+05:30,10278,10278,10251,10255,5969
2026-06-08T15:05:00+05:30,10255,10280,10252,10274,4831
2026-06-08T15:10:00+05:30,10274,10274,10252,10257,3888
2026-06-08T15:15:00+05:30,10257,10257,10240,10241,2488
2026-06-08T15:20:00+05:30,10241,10241,10171,10178,8067
2026-06-08T15:25:00+05:30,10178,10182,10172,10180,4788
2026-06-09T09:15:00+05:30,10280,10322,10246,10313,5810
2026-06-09T09:20:00+05:30,10318,10339,10314,10326,3281
2026-06-09T09:25:00+05:30,10326,10328,10301,10305,3482
2026-06-09T09:30:00+05:30,10305,10310,10295,10300,1443
2026-06-09T09:35:00+05:30,10300,10300,10280,10288,1187
2026-06-09T09:40:00+05:30,10289,10294,10281,10285,789
2026-06-09T09:45:00+05:30,10280,10290,10273,10279,1195
2026-06-09T09:50:00+05:30,10273,10287,10248,10260,2505
2026-06-09T09:55:00+05:30,10257,10257,10242,10247,2117
2026-06-09T10:00:00+05:30,10247,10250,10230,10238,2316
2026-06-09T10:05:00+05:30,10233,10250,10233,10250,1378
2026-06-09T10:10:00+05:30,10242,10254,10233,10233,1588
2026-06-09T10:15:00+05:30,10233,10247,10228,10245,1655
2026-06-09T10:20:00+05:30,10242,10247,10234,10237,1568
2026-06-09T10:25:00+05:30,10237,10245,10234,10240,1220
2026-06-09T10:30:00+05:30,10240,10249,10240,10242,849
2026-06-09T10:35:00+05:30,10247,10257,10241,10255,1549
2026-06-09T10:40:00+05:30,10251,10296,10244,10295,4177
2026-06-09T10:45:00+05:30,10295,10297,10279,10284,2057
2026-06-09T10:50:00+05:30,10279,10290,10274,10287,1042
2026-06-09T10:55:00+05:30,10287,10330,10286,10327,3242
2026-06-09T11:00:00+05:30,10334,10334,10318,10325,2426
2026-06-09T11:05:00+05:30,10325,10334,10313,10316,2181
2026-06-09T11:10:00+05:30,10319,10320,10309,10310,976
2026-06-09T11:15:00+05:30,10310,10338,10305,10335,10928
2026-06-09T11:20:00+05:30,10335,10344,10324,10330,2789
2026-06-09T11:25:00+05:30,10330,10335,10310,10314,2828
2026-06-09T11:30:00+05:30,10314,10317,10305,10310,5168
2026-06-09T11:35:00+05:30,10310,10314,10301,10307,2344
2026-06-09T11:40:00+05:30,10307,10313,10302,10308,15147
2026-06-09T11:45:00+05:30,10308,10316,10301,10302,8188
