date,open,high,low,close,volume
2026-06-08T09:15:00+05:30,36895,36895,36515,36845,1389
2026-06-08T09:20:00+05:30,36845,36845,36765,36780,383
2026-06-08T09:25:00+05:30,36745,36880,36730,36880,406
2026-06-08T09:30:00+05:30,36850,36945,36735,36790,706
2026-06-08T09:35:00+05:30,36770,36875,36615,36645,655
2026-06-08T09:40:00+05:30,36640,36730,36635,36720,195
2026-06-08T09:45:00+05:30,36720,36855,36715,36770,261
2026-06-08T09:50:00+05:30,36750,36780,36710,36780,155
2026-06-08T09:55:00+05:30,36780,36840,36740,36825,146
2026-06-08T10:00:00+05:30,36825,36825,36790,36790,94
2026-06-08T10:05:00+05:30,36790,36790,36680,36775,227
2026-06-08T10:10:00+05:30,36775,36820,36765,36780,73
2026-06-08T10:15:00+05:30,36780,36780,36655,36745,328
2026-06-08T10:20:00+05:30,36745,36765,36725,36765,56
2026-06-08T10:25:00+05:30,36765,36765,36710,36720,200
2026-06-08T10:30:00+05:30,36720,37045,36720,36860,707
2026-06-08T10:35:00+05:30,36860,36890,36825,36860,97
2026-06-08T10:40:00+05:30,36860,36875,36790,36810,129
2026-06-08T10:45:00+05:30,36810,36810,36755,36785,116
2026-06-08T10:50:00+05:30,36785,36900,36775,36840,192
2026-06-08T10:55:00+05:30,36840,36860,36780,36825,58
2026-06-08T11:00:00+05:30,36825,36860,36800,36830,44
2026-06-08T11:05:00+05:30,36830,36885,36740,36745,245
2026-06-08T11:10:00+05:30,36745,36850,36725,36835,134
2026-06-08T11:15:00+05:30,36835,36860,36825,36845,84
2026-06-08T11:20:00+05:30,36830,36950,36785,36900,236
2026-06-08T11:25:00+05:30,36900,37045,36830,37030,484
2026-06-08T11:30:00+05:30,37030,37040,37000,37020,315
2026-06-08T11:35:00+05:30,37020,37040,37010,37015,81
2026-06-08T11:40:00+05:30,37015,37115,37010,37090,359
2026-06-08T11:45:00+05:30,37065,37115,36855,37110,2935
2026-06-08T11:50:00+05:30,37110,37110,37050,37080,123
2026-06-08T11:55:00+05:30,37080,37165,37080,37110,256
2026-06-08T12:00:00+05:30,37110,37135,37100,37100,208
2026-06-08T12:05:00+05:30,37100,37110,37100,37110,81
2026-06-08T12:10:00+05:30,37110,37195,37095,37110,344
2026-06-08T12:15:00+05:30,37110,37140,37100,37110,234
2026-06-08T12:20:00+05:30,37100,37155,37100,37155,59
2026-06-08T12:25:00+05:30,37155,37155,37125,37130,56
2026-06-08T12:30:00+05:30,37130,37155,37130,37130,165
2026-06-08T12:35:00+05:30,37130,37130,37095,37100,246
2026-06-08T12:40:00+05:30,37110,37115,37100,37115,110
2026-06-08T12:45:00+05:30,37115,37155,37100,37100,127
2026-06-08T12:50:00+05:30,37110,37150,37110,37130,49
2026-06-08T12:55:00+05:30,37130,37155,37125,37125,68
2026-06-08T13:00:00+05:30,37125,37200,37105,37165,163
2026-06-08T13:05:00+05:30,37165,37200,37150,37150,53
2026-06-08T13:10:00+05:30,37150,37170,37110,37115,122
2026-06-08T13:15:00+05:30,37115,37135,37100,37105,55
2026-06-08T13:20:00+05:30,37105,37125,37100,37100,42
2026-06-08T13:25:00+05:30,37100,37140,37100,37120,65
2026-06-08T13:30:00+05:30,37120,37130,37100,37115,105
2026-06-08T13:35:00+05:30,37115,37130,37100,37120,74
2026-06-08T13:40:00+05:30,37120,37120,37090,37100,278
2026-06-08T13:45:00+05:30,37100,37105,36910,37050,1836
2026-06-08T13:50:00+05:30,37050,37090,37040,37050,284
2026-06-08T13:55:00+05:30,37050,37065,36985,37050,1816
2026-06-08T14:00:00+05:30,37050,37090,37050,37070,139
2026-06-08T14:05:00+05:30,37070,37070,37010,37050,767
2026-06-08T14:10:00+05:30,37050,37050,36985,37045,864
2026-06-08T14:15:00+05:30,37045,37050,36955,37025,605
2026-06-08T14:20:00+05:30,37025,37025,36970,36970,237
2026-06-08T14:25:00+05:30,36970,36995,36960,36990,556
2026-06-08T14:30:00+05:30,36980,37020,36950,36985,937
2026-06-08T14:35:00+05:30,36985,36985,36950,36970,555
2026-06-08T14:40:00+05:30,36970,36970,36900,36960,1016
2026-06-08T14:45:00+05:30,36960,36980,36910,36915,214
2026-06-08T14:50:00+05:30,36915,36925,36820,36885,579
2026-06-08T14:55:00+05:30,36895,36930,36860,36930,1146
2026-06-08T15:00:00+05:30,36915,36915,36545,36560,2759
2026-06-08T15:05:00+05:30,36565,36625,36475,36565,1133
2026-06-08T15:10:00+05:30,36535,36575,36460,36575,714
2026-06-08T15:15:00+05:30,36575,36575,36485,36500,561
2026-06-08T15:20:00+05:30,36500,36525,36335,36360,728
2026-06-08T15:25:00+05:30,36360,36470,36350,36445,618
2026-06-09T09:15:00+05:30,36855,37015,36745,36925,2020
2026-06-09T09:20:00+05:30,36910,37000,36830,37000,655
2026-06-09T09:25:00+05:30,37000,37100,37000,37030,719
2026-06-09T09:30:00+05:30,37035,37050,36990,36995,349
2026-06-09T09:35:00+05:30,36970,37005,36885,36890,450
2026-06-09T09:40:00+05:30,36890,37005,36885,36985,293
2026-06-09T09:45:00+05:30,36985,37210,36985,37160,954
2026-06-09T09:50:00+05:30,37155,37430,37155,37410,1168
2026-06-09T09:55:00+05:30,37410,37645,37365,37580,1503
2026-06-09T10:00:00+05:30,37565,37600,37425,37425,1197
2026-06-09T10:05:00+05:30,37425,37455,37360,37375,343
2026-06-09T10:10:00+05:30,37375,37545,37375,37450,721
2026-06-09T10:15:00+05:30,37450,37550,37440,37535,588
2026-06-09T10:20:00+05:30,37535,37635,37500,37565,1287
2026-06-09T10:25:00+05:30,37555,37595,37530,37575,352
2026-06-09T10:30:00+05:30,37575,37575,37315,37320,1240
2026-06-09T10:35:00+05:30,37320,37605,37295,37600,1702
2026-06-09T10:40:00+05:30,37585,37625,37550,37560,590
2026-06-09T10:45:00+05:30,37560,37620,37555,37600,588
2026-06-09T10:50:00+05:30,37600,37610,37540,37590,261
2026-06-09T10:55:00+05:30,37590,37735,37570,37710,1106
