date,open,high,low,close,volume
2026-06-08T09:15:00+05:30,291.4,292.4,289.5,290.9,189987
2026-06-08T09:20:00+05:30,290.8,290.8,288.8,288.95,196368
2026-06-08T09:25:00+05:30,288.9,289.35,288.25,289.35,104049
2026-06-08T09:30:00+05:30,289.25,290.35,289.05,289.8,76017
2026-06-08T09:35:00+05:30,289.8,289.8,288.6,289.5,215822
2026-06-08T09:40:00+05:30,289.5,290.05,289.05,289.2,69362
2026-06-08T09:45:00+05:30,289.2,289.6,288.85,288.85,69850
2026-06-08T09:50:00+05:30,288.8,289,288.55,288.95,69544
2026-06-08T09:55:00+05:30,288.95,289.55,288.95,289.5,44729
2026-06-08T10:00:00+05:30,289.5,290,288.7,289.6,96065
2026-06-08T10:05:00+05:30,289.45,290,289.2,289.85,62261
2026-06-08T10:10:00+05:30,289.85,290.2,289.7,289.9,46947
2026-06-08T10:15:00+05:30,289.9,289.95,289.65,289.8,36525
2026-06-08T10:20:00+05:30,289.85,289.85,289.5,289.6,32359
2026-06-08T10:25:00+05:30,289.6,289.6,289,289.1,60052
2026-06-08T10:30:00+05:30,289.1,290.15,289.05,289.7,140848
2026-06-08T10:35:00+05:30,289.9,290.5,289.75,290.35,73861
2026-06-08T10:40:00+05:30,290.35,290.45,289.75,289.85,33485
2026-06-08T10:45:00+05:30,289.7,290.1,289.7,290.1,32768
2026-06-08T10:50:00+05:30,290.05,290.4,290,290.15,27173
2026-06-08T10:55:00+05:30,290.15,290.2,289.9,290.2,30770
2026-06-08T11:00:00+05:30,290.2,290.25,290,290,18627
2026-06-08T11:05:00+05:30,290,290.4,290,290.05,31316
2026-06-08T11:10:00+05:30,290.15,290.15,290,290.05,75767
2026-06-08T11:15:00+05:30,290.05,290.1,289.95,290,217207
2026-06-08T11:20:00+05:30,290,290.05,289.4,289.5,79850
2026-06-08T11:25:00+05:30,289.5,289.6,289.1,289.25,51215
2026-06-08T11:30:00+05:30,289.1,289.25,288,288.1,83219
2026-06-08T11:35:00+05:30,288,288.95,288,288.8,63579
2026-06-08T11:40:00+05:30,288.8,288.8,288.25,288.7,78130
2026-06-08T11:45:00+05:30,288.7,288.8,288.5,288.8,45164
2026-06-08T11:50:00+05:30,288.8,288.8,288.5,288.75,41633
2026-06-08T11:55:00+05:30,288.75,289,288.65,289,55042
2026-06-08T12:00:00+05:30,289,289,288.7,288.8,28461
2026-06-08T12:05:00+05:30,288.8,288.8,288.5,288.65,20011
2026-06-08T12:10:00+05:30,288.6,288.8,288.5,288.7,25151
2026-06-08T12:15:00+05:30,288.7,288.7,288.5,288.6,22354
2026-06-08T12:20:00+05:30,288.5,288.6,288.5,288.6,25800
2026-06-08T12:25:00+05:30,288.6,288.65,288.5,288.65,23602
2026-06-08T12:30:00+05:30,288.65,288.75,288.25,288.75,216049
2026-06-08T12:35:00+05:30,288.75,288.75,288.6,288.6,23943
2026-06-08T12:40:00+05:30,288.6,289.35,288.5,289.3,50351
2026-06-08T12:45:00+05:30,289.3,289.3,288.85,289.3,30334
2026-06-08T12:50:00+05:30,289.3,289.7,289.15,289.35,39859
2026-06-08T12:55:00+05:30,289.4,289.45,289.25,289.45,21116
2026-06-08T13:00:00+05:30,289.45,289.6,289.4,289.4,27598
2026-06-08T13:05:00+05:30,289.35,289.4,288.8,289.1,44227
2026-06-08T13:10:00+05:30,289.05,289.05,288.7,288.8,25960
2026-06-08T13:15:00+05:30,288.8,289,288.75,288.9,26945
2026-06-08T13:20:00+05:30,288.9,288.9,288.6,288.7,28692
2026-06-08T13:25:00+05:30,288.7,288.7,288.5,288.65,33335
2026-06-08T13:30:00+05:30,288.65,288.65,288.35,288.5,22817
2026-06-08T13:35:00+05:30,288.5,288.5,288.25,288.35,36649
2026-06-08T13:40:00+05:30,288.35,288.45,288.2,288.3,31871
2026-06-08T13:45:00+05:30,288.3,288.55,288.05,288.55,62623
2026-06-08T13:50:00+05:30,288.55,288.6,287.8,288.2,89498
2026-06-08T13:55:00+05:30,288.2,288.2,287.9,288.1,24694
2026-06-08T14:00:00+05:30,288.3,288.75,288.15,288.6,52022
2026-06-08T14:05:00+05:30,288.6,288.7,288.05,288.3,34320
2026-06-08T14:10:00+05:30,288.3,288.35,287.7,287.95,39578
2026-06-08T14:15:00+05:30,287.95,287.95,287.6,287.85,54983
2026-06-08T14:20:00+05:30,287.8,287.8,287.5,287.65,14130
2026-06-08T14:25:00+05:30,287.55,287.55,287.1,287.15,39922
2026-06-08T14:30:00+05:30,287.15,287.45,287,287.15,58707
2026-06-08T14:35:00+05:30,287.05,287.25,287.05,287.1,27896
2026-06-08T14:40:00+05:30,287.1,287.25,287,287.25,51400
2026-06-08T14:45:00+05:30,287.15,287.3,287,287.1,44190
2026-06-08T14:50:00+05:30,287,287.1,286.75,286.9,46597
2026-06-08T14:55:00+05:30,286.9,287.15,286.35,286.95,92250
2026-06-08T15:00:00+05:30,286.9,286.9,285.25,285.4,178313
2026-06-08T15:05:00+05:30,285.4,285.95,285.2,285.95,152950
2026-06-08T15:10:00+05:30,285.85,285.9,284.9,285.35,323271
2026-06-08T15:15:00+05:30,285.35,285.6,285.15,285.35,222642
2026-06-08T15:20:00+05:30,285.35,285.35,284.15,284.4,220377
2026-06-08T15:25:00+05:30,284.4,284.75,283.9,284.4,243292
2026-06-09T09:15:00+05:30,288.75,288.75,285.85,287.5,322427
2026-06-09T09:20:00+05:30,287.25,287.6,286.5,287.15,174594
2026-06-09T09:25:00+05:30,287.15,287.25,285.9,286,82074
2026-06-09T09:30:00+05:30,286.15,286.85,286,286.4,77402
2026-06-09T09:35:00+05:30,286.4,286.5,286.15,286.35,41693
2026-06-09T09:40:00+05:30,286.4,286.5,285.7,285.9,83547
2026-06-09T09:45:00+05:30,286.05,287.75,286,287,137222
2026-06-09T09:50:00+05:30,287.05,287.55,287,287.3,43704
2026-06-09T09:55:00+05:30,287.3,287.3,286.35,286.85,108862
2026-06-09T10:00:00+05:30,286.65,287.35,286.65,286.9,63039
2026-06-09T10:05:00+05:30,286.9,287.25,286.85,287.15,33517
2026-06-09T10:10:00+05:30,287.2,287.35,286.75,287.15,28833
2026-06-09T10:15:00+05:30,287.1,287.3,287.05,287.25,21514
2026-06-09T10:20:00+05:30,287.15,287.25,286.55,286.7,35199
2026-06-09T10:25:00+05:30,286.7,286.95,286.5,286.9,35028
2026-06-09T10:30:00+05:30,286.9,287.15,286.8,286.95,55043
2026-06-09T10:35:00+05:30,286.95,286.95,286.5,286.65,27734
2026-06-09T10:40:00+05:30,286.55,286.9,286.5,286.85,31928
2026-06-09T10:45:00+05:30,286.85,286.95,286.8,286.8,30358
2026-06-09T10:50:00+05:30,286.8,287.45,286.75,287.4,102177
2026-06-09T10:55:00+05:30,287.3,287.45,287.15,287.25,22401
2026-06-09T11:00:00+05:30,287.25,287.4,287,287.35,34129
2026-06-09T11:05:00+05:30,287.35,287.85,287.3,287.75,37927
2026-06-09T11:10:00+05:30,287.75,288.6,287.35,288.55,64519
2026-06-09T11:15:00+05:30,288.55,288.6,288,288,57682
