date,open,high,low,close,volume
2026-06-08T09:15:00+05:30,5094,5094,5036.5,5070,10839
2026-06-08T09:20:00+05:30,5067,5069.5,5055,5062.5,4637
2026-06-08T09:25:00+05:30,5065,5085,5058,5077.5,6700
2026-06-08T09:30:00+05:30,5078.5,5092.5,5075,5092,6455
2026-06-08T09:35:00+05:30,5091,5091,5070.5,5076,2284
2026-06-08T09:40:00+05:30,5076,5080,5069,5075,5004
2026-06-08T09:45:00+05:30,5078,5088,5070.5,5070.5,1526
2026-06-08T09:50:00+05:30,5070,5080,5068.5,5080,2868
2026-06-08T09:55:00+05:30,5080,5083,5077,5078.5,551
2026-06-08T10:00:00+05:30,5080,5080.5,5062,5067,2929
2026-06-08T10:05:00+05:30,5065,5070,5065,5069,894
2026-06-08T10:10:00+05:30,5069.5,5075,5061,5061,3122
2026-06-08T10:15:00+05:30,5060.5,5061.5,5052,5058.5,2542
2026-06-08T10:20:00+05:30,5057,5060.5,5055.5,5057,924
2026-06-08T10:25:00+05:30,5057,5058,5052,5053,3812
2026-06-08T10:30:00+05:30,5053,5058.5,5047,5051.5,7544
2026-06-08T10:35:00+05:30,5051.5,5069,5050.5,5066,10741
2026-06-08T10:40:00+05:30,5065,5068.5,5057.5,5059.5,2115
2026-06-08T10:45:00+05:30,5059,5060,5056,5056,3530
2026-06-08T10:50:00+05:30,5057,5057.5,5046,5047,3428
2026-06-08T10:55:00+05:30,5048.5,5050,5046,5050,1452
2026-06-08T11:00:00+05:30,5050,5057,5049,5056,8127
2026-06-08T11:05:00+05:30,5054.5,5060,5054,5056.5,1546
2026-06-08T11:10:00+05:30,5058,5059.5,5051,5059.5,2679
2026-06-08T11:15:00+05:30,5057,5065,5055,5062.5,2165
2026-06-08T11:20:00+05:30,5060.5,5067.5,5058,5065,1434
2026-06-08T11:25:00+05:30,5065,5068,5060,5064,3456
2026-06-08T11:30:00+05:30,5066,5067,5056,5061.5,3215
2026-06-08T11:35:00+05:30,5059,5063,5056.5,5062,1326
2026-06-08T11:40:00+05:30,5060,5064,5060,5062.5,1321
2026-06-08T11:45:00+05:30,5062.5,5062.5,5060,5060.5,1111
2026-06-08T11:50:00+05:30,5060.5,5061.5,5050,5052.5,2550
2026-06-08T11:55:00+05:30,5052.5,5054.5,5047.5,5054,1599
2026-06-08T12:00:00+05:30,5054,5057,5051,5056.5,1457
2026-06-08T12:05:00+05:30,5056.5,5061,5054.5,5061,902
2026-06-08T12:10:00+05:30,5061,5070.5,5056.5,5067.5,28305
2026-06-08T12:15:00+05:30,5067.5,5069,5062.5,5068.5,594
2026-06-08T12:20:00+05:30,5068.5,5072.5,5066,5070,1437
2026-06-08T12:25:00+05:30,5070,5072.5,5065,5072.5,1133
2026-06-08T12:30:00+05:30,5072.5,5074.5,5063,5064.5,1286
2026-06-08T12:35:00+05:30,5064.5,5067.5,5063,5065,1839
2026-06-08T12:40:00+05:30,5065,5065.5,5060.5,5065,927
2026-06-08T12:45:00+05:30,5065,5071,5062.5,5070.5,999
2026-06-08T12:50:00+05:30,5068,5071.5,5066,5068,3101
2026-06-08T12:55:00+05:30,5068,5069.5,5065,5065,1202
2026-06-08T13:00:00+05:30,5065,5070,5063,5069,3519
2026-06-08T13:05:00+05:30,5069,5075,5066.5,5073.5,706
2026-06-08T13:10:00+05:30,5073.5,5073.5,5069.5,5072,719
2026-06-08T13:15:00+05:30,5072,5073,5069.5,5071.5,485
2026-06-08T13:20:00+05:30,5071.5,5074,5069.5,5074,1060
2026-06-08T13:25:00+05:30,5074,5074,5070,5073.5,1986
2026-06-08T13:30:00+05:30,5071,5074.5,5070.5,5074,717
2026-06-08T13:35:00+05:30,5074,5074,5071,5071,983
2026-06-08T13:40:00+05:30,5073.5,5075,5071,5073.5,2891
2026-06-08T13:45:00+05:30,5073,5079.5,5067,5075.5,5264
