date,open,high,low,close,volume
2026-06-08T09:15:00+05:30,130.52,131.58,129.97,131.47,2012334
2026-06-08T09:20:00+05:30,131.47,131.52,130.89,131.41,962905
2026-06-08T09:25:00+05:30,131.41,132.14,131.17,131.71,1473440
2026-06-08T09:30:00+05:30,131.71,131.96,131.33,131.67,1395359
2026-06-08T09:35:00+05:30,131.66,131.8,131.22,131.29,553418
2026-06-08T09:40:00+05:30,131.31,131.44,130.88,131.41,762035
2026-06-08T09:45:00+05:30,131.47,131.68,131.16,131.2,744995
2026-06-08T09:50:00+05:30,131.24,131.3,130.92,130.98,401275
2026-06-08T09:55:00+05:30,130.95,131.41,130.95,131.34,473385
2026-06-08T10:00:00+05:30,131.41,131.41,130.88,130.91,386904
2026-06-08T10:05:00+05:30,130.86,130.86,130.5,130.63,459886
2026-06-08T10:10:00+05:30,130.63,130.67,130.35,130.41,262875
2026-06-08T10:15:00+05:30,130.41,130.44,130.21,130.43,230670
2026-06-08T10:20:00+05:30,130.46,130.48,130.11,130.22,429016
2026-06-08T10:25:00+05:30,130.22,130.43,129.36,129.56,1100700
2026-06-08T10:30:00+05:30,129.53,129.77,129.44,129.68,505562
2026-06-08T10:35:00+05:30,129.72,129.9,129.65,129.79,307734
2026-06-08T10:40:00+05:30,129.76,129.9,129.43,129.47,381216
2026-06-08T10:45:00+05:30,129.46,129.52,129.21,129.42,509196
2026-06-08T10:50:00+05:30,129.42,129.49,129.27,129.34,178667
2026-06-08T10:55:00+05:30,129.34,129.62,129.26,129.54,213398
2026-06-08T11:00:00+05:30,129.54,129.68,129.35,129.59,162399
2026-06-08T11:05:00+05:30,129.55,129.64,129.38,129.47,137436
2026-06-08T11:10:00+05:30,129.44,129.47,129.07,129.25,539415
2026-06-08T11:15:00+05:30,129.29,129.29,128.89,128.94,501835
2026-06-08T11:20:00+05:30,128.93,128.95,128.43,128.51,896692
2026-06-08T11:25:00+05:30,128.51,128.75,128.46,128.59,224704
2026-06-08T11:30:00+05:30,128.59,128.74,128.51,128.65,170623
2026-06-08T11:35:00+05:30,128.65,128.99,128.56,128.9,188080
2026-06-08T11:40:00+05:30,128.9,129.23,128.86,129.11,157484
2026-06-08T11:45:00+05:30,129.14,129.36,129.05,129.23,277138
2026-06-08T11:50:00+05:30,129.23,129.29,129.04,129.18,180608
2026-06-08T11:55:00+05:30,129.18,129.31,129.07,129.12,104366
2026-06-08T12:00:00+05:30,129.12,129.31,129.09,129.26,107427
2026-06-08T12:05:00+05:30,129.26,129.26,129.05,129.1,75803
2026-06-08T12:10:00+05:30,129.1,129.31,129.1,129.17,140656
2026-06-08T12:15:00+05:30,129.16,129.3,129.15,129.23,143292
2026-06-08T12:20:00+05:30,129.27,129.52,129.2,129.42,176351
2026-06-08T12:25:00+05:30,129.4,129.42,129.07,129.18,159507
2026-06-08T12:30:00+05:30,129.18,129.25,129.08,129.16,101296
2026-06-08T12:35:00+05:30,129.16,129.28,129.09,129.2,84772
2026-06-08T12:40:00+05:30,129.21,129.38,129.14,129.32,165528
2026-06-08T12:45:00+05:30,129.35,129.35,129.19,129.3,131734
2026-06-08T12:50:00+05:30,129.3,129.51,129.29,129.3,185701
2026-06-08T12:55:00+05:30,129.32,129.38,129.15,129.2,166862
2026-06-08T13:00:00+05:30,129.2,129.34,129.17,129.23,76566
2026-06-08T13:05:00+05:30,129.23,129.23,128.96,129.11,147184
2026-06-08T13:10:00+05:30,129.14,129.21,129.06,129.07,52796
2026-06-08T13:15:00+05:30,129.1,129.13,128.91,128.96,67977
2026-06-08T13:20:00+05:30,128.99,128.99,128.67,128.93,617242
2026-06-08T13:25:00+05:30,128.93,128.93,128.8,128.9,93532
2026-06-08T13:30:00+05:30,128.92,128.98,128.83,128.9,79399
2026-06-08T13:35:00+05:30,128.9,128.9,128.81,128.9,67755
2026-06-08T13:40:00+05:30,128.88,128.94,128.61,128.66,135083
2026-06-08T13:45:00+05:30,128.58,128.7,128.37,128.65,350994
2026-06-08T13:50:00+05:30,128.65,128.67,128.17,128.2,306359
2026-06-08T13:55:00+05:30,128.2,128.41,128.08,128.38,291823
2026-06-08T14:00:00+05:30,128.41,128.63,128.37,128.53,367792
2026-06-08T14:05:00+05:30,128.49,128.72,128.41,128.64,307235
2026-06-08T14:10:00+05:30,128.64,128.68,128.46,128.48,156079
2026-06-08T14:15:00+05:30,128.48,128.57,128.29,128.55,158039
2026-06-08T14:20:00+05:30,128.46,128.51,128.2,128.2,173032
2026-06-08T14:25:00+05:30,128.24,128.31,128.16,128.22,130849
2026-06-08T14:30:00+05:30,128.2,128.41,128.19,128.22,128596
2026-06-08T14:35:00+05:30,128.22,128.35,128.17,128.22,180968
2026-06-08T14:40:00+05:30,128.2,128.42,128.17,128.42,156664
2026-06-08T14:45:00+05:30,128.39,128.39,128.08,128.22,390698
2026-06-08T14:50:00+05:30,128.22,128.29,128.08,128.1,182054
2026-06-08T14:55:00+05:30,128.1,128.22,127.77,128.11,887006
2026-06-08T15:00:00+05:30,128.13,128.13,127.49,127.57,630201
2026-06-08T15:05:00+05:30,127.61,128.12,127.46,128.06,659429
2026-06-08T15:10:00+05:30,128.06,128.06,127.88,127.98,454836
2026-06-08T15:15:00+05:30,127.98,127.98,127.66,127.83,1061896
2026-06-08T15:20:00+05:30,127.83,127.83,127.5,127.54,854793
2026-06-08T15:25:00+05:30,127.54,127.59,127.2,127.4,915943
2026-06-09T09:15:00+05:30,127.2,128.85,127.2,128.75,1807605
2026-06-09T09:20:00+05:30,128.75,128.92,128.38,128.64,1336199
2026-06-09T09:25:00+05:30,128.64,128.83,128.31,128.47,998415
2026-06-09T09:30:00+05:30,128.59,128.59,128.17,128.22,840246
2026-06-09T09:35:00+05:30,128.22,128.87,128.2,128.76,2595075
2026-06-09T09:40:00+05:30,128.79,129.16,128.66,128.97,3133900
2026-06-09T09:45:00+05:30,128.96,129.18,128.75,128.75,1775147
2026-06-09T09:50:00+05:30,128.76,129.22,128.76,129.06,464967
2026-06-09T09:55:00+05:30,129.02,129.13,128.93,129,273091
2026-06-09T10:00:00+05:30,129.05,129.13,128.85,128.85,194568
2026-06-09T10:05:00+05:30,128.85,128.94,128.79,128.91,274722
2026-06-09T10:10:00+05:30,128.96,129.43,128.85,129.35,284027
2026-06-09T10:15:00+05:30,129.35,129.46,129.29,129.42,266571
2026-06-09T10:20:00+05:30,129.42,130.15,129.3,129.64,1125044
2026-06-09T10:25:00+05:30,129.71,129.71,129.53,129.54,191268
2026-06-09T10:30:00+05:30,129.54,129.72,129.53,129.59,239471
2026-06-09T10:35:00+05:30,129.62,129.64,129.34,129.47,516136
2026-06-09T10:40:00+05:30,129.46,129.69,129.43,129.62,157811
2026-06-09T10:45:00+05:30,129.62,129.71,129.48,129.58,178365
2026-06-09T10:50:00+05:30,129.58,130.44,129.53,130.26,627334
2026-06-09T10:55:00+05:30,130.26,130.36,129.99,130.36,507906
2026-06-09T11:00:00+05:30,130.35,130.44,130.11,130.35,403928
2026-06-09T11:05:00+05:30,130.35,131.07,130.3,130.92,894123
2026-06-09T11:10:00+05:30,130.92,131.08,130.51,130.51,882369
2026-06-09T11:15:00+05:30,130.51,130.96,130.46,130.88,604284
2026-06-09T11:20:00+05:30,130.88,130.98,130.69,130.69,671601
2026-06-09T11:25:00+05:30,130.69,130.88,130.53,130.81,461215
2026-06-09T11:30:00+05:30,130.81,130.97,130.71,130.97,288690
2026-06-09T11:35:00+05:30,130.97,131.02,130.9,130.94,419707
2026-06-09T11:40:00+05:30,130.94,131.25,130.64,131.19,3616920
2026-06-09T11:45:00+05:30,131.16,132.24,131.04,131.85,2774369
2026-06-09T11:50:00+05:30,131.85,132.42,131.71,132.15,1325955
2026-06-09T11:55:00+05:30,132.15,132.43,132.14,132.35,627201
2026-06-09T12:00:00+05:30,132.35,132.53,132.22,132.37,928547
2026-06-09T12:05:00+05:30,132.37,132.62,132.2,132.24,803846
2026-06-09T12:10:00+05:30,132.24,132.72,132.2,132.53,1283964
2026-06-09T12:15:00+05:30,132.53,132.62,132.34,132.52,440698
2026-06-09T12:20:00+05:30,132.51,132.67,132.33,132.33,465302
2026-06-09T12:25:00+05:30,132.35,132.51,132.29,132.39,353004
2026-06-09T12:30:00+05:30,132.39,133.07,132.34,132.95,1040847
2026-06-09T12:35:00+05:30,132.95,133.07,132.66,132.74,802828
2026-06-09T12:40:00+05:30,132.71,132.76,132.34,132.45,473840
2026-06-09T12:45:00+05:30,132.44,132.52,132.37,132.39,228808
2026-06-09T12:50:00+05:30,132.38,132.43,132.16,132.19,477254
2026-06-09T12:55:00+05:30,132.19,132.2,131.95,132.09,616233
2026-06-09T13:00:00+05:30,132.08,132.23,131.8,131.8,459580
2026-06-09T13:05:00+05:30,131.81,132.15,131.8,132.01,375855
2026-06-09T13:10:00+05:30,132.04,132.48,131.97,132.33,674700
2026-06-09T13:15:00+05:30,132.31,132.56,132.18,132.29,479420
2026-06-09T13:20:00+05:30,132.26,132.5,132.25,132.35,527766
2026-06-09T13:25:00+05:30,132.35,132.62,132.33,132.6,547645
2026-06-09T13:30:00+05:30,132.6,132.71,132.5,132.55,495887
2026-06-09T13:35:00+05:30,132.57,132.82,132.52,132.77,424112
2026-06-09T13:40:00+05:30,132.81,132.91,132.65,132.78,486159
2026-06-09T13:45:00+05:30,132.78,132.82,132.62,132.66,302204
2026-06-09T13:50:00+05:30,132.63,132.72,132.4,132.61,386899
2026-06-09T13:55:00+05:30,132.61,132.72,132.44,132.62,464914
2026-06-09T14:00:00+05:30,132.61,132.7,132.55,132.62,224106
2026-06-09T14:05:00+05:30,132.58,132.85,132.58,132.73,398230
2026-06-09T14:10:00+05:30,132.73,132.81,132.51,132.51,343146
2026-06-09T14:15:00+05:30,132.51,132.52,132.32,132.35,209880
2026-06-09T14:20:00+05:30,132.34,132.34,132.05,132.13,428355
2026-06-09T14:25:00+05:30,132.11,132.44,132.11,132.39,209326
2026-06-09T14:30:00+05:30,132.36,132.53,132.29,132.48,255680
2026-06-09T14:35:00+05:30,132.48,132.71,132.4,132.7,333995
2026-06-09T14:40:00+05:30,132.7,133.21,132.7,132.92,1390278
2026-06-09T14:45:00+05:30,132.92,132.98,132.75,132.82,431929
2026-06-09T14:50:00+05:30,132.82,132.97,132.76,132.89,424528
2026-06-09T14:55:00+05:30,132.89,132.93,132.8,132.84,390691
2026-06-09T15:00:00+05:30,132.84,133.18,132.5,133.16,2129270
2026-06-09T15:05:00+05:30,133.16,133.3,133.12,133.18,698726
2026-06-09T15:10:00+05:30,133.17,133.25,133.11,133.14,665689
2026-06-09T15:15:00+05:30,133.14,133.21,133.1,133.19,1000029
2026-06-09T15:20:00+05:30,133.19,133.31,133.04,133.11,2322874
