date,open,high,low,close,volume
2026-06-08T09:15:00+05:30,920,923.45,902.35,923.45,438332
2026-06-08T09:20:00+05:30,923.5,927,920.25,925.85,179554
2026-06-08T09:25:00+05:30,925.25,928.1,923.35,927.7,100709
2026-06-08T09:30:00+05:30,927.85,929.75,926.05,927.5,74685
2026-06-08T09:35:00+05:30,927.5,928.5,922.6,925.3,184722
2026-06-08T09:40:00+05:30,925.55,929.05,925,927.5,47445
2026-06-08T09:45:00+05:30,927.25,929.6,925.85,926,36113
2026-06-08T09:50:00+05:30,926,930.8,925.6,930.5,43848
2026-06-08T09:55:00+05:30,930.5,931.8,928.8,930.05,46586
2026-06-08T10:00:00+05:30,929.65,930.65,928,930.35,49882
2026-06-08T10:05:00+05:30,930,933,928,931.55,41164
2026-06-08T10:10:00+05:30,931.3,933,930.7,931.45,23464
2026-06-08T10:15:00+05:30,930.95,932.25,930.15,932.25,20723
2026-06-08T10:20:00+05:30,932.25,932.55,931.3,932.2,16354
2026-06-08T10:25:00+05:30,932,932.2,930.85,931.15,20717
2026-06-08T10:30:00+05:30,931.15,935.7,929.65,935.7,42682
2026-06-08T10:35:00+05:30,935.35,936.6,934.5,935.7,38044
2026-06-08T10:40:00+05:30,935.7,936.35,934.2,935.7,51556
2026-06-08T10:45:00+05:30,935.9,936,934.2,936,25385
2026-06-08T10:50:00+05:30,936,937,932,932.5,34500
2026-06-08T10:55:00+05:30,932.3,933,931.5,932.95,27278
2026-06-08T11:00:00+05:30,932.95,933.55,931.8,933.25,39664
2026-06-08T11:05:00+05:30,933.25,936.2,933.1,935.4,32388
2026-06-08T11:10:00+05:30,935.4,936.95,935,936,26144
2026-06-08T11:15:00+05:30,936.05,937.8,935.15,936.05,39182
2026-06-08T11:20:00+05:30,936.05,936.35,934.45,934.6,21764
2026-06-08T11:25:00+05:30,934.6,935.65,934.25,935,31060
2026-06-08T11:30:00+05:30,934.7,935,933.3,934.85,20731
2026-06-08T11:35:00+05:30,935,936,934.65,935.2,12554
2026-06-08T11:40:00+05:30,935.35,936,935.15,935.9,11546
2026-06-08T11:45:00+05:30,935.75,938.8,934,937.45,64001
2026-06-08T11:50:00+05:30,937.45,937.45,933.6,934.9,35399
2026-06-08T11:55:00+05:30,934.9,935.1,933.4,933.65,24100
2026-06-08T12:00:00+05:30,933.65,934,932.4,932.95,41541
2026-06-08T12:05:00+05:30,932.95,933.7,930.65,931.4,60978
2026-06-08T12:10:00+05:30,931.4,933.9,931.1,933.15,27062
2026-06-08T12:15:00+05:30,933.15,933.2,932.2,933,7573
2026-06-08T12:20:00+05:30,933,933.4,932,932.95,16996
2026-06-08T12:25:00+05:30,932.95,933.5,929.55,931.7,75851
2026-06-08T12:30:00+05:30,931.75,932,930.65,931.7,12715
2026-06-08T12:35:00+05:30,931.7,933.05,931.5,931.95,16744
2026-06-08T12:40:00+05:30,931.95,934,931.65,933.65,30223
2026-06-08T12:45:00+05:30,933.65,934,932.45,934,45248
2026-06-08T12:50:00+05:30,933.75,934,931.4,931.95,25019
2026-06-08T12:55:00+05:30,932.3,933,930.8,931,26368
2026-06-08T13:00:00+05:30,931,931.5,929.3,929.55,21733
2026-06-08T13:05:00+05:30,929.55,931.05,929.45,930,20826
2026-06-08T13:10:00+05:30,930,930.2,928.9,929.3,22115
2026-06-08T13:15:00+05:30,929.3,930,928.05,928.8,34285
2026-06-08T13:20:00+05:30,928.25,930.4,928.1,930.05,126830
2026-06-08T13:25:00+05:30,930.05,930.45,928.4,929.75,46878
2026-06-08T13:30:00+05:30,929.4,929.75,926.05,926.05,24412
2026-06-08T13:35:00+05:30,926.05,926.3,925.2,925.4,22104
2026-06-08T13:40:00+05:30,925.4,925.8,924.25,924.95,30697
2026-06-08T13:45:00+05:30,924.95,924.95,922.05,922.55,35803
2026-06-08T13:50:00+05:30,923,923,920.05,920.1,21960
2026-06-08T13:55:00+05:30,920.1,920.1,918,918.9,48756
2026-06-08T14:00:00+05:30,918.9,921.7,918,921.1,82951
2026-06-08T14:05:00+05:30,921,922.75,920.3,921.75,61408
2026-06-08T14:10:00+05:30,921.75,923.45,921.3,922.45,30331
2026-06-08T14:15:00+05:30,922.2,923.95,921.4,923.8,37081
2026-06-08T14:20:00+05:30,923.6,923.65,921.65,922.15,13129
2026-06-08T14:25:00+05:30,921.7,921.85,918.6,919,29924
2026-06-08T14:30:00+05:30,919,920.9,918.45,918.8,21650
2026-06-08T14:35:00+05:30,918.8,919.15,918,918.1,45757
2026-06-08T14:40:00+05:30,918.1,919.35,917.6,919.35,33746
2026-06-08T14:45:00+05:30,919.3,920.45,918,918,46095
2026-06-08T14:50:00+05:30,918,919.1,915,915.5,69202
2026-06-08T14:55:00+05:30,915.15,915.75,913.05,913.65,67731
2026-06-08T15:00:00+05:30,914.15,914.15,907.45,907.65,112109
2026-06-08T15:05:00+05:30,907.8,907.8,904.75,905.2,173309
2026-06-08T15:10:00+05:30,905.35,905.5,903.35,904.85,163511
