date,open,high,low,close,volume
2026-06-08T09:15:00+05:30,465,470.6,465,466.25,824417
2026-06-08T09:20:00+05:30,466.35,467.4,464.65,466.9,549070
2026-06-08T09:25:00+05:30,466.9,468.1,466.9,468.05,333359
2026-06-08T09:30:00+05:30,468.2,469.5,467.35,469.1,305288
2026-06-08T09:35:00+05:30,469.25,469.3,468.3,468.9,199818
2026-06-08T09:40:00+05:30,469.3,469.3,468.4,469,161105
2026-06-08T09:45:00+05:30,469,469.5,467.05,467.25,170529
2026-06-08T09:50:00+05:30,467.25,467.35,466.5,466.55,100071
2026-06-08T09:55:00+05:30,466.5,466.9,465.6,466.8,101126
2026-06-08T10:00:00+05:30,466.9,467.25,466.65,467.05,130759
2026-06-08T10:05:00+05:30,466.85,467.3,466.6,467,65791
2026-06-08T10:10:00+05:30,466.9,467.15,466.4,467.15,69078
2026-06-08T10:15:00+05:30,467.15,468.6,467,468.55,110310
2026-06-08T10:20:00+05:30,468.4,469,468.05,468.45,206914
2026-06-08T10:25:00+05:30,468.45,468.6,467.8,468.05,54513
2026-06-08T10:30:00+05:30,468.05,469.5,467.95,469.25,69535
2026-06-08T10:35:00+05:30,469.15,469.35,468.85,469.05,44839
2026-06-08T10:40:00+05:30,469.05,469.25,468.4,468.55,47015
2026-06-08T10:45:00+05:30,468.5,468.9,468.2,468.65,84553
2026-06-08T10:50:00+05:30,468.7,468.7,468.55,468.6,28273
2026-06-08T10:55:00+05:30,468.6,469,468.05,468.25,84215
2026-06-08T11:00:00+05:30,468.25,468.75,467.85,468.75,67917
2026-06-08T11:05:00+05:30,468.7,469.05,468.55,468.8,96404
2026-06-08T11:10:00+05:30,468.7,468.9,468.2,468.25,37789
2026-06-08T11:15:00+05:30,468.25,468.65,467.6,467.8,91094
2026-06-08T11:20:00+05:30,467.8,468.4,467.2,468.05,401867
2026-06-08T11:25:00+05:30,468.05,469.2,467.8,468.5,357423
2026-06-08T11:30:00+05:30,468.35,468.5,466.8,467.2,298900
2026-06-08T11:35:00+05:30,467.25,467.5,466.85,467.25,167197
2026-06-08T11:40:00+05:30,467.25,467.4,466.7,467.05,239567
2026-06-08T11:45:00+05:30,467.05,467.4,466.85,467.2,49609
2026-06-08T11:50:00+05:30,467.2,467.2,466.85,466.9,22357
2026-06-08T11:55:00+05:30,466.9,467.4,466.85,467.2,21719
2026-06-08T12:00:00+05:30,467.2,467.25,466.9,467.2,27630
2026-06-08T12:05:00+05:30,467.2,467.2,466.3,466.55,41132
2026-06-08T12:10:00+05:30,466.55,467.35,466.55,467.3,32761
2026-06-08T12:15:00+05:30,467.3,467.45,467.1,467.25,22029
2026-06-08T12:20:00+05:30,467.25,467.45,467.1,467.35,28091
2026-06-08T12:25:00+05:30,467.35,467.35,467,467.2,23203
2026-06-08T12:30:00+05:30,467.2,467.65,467,467.65,22287
2026-06-08T12:35:00+05:30,467.55,467.6,467,467.1,29120
2026-06-08T12:40:00+05:30,467.15,467.8,467.1,467.7,49458
2026-06-08T12:45:00+05:30,467.7,467.95,467.4,467.9,53736
2026-06-08T12:50:00+05:30,467.9,468.95,467.75,468.5,83487
2026-06-08T12:55:00+05:30,468.5,469.15,468.4,469.15,110897
2026-06-08T13:00:00+05:30,469.15,469.15,467.8,467.8,39867
2026-06-08T13:05:00+05:30,467.8,467.95,467.25,467.3,27345
2026-06-08T13:10:00+05:30,467.25,467.6,467.2,467.3,41584
2026-06-08T13:15:00+05:30,467.3,467.35,467.2,467.25,23063
2026-06-08T13:20:00+05:30,467.2,467.45,466.8,467.25,105583
2026-06-08T13:25:00+05:30,467.25,467.3,467.05,467.2,23298
2026-06-08T13:30:00+05:30,467.2,467.45,467.05,467.15,35214
2026-06-08T13:35:00+05:30,467.15,467.25,466.9,467.05,33917
2026-06-08T13:40:00+05:30,467.05,467.25,466.55,466.7,32631
2026-06-08T13:45:00+05:30,466.7,466.7,465,465.55,154090
2026-06-08T13:50:00+05:30,465.55,465.7,465.15,465.35,30880
