date,open,high,low,close,volume
2026-06-08T09:15:00+05:30,5650,5685,5575.5,5660,26167
2026-06-08T09:20:00+05:30,5660,5698.5,5649,5684,11014
2026-06-08T09:25:00+05:30,5685,5708.5,5674,5704,6683
2026-06-08T09:30:00+05:30,5706.5,5718,5700,5718,3582
2026-06-08T09:35:00+05:30,5718,5719.5,5687.5,5694.5,7979
2026-06-08T09:40:00+05:30,5695,5703.5,5689,5700,2091
2026-06-08T09:45:00+05:30,5700,5709,5676.5,5676.5,2942
2026-06-08T09:50:00+05:30,5676.5,5697,5676.5,5697,1686
2026-06-08T09:55:00+05:30,5697,5705,5691,5705,1399
2026-06-08T10:00:00+05:30,5705,5705,5692,5695.5,2251
2026-06-08T10:05:00+05:30,5695.5,5714,5686.5,5708.5,1928
2026-06-08T10:10:00+05:30,5709,5713.5,5700,5702.5,3324
2026-06-08T10:15:00+05:30,5702,5706.5,5697,5704,1311
2026-06-08T10:20:00+05:30,5706.5,5710,5700,5705,973
2026-06-08T10:25:00+05:30,5705,5708.5,5700,5705.5,1055
2026-06-08T10:30:00+05:30,5705.5,5740.5,5705.5,5729,6491
2026-06-08T10:35:00+05:30,5726,5736.5,5725,5732,2497
2026-06-08T10:40:00+05:30,5732,5737,5729,5729.5,1596
2026-06-08T10:45:00+05:30,5728.5,5735,5723,5727.5,1470
2026-06-08T10:50:00+05:30,5727.5,5739,5725,5729,2741
2026-06-08T10:55:00+05:30,5729,5730,5707.5,5720.5,12252
2026-06-08T11:00:00+05:30,5720.5,5725,5704.5,5705.5,2276
2026-06-08T11:05:00+05:30,5705.5,5712,5696.5,5711,6413
2026-06-08T11:10:00+05:30,5709,5710,5693,5700.5,3137
2026-06-08T11:15:00+05:30,5698.5,5701.5,5694,5699.5,763
2026-06-08T11:20:00+05:30,5699.5,5703.5,5696,5699,1319
2026-06-08T11:25:00+05:30,5699,5708,5698,5705.5,1730
2026-06-08T11:30:00+05:30,5705.5,5708,5701,5705.5,988
