date,open,high,low,close,volume
2026-06-08T09:15:00+05:30,6571,6642.5,6556,6627.5,21791
2026-06-08T09:20:00+05:30,6627.5,6659,6624,6649,12162
2026-06-08T09:25:00+05:30,6644.5,6679,6627,6671.5,19209
2026-06-08T09:30:00+05:30,6672,6682,6662.5,6674.5,13059
2026-06-08T09:35:00+05:30,6676.5,6681.5,6647,6656,11594
2026-06-08T09:40:00+05:30,6659.5,6670,6654.5,6667.5,4080
2026-06-08T09:45:00+05:30,6670,6687,6656.5,6665,6307
2026-06-08T09:50:00+05:30,6665,6709.5,6665,6707,12643
2026-06-08T09:55:00+05:30,6703,6710,6675,6696,12471
2026-06-08T10:00:00+05:30,6695,6697,6671,6671,7835
2026-06-08T10:05:00+05:30,6671,6671,6657,6660,4285
2026-06-08T10:10:00+05:30,6660,6679,6659,6672,5672
2026-06-08T10:15:00+05:30,6672.5,6677,6668.5,6671.5,2337
2026-06-08T10:20:00+05:30,6671.5,6673.5,6661.5,6664.5,2450
2026-06-08T10:25:00+05:30,6664.5,6667,6651.5,6660.5,6870
2026-06-08T10:30:00+05:30,6660.5,6670,6634.5,6635.5,11426
2026-06-08T10:35:00+05:30,6634.5,6641,6634,6640,5479
2026-06-08T10:40:00+05:30,6640,6640.5,6626.5,6626.5,3422
2026-06-08T10:45:00+05:30,6626.5,6635,6621.5,6628.5,2895
2026-06-08T10:50:00+05:30,6628.5,6635,6604.5,6606.5,10111
2026-06-08T10:55:00+05:30,6606.5,6614.5,6597,6599,8414
2026-06-08T11:00:00+05:30,6599,6610.5,6598.5,6605.5,3808
2026-06-08T11:05:00+05:30,6605.5,6610,6602.5,6609,2456
2026-06-08T11:10:00+05:30,6609,6609,6602,6605.5,1809
2026-06-08T11:15:00+05:30,6605.5,6620.5,6605.5,6613,6072
2026-06-08T11:20:00+05:30,6613,6615.5,6608,6608,2550
2026-06-08T11:25:00+05:30,6608,6611,6603.5,6605,2276
2026-06-08T11:30:00+05:30,6605,6611,6602.5,6605,4148
2026-06-08T11:35:00+05:30,6605,6618,6605,6617.5,8210
2026-06-08T11:40:00+05:30,6617.5,6629,6615,6619,7244
2026-06-08T11:45:00+05:30,6619,6624.5,6617.5,6618,5062
2026-06-08T11:50:00+05:30,6618,6618,6605,6607,5741
2026-06-08T11:55:00+05:30,6609,6612.5,6602,6602.5,6619
2026-06-08T12:00:00+05:30,6602.5,6607.5,6601.5,6602,2103
2026-06-08T12:05:00+05:30,6602,6607,6598,6604,4331
2026-06-08T12:10:00+05:30,6604,6608,6593.5,6594,7935
2026-06-08T12:15:00+05:30,6594,6601,6591,6595,4249
2026-06-08T12:20:00+05:30,6595,6601,6593,6595.5,1807
2026-06-08T12:25:00+05:30,6593.5,6599.5,6593,6596,1624
2026-06-08T12:30:00+05:30,6596,6599.5,6594,6596.5,2052
2026-06-08T12:35:00+05:30,6596.5,6603,6594.5,6596.5,3859
2026-06-08T12:40:00+05:30,6596.5,6600,6593,6600,2250
2026-06-08T12:45:00+05:30,6597.5,6601,6595.5,6597,1889
2026-06-08T12:50:00+05:30,6597,6599.5,6586,6592.5,4045
2026-06-08T12:55:00+05:30,6592.5,6599,6587,6593,4544
2026-06-08T13:00:00+05:30,6593,6595,6585.5,6588,4979
2026-06-08T13:05:00+05:30,6588,6592.5,6585.5,6592.5,1521
2026-06-08T13:10:00+05:30,6592.5,6593,6585,6585,2270
2026-06-08T13:15:00+05:30,6585,6589,6581,6584,2762
2026-06-08T13:20:00+05:30,6584,6588.5,6575,6579,3453
2026-06-08T13:25:00+05:30,6576.5,6579.5,6568,6570,7769
2026-06-08T13:30:00+05:30,6570,6576,6566,6566,4892
2026-06-08T13:35:00+05:30,6566,6573.5,6566,6567.5,3168
2026-06-08T13:40:00+05:30,6570,6572,6561.5,6561.5,3038
2026-06-08T13:45:00+05:30,6560,6567.5,6556,6562,4051
2026-06-08T13:50:00+05:30,6562,6564.5,6547,6548,6588
2026-06-08T13:55:00+05:30,6548,6558,6547.5,6554,4902
2026-06-08T14:00:00+05:30,6552,6557,6546,6546,3767
2026-06-08T14:05:00+05:30,6546,6556.5,6546,6556.5,2498
2026-06-08T14:10:00+05:30,6556.5,6566.5,6555,6555,1975
2026-06-08T14:15:00+05:30,6554,6558.5,6552,6553.5,1088
2026-06-08T14:20:00+05:30,6557.5,6559.5,6552,6553,987
2026-06-08T14:25:00+05:30,6552.5,6556.5,6549,6549,2176
2026-06-08T14:30:00+05:30,6549,6551.5,6546.5,6546.5,1529
2026-06-08T14:35:00+05:30,6546.5,6555,6540,6549,9276
2026-06-08T14:40:00+05:30,6549,6550.5,6539,6546,3976
2026-06-08T14:45:00+05:30,6547.5,6551.5,6543,6546,6568
2026-06-08T14:50:00+05:30,6545.5,6548.5,6540,6542,5490
2026-06-08T14:55:00+05:30,6542,6551,6539,6551,8700
2026-06-08T15:00:00+05:30,6542,6542,6521,6529.5,8476
2026-06-08T15:05:00+05:30,6527.5,6533.5,6522.5,6531.5,8248
2026-06-08T15:10:00+05:30,6531.5,6532.5,6515,6520,16216
2026-06-08T15:15:00+05:30,6520,6521.5,6512,6521,12155
2026-06-08T15:20:00+05:30,6521,6522.5,6509,6518,16035
2026-06-08T15:25:00+05:30,6518,6535,6506,6513,16068
2026-06-09T09:15:00+05:30,6535,6606.5,6535,6587,20112
2026-06-09T09:20:00+05:30,6587,6592.5,6571.5,6591,5741
2026-06-09T09:25:00+05:30,6591,6595.5,6571,6580,5454
2026-06-09T09:30:00+05:30,6580,6636,6579.5,6616,16087
2026-06-09T09:35:00+05:30,6616,6729,6613,6712,59681
2026-06-09T09:40:00+05:30,6713.5,6720,6665,6710.5,35012
2026-06-09T09:45:00+05:30,6709,6784.5,6709,6773,64078
2026-06-09T09:50:00+05:30,6773,6790,6748,6751,31805
2026-06-09T09:55:00+05:30,6751,6764,6732.5,6736.5,16754
2026-06-09T10:00:00+05:30,6736.5,6755,6736.5,6737,10629
2026-06-09T10:05:00+05:30,6736,6759.5,6731.5,6747.5,11096
2026-06-09T10:10:00+05:30,6747.5,6758,6740,6742.5,8949
2026-06-09T10:15:00+05:30,6742,6773,6742,6750.5,17097
2026-06-09T10:20:00+05:30,6748,6759,6735,6737.5,6386
2026-06-09T10:25:00+05:30,6735,6741.5,6726.5,6735.5,9478
2026-06-09T10:30:00+05:30,6735.5,6745.5,6728,6729.5,6390
2026-06-09T10:35:00+05:30,6729.5,6735,6713,6718,8939
2026-06-09T10:40:00+05:30,6718,6724.5,6706.5,6722,12216
2026-06-09T10:45:00+05:30,6722,6745,6722,6737.5,8825
2026-06-09T10:50:00+05:30,6737.5,6744,6729,6738,5878
2026-06-09T10:55:00+05:30,6738,6739,6719.5,6720,4321
2026-06-09T11:00:00+05:30,6720,6741,6720,6737,7328
2026-06-09T11:05:00+05:30,6737,6745,6728,6734.5,7011
2026-06-09T11:10:00+05:30,6734.5,6737.5,6727,6727.5,3147
