date,open,high,low,close,volume
2026-06-08T09:15:00+05:30,252.85,253.5,250.6,251.5,1040160
2026-06-08T09:20:00+05:30,251.45,252.45,251.15,251.8,1053112
2026-06-08T09:25:00+05:30,251.7,252.6,251.65,252.5,444196
2026-06-08T09:30:00+05:30,252.4,252.75,251.95,252.15,445480
2026-06-08T09:35:00+05:30,252.1,252.15,250.25,250.4,2268136
2026-06-08T09:40:00+05:30,250.7,251.3,250.6,251.3,633945
2026-06-08T09:45:00+05:30,251.5,251.65,250.05,250.2,360977
2026-06-08T09:50:00+05:30,250.15,250.8,250,250.7,316069
2026-06-08T09:55:00+05:30,250.8,251.9,250.8,251.9,251973
2026-06-08T10:00:00+05:30,251.9,252,251.05,251.2,213468
2026-06-08T10:05:00+05:30,251.2,251.7,250.7,251.65,2980208
2026-06-08T10:10:00+05:30,251.55,251.95,251.45,251.55,147530
2026-06-08T10:15:00+05:30,251.5,251.75,251.15,251.45,126420
2026-06-08T10:20:00+05:30,251.45,253,251.35,252.9,481128
2026-06-08T10:25:00+05:30,253,253,251.5,251.8,200806
2026-06-08T10:30:00+05:30,251.8,252.4,251.65,252.25,129369
2026-06-08T10:35:00+05:30,252.25,252.4,252,252.4,176004
2026-06-08T10:40:00+05:30,252.3,252.5,251.5,251.8,180692
2026-06-08T10:45:00+05:30,251.7,252.1,251.55,251.9,149088
2026-06-08T10:50:00+05:30,251.9,252.05,251.5,251.55,112000
2026-06-08T10:55:00+05:30,251.55,251.95,251.5,251.85,70183
2026-06-08T11:00:00+05:30,251.85,251.85,251.5,251.6,56101
2026-06-08T11:05:00+05:30,251.6,251.6,251,251.4,267763
2026-06-08T11:10:00+05:30,251.4,251.4,251.05,251.1,86443
2026-06-08T11:15:00+05:30,251.1,251.3,251,251.1,101122
2026-06-08T11:20:00+05:30,251.1,251.3,251.05,251.2,73097
2026-06-08T11:25:00+05:30,251.2,251.3,251.05,251.1,94846
2026-06-08T11:30:00+05:30,251.15,251.9,251.1,251.6,195669
2026-06-08T11:35:00+05:30,251.65,251.8,251.5,251.8,145621
2026-06-08T11:40:00+05:30,251.8,252,251.5,251.75,304829
2026-06-08T11:45:00+05:30,251.8,251.8,251.5,251.7,103112
2026-06-08T11:50:00+05:30,251.7,251.75,251.2,251.35,109754
2026-06-08T11:55:00+05:30,251.35,251.4,251.05,251.15,121589
2026-06-08T12:00:00+05:30,251.15,251.3,251,251.15,175293
2026-06-08T12:05:00+05:30,251.15,251.2,250.75,250.95,376217
2026-06-08T12:10:00+05:30,250.95,251.1,250.85,250.9,133372
2026-06-08T12:15:00+05:30,250.9,250.9,250.6,250.65,185455
2026-06-08T12:20:00+05:30,250.65,251.45,250.6,251.25,161832
2026-06-08T12:25:00+05:30,251.25,251.25,250.85,251.25,134296
2026-06-08T12:30:00+05:30,251.25,251.6,251.2,251.35,142270
2026-06-08T12:35:00+05:30,251.35,251.4,250.85,250.9,108649
2026-06-08T12:40:00+05:30,250.9,251.1,250.8,250.95,95103
2026-06-08T12:45:00+05:30,250.95,251,250.7,250.8,117430
2026-06-08T12:50:00+05:30,250.9,251.3,250.8,251.25,117125
2026-06-08T12:55:00+05:30,251.15,251.35,251.05,251.15,111802
2026-06-08T13:00:00+05:30,251.15,251.35,250.25,250.3,551522
2026-06-08T13:05:00+05:30,250.25,250.3,249.75,250.1,670950
2026-06-08T13:10:00+05:30,250.1,250.2,250.1,250.15,185505
2026-06-08T13:15:00+05:30,250.15,250.4,249.6,249.8,1193800
2026-06-08T13:20:00+05:30,249.8,249.85,249.65,249.7,147556
2026-06-08T13:25:00+05:30,249.75,249.9,249,249.6,588218
2026-06-08T13:30:00+05:30,249.55,249.6,248.6,248.75,408929
2026-06-08T13:35:00+05:30,248.75,248.85,248.3,248.7,246322
2026-06-08T13:40:00+05:30,248.7,248.85,248.5,248.7,200223
2026-06-08T13:45:00+05:30,248.7,248.7,247.8,247.95,404185
2026-06-08T13:50:00+05:30,247.85,248.95,247.85,248.4,309015
2026-06-08T13:55:00+05:30,248.35,248.9,248.3,248.9,139619
2026-06-08T14:00:00+05:30,248.85,249.6,248.85,249.4,215909
2026-06-08T14:05:00+05:30,249.35,249.8,249.15,249.3,236615
2026-06-08T14:10:00+05:30,249.2,249.5,249,249.15,162200
2026-06-08T14:15:00+05:30,249.05,249.7,249,249.6,148694
2026-06-08T14:20:00+05:30,249.5,249.95,249.4,249.6,216982
2026-06-08T14:25:00+05:30,249.6,249.65,249.3,249.35,107282
2026-06-08T14:30:00+05:30,249.35,249.6,249.2,249.4,126642
2026-06-08T14:35:00+05:30,249.35,249.85,249.3,249.4,168934
2026-06-08T14:40:00+05:30,249.4,249.95,249.35,249.95,146962
2026-06-08T14:45:00+05:30,249.9,250.2,249.7,249.9,209046
2026-06-08T14:50:00+05:30,249.8,250,249.5,249.5,122721
2026-06-08T14:55:00+05:30,249.45,249.85,249.25,249.55,166860
2026-06-08T15:00:00+05:30,249.6,249.6,248.65,248.7,377477
2026-06-08T15:05:00+05:30,248.65,248.9,248.5,248.85,585182
2026-06-08T15:10:00+05:30,248.9,248.9,248.25,248.45,353490
2026-06-08T15:15:00+05:30,248.45,248.45,247.95,248.15,426249
2026-06-08T15:20:00+05:30,248.15,248.25,247.45,247.5,473138
2026-06-08T15:25:00+05:30,247.5,247.8,247,247.4,423474
2026-06-09T09:15:00+05:30,250.9,251.9,250.1,251.4,1073519
2026-06-09T09:20:00+05:30,251.45,251.5,249.5,250.2,561173
2026-06-09T09:25:00+05:30,250.15,250.4,249.8,249.85,296502
2026-06-09T09:30:00+05:30,249.8,251.45,249.4,250.7,491895
2026-06-09T09:35:00+05:30,250.85,250.85,249.85,249.9,325708
2026-06-09T09:40:00+05:30,250,250,247.3,247.5,825196
2026-06-09T09:45:00+05:30,247.5,248.1,247.15,247.2,514696
2026-06-09T09:50:00+05:30,247.25,247.7,247.1,247.45,261551
2026-06-09T09:55:00+05:30,247.45,247.45,246.1,246.3,485778
2026-06-09T10:00:00+05:30,246.3,246.75,245.8,245.85,374795
2026-06-09T10:05:00+05:30,245.7,245.85,244.25,244.85,803574
2026-06-09T10:10:00+05:30,244.85,245,244,244.5,420605
2026-06-09T10:15:00+05:30,244.5,245.05,244,244.85,468361
2026-06-09T10:20:00+05:30,244.85,244.95,244.15,244.35,264213
2026-06-09T10:25:00+05:30,244.3,245,244.3,244.7,339290
2026-06-09T10:30:00+05:30,244.8,244.85,244.4,244.45,271861
2026-06-09T10:35:00+05:30,244.45,244.45,243.5,243.85,456890
2026-06-09T10:40:00+05:30,243.8,244.25,243.45,244.05,252846
2026-06-09T10:45:00+05:30,244,244.3,243.65,244.15,477959
2026-06-09T10:50:00+05:30,243.9,244.45,243.7,244.45,293670
2026-06-09T10:55:00+05:30,244.5,244.85,244.45,244.85,253677
2026-06-09T11:00:00+05:30,244.8,245.1,244.8,245.1,251920
2026-06-09T11:05:00+05:30,245.05,245.4,244.5,244.75,920947
2026-06-09T11:10:00+05:30,244.75,245.1,244.5,244.8,366017
2026-06-09T11:15:00+05:30,244.8,244.8,244.65,244.8,163621
2026-06-09T11:20:00+05:30,244.8,245.1,244.45,244.8,805853
2026-06-09T11:25:00+05:30,244.8,244.8,244.5,244.7,188120
2026-06-09T11:30:00+05:30,244.7,244.75,244.4,244.45,143674
2026-06-09T11:35:00+05:30,244.45,244.9,244.4,244.85,169658
2026-06-09T11:40:00+05:30,244.85,244.95,244.5,244.8,146675
2026-06-09T11:45:00+05:30,244.8,245.85,244.8,245.65,603578
2026-06-09T11:50:00+05:30,245.6,245.7,245,245.15,397761
2026-06-09T11:55:00+05:30,245.15,245.3,245,245.05,230073
2026-06-09T12:00:00+05:30,244.9,245.4,244.85,245.1,294898
2026-06-09T12:05:00+05:30,245.1,245.65,245,245.55,484744
2026-06-09T12:10:00+05:30,245.6,246.85,245.55,246.7,863133
2026-06-09T12:15:00+05:30,246.8,246.9,246.65,246.8,198758
2026-06-09T12:20:00+05:30,247.4,247.8,246.75,246.8,420080
2026-06-09T12:25:00+05:30,246.85,246.85,245.55,245.9,336285
2026-06-09T12:30:00+05:30,245.85,245.9,245.25,245.45,246904
2026-06-09T12:35:00+05:30,245.5,245.5,245,245.35,180273
2026-06-09T12:40:00+05:30,245.3,245.4,244.5,244.85,463137
2026-06-09T12:45:00+05:30,244.85,245.25,244.7,245.1,286823
2026-06-09T12:50:00+05:30,245.1,245.1,244.5,244.7,380368
2026-06-09T12:55:00+05:30,244.65,244.7,244.35,244.65,318529
2026-06-09T13:00:00+05:30,244.65,244.75,244.6,244.75,116944
2026-06-09T13:05:00+05:30,244.75,245.3,243.65,244.05,876987
2026-06-09T13:10:00+05:30,244.05,244.6,244,244.55,172875
2026-06-09T13:15:00+05:30,244.55,245.15,244.5,245,298556
2026-06-09T13:20:00+05:30,245,245.4,245,245.15,194848
2026-06-09T13:25:00+05:30,245.15,245.2,244.45,244.7,190503
2026-06-09T13:30:00+05:30,244.65,244.95,244.5,244.85,203111
2026-06-09T13:35:00+05:30,244.8,245.15,244.8,245.15,185798
2026-06-09T13:40:00+05:30,245.1,245.35,245.05,245.2,141498
2026-06-09T13:45:00+05:30,245.2,245.4,245,245.25,194132
2026-06-09T13:50:00+05:30,245.25,245.35,244.95,244.95,144977
2026-06-09T13:55:00+05:30,244.95,245.25,244.3,244.7,346416
2026-06-09T14:00:00+05:30,244.7,244.8,244.5,244.7,222028
2026-06-09T14:05:00+05:30,244.65,245.25,244.65,245.25,183134
2026-06-09T14:10:00+05:30,245.15,245.25,245,245.05,215816
2026-06-09T14:15:00+05:30,245.05,245.2,244.8,245.2,195497
2026-06-09T14:20:00+05:30,245.15,245.2,245,245.1,151509
2026-06-09T14:25:00+05:30,245.1,245.3,245,245.2,240188
2026-06-09T14:30:00+05:30,245.2,245.4,245.1,245.3,379290
2026-06-09T14:35:00+05:30,245.3,245.4,245,245.15,252365
2026-06-09T14:40:00+05:30,245.15,245.35,245,245.1,504837
2026-06-09T14:45:00+05:30,245.1,245.25,245,245.05,384823
2026-06-09T14:50:00+05:30,245.05,245.85,245.05,245.55,700357
2026-06-09T14:55:00+05:30,245.6,246.15,245.55,245.9,590409
2026-06-09T15:00:00+05:30,245.9,245.9,245,245.4,1049089
2026-06-09T15:05:00+05:30,245.4,246.3,245.35,246.2,1732313
2026-06-09T15:10:00+05:30,246.2,246.35,246,246.1,1294247
2026-06-09T15:15:00+05:30,246.1,246.15,245.45,245.75,1577043
2026-06-09T15:20:00+05:30,245.75,245.75,244.9,245.4,1356805
2026-06-09T15:25:00+05:30,245.35,245.5,245.1,245.5,796121
2026-06-10T09:15:00+05:30,247,247,244.1,244.5,1166025
2026-06-10T09:20:00+05:30,244.5,244.9,243.8,244.8,677330
2026-06-10T09:25:00+05:30,244.65,244.9,244.5,244.75,249853
