date,open,high,low,close,volume
2026-06-08T09:15:00+05:30,166.02,166.98,165.1,166.59,463926
2026-06-08T09:20:00+05:30,166.6,166.6,165.8,166.01,127435
2026-06-08T09:25:00+05:30,165.98,167.13,165.9,167.13,81507
2026-06-08T09:30:00+05:30,167.12,167.71,167.05,167.36,110482
2026-06-08T09:35:00+05:30,167.46,167.46,166.86,167.17,121831
2026-06-08T09:40:00+05:30,167.17,167.55,167.1,167.22,83053
2026-06-08T09:45:00+05:30,167.22,167.55,167.05,167.13,86149
2026-06-08T09:50:00+05:30,167.13,167.62,167.02,167.54,82488
2026-06-08T09:55:00+05:30,167.57,168,167.42,167.89,79887
2026-06-08T10:00:00+05:30,167.9,167.9,167.02,167.02,65772
2026-06-08T10:05:00+05:30,167.1,167.36,166.93,167.19,71609
2026-06-08T10:10:00+05:30,167.19,167.42,167.1,167.25,20130
2026-06-08T10:15:00+05:30,167.25,167.49,167.07,167.49,19081
2026-06-08T10:20:00+05:30,167.49,167.6,167.33,167.38,38210
2026-06-08T10:25:00+05:30,167.38,167.44,167.18,167.28,49572
2026-06-08T10:30:00+05:30,167.28,168.45,167.28,168.12,124048
2026-06-08T10:35:00+05:30,168.12,168.5,168.02,168.4,60474
2026-06-08T10:40:00+05:30,168.4,168.7,168.3,168.3,147016
2026-06-08T10:45:00+05:30,168.3,168.31,167.9,168.06,74047
2026-06-08T10:50:00+05:30,168.06,168.18,167.9,167.92,41783
2026-06-08T10:55:00+05:30,167.91,167.94,167.68,167.88,38040
2026-06-08T11:00:00+05:30,167.88,168,167.74,167.92,25046
2026-06-08T11:05:00+05:30,167.97,168,167.53,167.74,55018
2026-06-08T11:10:00+05:30,167.67,167.78,167.56,167.56,26277
2026-06-08T11:15:00+05:30,167.57,167.76,167.53,167.63,26781
2026-06-08T11:20:00+05:30,167.63,167.68,167.42,167.44,39510
2026-06-08T11:25:00+05:30,167.44,167.88,167.37,167.87,65084
2026-06-08T11:30:00+05:30,167.85,168.24,167.73,168.02,73980
2026-06-08T11:35:00+05:30,168.09,168.18,168.01,168.15,22525
2026-06-08T11:40:00+05:30,168.14,168.19,167.98,168.04,53621
2026-06-08T11:45:00+05:30,168.01,168.24,168.01,168.2,18232
2026-06-08T11:50:00+05:30,168.2,168.25,167.96,168.15,99402
2026-06-08T11:55:00+05:30,168.15,168.28,168.13,168.25,49382
2026-06-08T12:00:00+05:30,168.25,168.26,168,168.08,55880
2026-06-08T12:05:00+05:30,168.08,168.09,167.98,168.02,44378
2026-06-08T12:10:00+05:30,168.02,168.29,168.02,168.17,27653
2026-06-08T12:15:00+05:30,168.17,168.21,168.02,168.11,15704
2026-06-08T12:20:00+05:30,168.11,168.2,168.05,168.09,13824
2026-06-08T12:25:00+05:30,168.09,168.28,168.01,168.15,40200
2026-06-08T12:30:00+05:30,168.16,168.21,168.01,168.09,13842
2026-06-08T12:35:00+05:30,168.09,168.09,167.73,168.02,124567
2026-06-08T12:40:00+05:30,168.02,168.16,167.92,168.15,48627
2026-06-08T12:45:00+05:30,168.15,168.2,167.99,168.03,35813
2026-06-08T12:50:00+05:30,168.03,168.15,167.99,168.07,35838
2026-06-08T12:55:00+05:30,168.07,168.15,168.03,168.1,16451
2026-06-08T13:00:00+05:30,168.1,168.28,168.03,168.09,35326
2026-06-08T13:05:00+05:30,168.09,168.45,168.06,168.28,44074
2026-06-08T13:10:00+05:30,168.26,168.29,168.09,168.15,28902
2026-06-08T13:15:00+05:30,168.15,168.2,168.08,168.14,16094
2026-06-08T13:20:00+05:30,168.08,168.14,167.99,168.08,55281
2026-06-08T13:25:00+05:30,168.1,168.13,167.99,168.08,75535
2026-06-08T13:30:00+05:30,168.14,168.14,168,168.02,26869
2026-06-08T13:35:00+05:30,168.02,168.07,167.93,168.03,173179
2026-06-08T13:40:00+05:30,168.01,168.15,167.85,168,147983
2026-06-08T13:45:00+05:30,168,168.34,167.74,168.3,290125
2026-06-08T13:50:00+05:30,168.3,168.4,168.25,168.26,133517
2026-06-08T13:55:00+05:30,168.25,168.42,168.25,168.42,85524
2026-06-08T14:00:00+05:30,168.42,168.56,168.25,168.5,165569
2026-06-08T14:05:00+05:30,168.52,168.69,168.25,168.66,96706
2026-06-08T14:10:00+05:30,168.66,168.87,168.64,168.76,104316
2026-06-08T14:15:00+05:30,168.74,168.9,168.6,168.9,62191
2026-06-08T14:20:00+05:30,168.77,168.9,168.74,168.75,110200
2026-06-08T14:25:00+05:30,168.76,169.15,168.76,169.04,557113
2026-06-08T14:30:00+05:30,169.06,169.8,169.04,169.55,321928
2026-06-08T14:35:00+05:30,169.55,170.15,169.16,169.76,1121293
2026-06-08T14:40:00+05:30,169.76,170.09,169.61,170.09,195250
2026-06-08T14:45:00+05:30,170.08,170.11,169.81,169.84,149680
2026-06-08T14:50:00+05:30,169.8,170.14,169.76,169.88,253632
2026-06-08T14:55:00+05:30,169.88,170.15,169.6,169.85,310019
2026-06-08T15:00:00+05:30,169.81,169.82,168.68,168.72,412147
2026-06-08T15:05:00+05:30,168.72,168.92,168.6,168.75,170960
2026-06-08T15:10:00+05:30,168.75,168.75,168.51,168.55,149982
2026-06-08T15:15:00+05:30,168.55,168.57,168.32,168.35,215415
2026-06-08T15:20:00+05:30,168.35,168.43,168,168.04,208670
2026-06-08T15:25:00+05:30,168.04,168.23,168,168,240978
2026-06-09T09:15:00+05:30,169,169.14,167.93,168.38,261593
2026-06-09T09:20:00+05:30,168.4,168.52,167.17,167.2,190304
2026-06-09T09:25:00+05:30,167.22,167.38,167,167.11,168476
2026-06-09T09:30:00+05:30,167.12,167.25,167.04,167.11,77038
2026-06-09T09:35:00+05:30,167.19,167.19,166.81,167.01,92982
2026-06-09T09:40:00+05:30,167,167.03,166.8,166.92,74383
2026-06-09T09:45:00+05:30,166.85,167.11,166.15,166.16,103824
2026-06-09T09:50:00+05:30,166.17,166.49,166.11,166.49,61866
2026-06-09T09:55:00+05:30,166.49,166.49,165.87,166,106124
2026-06-09T10:00:00+05:30,166.01,166.16,165.75,165.75,83466
2026-06-09T10:05:00+05:30,165.8,165.81,165.56,165.79,90206
2026-06-09T10:10:00+05:30,165.77,165.99,165.73,165.96,43701
2026-06-09T10:15:00+05:30,165.96,166.35,165.86,166.31,54494
2026-06-09T10:20:00+05:30,166.31,166.87,166.21,166.68,99887
2026-06-09T10:25:00+05:30,166.6,166.75,166.56,166.7,42067
2026-06-09T10:30:00+05:30,166.74,166.89,166.53,166.6,36979
2026-06-09T10:35:00+05:30,166.6,166.6,166.31,166.39,52491
2026-06-09T10:40:00+05:30,166.39,166.5,166.35,166.5,35292
2026-06-09T10:45:00+05:30,166.5,166.5,166.3,166.35,29269
2026-06-09T10:50:00+05:30,166.35,166.75,166.3,166.61,77060
2026-06-09T10:55:00+05:30,166.61,166.78,166.61,166.64,115277
2026-06-09T11:00:00+05:30,166.66,167.43,166.58,166.96,210939
2026-06-09T11:05:00+05:30,166.96,167.14,166.87,167.05,264040
2026-06-09T11:10:00+05:30,167.05,167.18,166.91,167,48478
2026-06-09T11:15:00+05:30,167,167.09,166.95,166.99,25624
2026-06-09T11:20:00+05:30,167.03,167.06,166.91,166.99,46203
2026-06-09T11:25:00+05:30,166.99,167.04,166.91,166.91,16195
2026-06-09T11:30:00+05:30,166.91,167.07,166.91,166.94,58818
2026-06-09T11:35:00+05:30,166.94,167.1,166.94,167,40571
2026-06-09T11:40:00+05:30,167,167.09,166.91,167,29560
2026-06-09T11:45:00+05:30,167,167.16,166.95,167.06,34881
2026-06-09T11:50:00+05:30,167.06,167.17,167.06,167.09,15433
2026-06-09T11:55:00+05:30,167.09,167.1,166.9,167.01,51935
2026-06-09T12:00:00+05:30,167.04,167.3,167.02,167.08,94952
2026-06-09T12:05:00+05:30,167.08,167.19,167.02,167.07,45730
2026-06-09T12:10:00+05:30,167.03,167.12,167,167.05,29690
2026-06-09T12:15:00+05:30,167.06,167.14,167.01,167.04,26780
2026-06-09T12:20:00+05:30,167.04,167.09,167.02,167.06,11802
2026-06-09T12:25:00+05:30,166.98,167.02,166.9,166.94,66768
2026-06-09T12:30:00+05:30,166.94,167.05,166.94,167.01,12034
2026-06-09T12:35:00+05:30,167.01,167.04,166.91,166.92,18858
2026-06-09T12:40:00+05:30,166.92,166.99,166.72,166.98,112720
2026-06-09T12:45:00+05:30,166.95,167.05,166.95,167.04,16580
2026-06-09T12:50:00+05:30,167.04,167.12,167,167.05,73505
2026-06-09T12:55:00+05:30,167.05,167.1,166.85,166.98,76003
2026-06-09T13:00:00+05:30,166.98,167.1,166.9,167.1,16299
2026-06-09T13:05:00+05:30,167.09,167.13,167.05,167.05,16231
2026-06-09T13:10:00+05:30,167.05,167.14,167.05,167.09,19666
2026-06-09T13:15:00+05:30,167.09,167.14,167,167.02,22311
2026-06-09T13:20:00+05:30,167.02,167.1,167.01,167.05,17786
2026-06-09T13:25:00+05:30,167.1,167.11,167.01,167.04,19186
2026-06-09T13:30:00+05:30,167.04,167.06,167,167.02,21627
2026-06-09T13:35:00+05:30,167.02,167.23,167.02,167.09,52603
2026-06-09T13:40:00+05:30,167.09,167.19,167.09,167.09,39160
2026-06-09T13:45:00+05:30,167.09,167.13,167.03,167.06,21060
2026-06-09T13:50:00+05:30,167.05,167.1,167,167.01,17855
2026-06-09T13:55:00+05:30,167.05,167.35,166.94,167.13,197782
2026-06-09T14:00:00+05:30,167.13,167.24,167.07,167.09,57851
2026-06-09T14:05:00+05:30,167.09,167.15,167.08,167.09,21565
2026-06-09T14:10:00+05:30,167.09,167.7,167.09,167.62,118910
2026-06-09T14:15:00+05:30,167.68,167.75,167.48,167.69,50291
2026-06-09T14:20:00+05:30,167.74,167.74,167.67,167.7,23476
2026-06-09T14:25:00+05:30,167.7,167.86,167.68,167.76,40348
2026-06-09T14:30:00+05:30,167.76,167.9,167.56,167.84,46358
2026-06-09T14:35:00+05:30,167.84,167.87,167.63,167.8,30358
2026-06-09T14:40:00+05:30,167.8,167.93,167.74,167.8,43724
2026-06-09T14:45:00+05:30,167.8,167.85,167.66,167.68,33435
2026-06-09T14:50:00+05:30,167.75,167.98,167.68,167.92,83689
2026-06-09T14:55:00+05:30,167.98,168.1,167.62,167.68,175546
2026-06-09T15:00:00+05:30,167.71,167.86,167.25,167.69,405498
2026-06-09T15:05:00+05:30,167.69,167.96,167.67,167.85,190048
2026-06-09T15:10:00+05:30,167.89,167.92,167.53,167.66,155872
2026-06-09T15:15:00+05:30,167.66,167.69,167.5,167.53,195980
2026-06-09T15:20:00+05:30,167.53,167.65,167.46,167.53,257851
2026-06-09T15:25:00+05:30,167.53,167.69,167.34,167.65,245171
2026-06-10T09:15:00+05:30,166.62,168.18,166.62,166.82,324600
2026-06-10T09:20:00+05:30,166.82,166.82,166.25,166.81,227449
2026-06-10T09:25:00+05:30,166.81,166.88,166.44,166.88,222841
2026-06-10T09:30:00+05:30,166.88,166.99,166.58,166.77,193475
2026-06-10T09:35:00+05:30,166.8,166.91,166.45,166.85,174561
2026-06-10T09:40:00+05:30,166.85,166.94,166.69,166.85,162305
2026-06-10T09:45:00+05:30,166.85,167.29,166.83,167.27,187040
2026-06-10T09:50:00+05:30,167.19,167.21,166.84,167.15,183251
2026-06-10T09:55:00+05:30,167.18,167.26,166.88,166.88,121334
2026-06-10T10:00:00+05:30,166.87,167.03,166.81,166.91,61980
2026-06-10T10:05:00+05:30,166.91,167.04,166.82,166.97,113554
2026-06-10T10:10:00+05:30,166.93,167.04,166.75,166.75,111125
2026-06-10T10:15:00+05:30,166.78,166.78,166.4,166.73,164940
2026-06-10T10:20:00+05:30,166.73,166.8,166.56,166.63,61879
2026-06-10T10:25:00+05:30,166.65,166.89,166.6,166.87,141190
2026-06-10T10:30:00+05:30,166.87,167.2,166.84,167.01,118573
2026-06-10T10:35:00+05:30,167.01,167.13,166.87,166.95,70770
2026-06-10T10:40:00+05:30,166.94,167.25,166.85,167.03,100773
2026-06-10T10:45:00+05:30,167.03,167.16,167.03,167.06,38235
2026-06-10T10:50:00+05:30,167.06,167.07,166.5,166.88,330236
2026-06-10T10:55:00+05:30,166.88,167.15,166.88,167.09,99462
2026-06-10T11:00:00+05:30,167.09,167.09,166.85,167,85023
2026-06-10T11:05:00+05:30,167.07,167.55,167.01,167.22,128366
2026-06-10T11:10:00+05:30,167.22,167.87,167.13,167.53,546655
2026-06-10T11:15:00+05:30,167.53,167.53,167.26,167.4,35106
2026-06-10T11:20:00+05:30,167.43,167.85,167.4,167.73,144320
2026-06-10T11:25:00+05:30,167.79,168.25,167.73,168.11,121636
2026-06-10T11:30:00+05:30,168.16,168.2,168.03,168.05,48634
2026-06-10T11:35:00+05:30,168.08,168.1,167.91,168,16973
2026-06-10T11:40:00+05:30,168,168.05,167.89,167.98,51371
2026-06-10T11:45:00+05:30,167.98,168,167.75,167.95,327086
2026-06-10T11:50:00+05:30,167.95,168.4,167.91,168.4,34255
2026-06-10T11:55:00+05:30,168.35,168.35,168.08,168.1,48810
2026-06-10T12:00:00+05:30,168.08,168.1,167.92,168.06,25362
2026-06-10T12:05:00+05:30,168.06,168.18,168.01,168.07,22751
2026-06-10T12:10:00+05:30,168.07,168.17,168.01,168.13,27972
2026-06-10T12:15:00+05:30,168.13,168.28,168.1,168.21,73018
2026-06-10T12:20:00+05:30,168.21,168.36,168.16,168.2,21405
2026-06-10T12:25:00+05:30,168.2,168.3,168.05,168.25,30258
2026-06-10T12:30:00+05:30,168.25,168.36,168.14,168.24,32305
2026-06-10T12:35:00+05:30,168.24,168.29,168.17,168.23,17434
2026-06-10T12:40:00+05:30,168.23,168.25,167.95,168.04,135393
2026-06-10T12:45:00+05:30,168.04,168.09,167.97,168.05,57252
2026-06-10T12:50:00+05:30,168.05,168.9,168.01,168.8,150697
2026-06-10T12:55:00+05:30,168.85,169.25,168.73,169.1,252103
2026-06-10T13:00:00+05:30,169.1,169.62,169.07,169.58,145351
2026-06-10T13:05:00+05:30,169.59,169.8,169.44,169.58,142297
2026-06-10T13:10:00+05:30,169.58,169.65,169.41,169.44,70645
2026-06-10T13:15:00+05:30,169.44,169.49,169.1,169.2,90376
2026-06-10T13:20:00+05:30,169.2,169.25,169.06,169.06,59208
2026-06-10T13:25:00+05:30,169.1,169.41,168.21,168.21,255638
2026-06-10T13:30:00+05:30,168.56,168.85,168.51,168.69,111622
2026-06-10T13:35:00+05:30,168.72,168.74,168.42,168.48,53435
2026-06-10T13:40:00+05:30,168.48,168.73,168.36,168.44,44755
2026-06-10T13:45:00+05:30,168.44,168.75,168.4,168.58,44778
2026-06-10T13:50:00+05:30,168.58,168.65,168.5,168.53,62362
2026-06-10T13:55:00+05:30,168.6,168.63,168.44,168.6,103182
2026-06-10T14:00:00+05:30,168.63,168.93,168.5,168.92,40384
2026-06-10T14:05:00+05:30,168.92,168.92,168.55,168.58,24830
2026-06-10T14:10:00+05:30,168.58,168.64,167.9,168.21,440396
2026-06-10T14:15:00+05:30,168.21,168.43,168.12,168.43,98401
2026-06-10T14:20:00+05:30,168.43,168.64,168.36,168.55,38897
2026-06-10T14:25:00+05:30,168.55,168.6,168.27,168.38,26361
2026-06-10T14:30:00+05:30,168.37,168.37,167.98,168.18,413235
2026-06-10T14:35:00+05:30,168.18,168.22,168,168.03,103215
2026-06-10T14:40:00+05:30,168.03,168.09,167.82,168.02,281983
2026-06-10T14:45:00+05:30,168.02,168.11,167.86,167.94,423240
2026-06-10T14:50:00+05:30,167.94,168.09,167.86,168.03,148961
2026-06-10T14:55:00+05:30,168.01,168.2,168,168.13,89993
2026-06-10T15:00:00+05:30,168.1,168.26,168.02,168.17,220320
2026-06-10T15:05:00+05:30,168.17,168.19,168,168.12,197550
2026-06-10T15:10:00+05:30,168.18,168.2,167.73,167.82,450527
2026-06-10T15:15:00+05:30,167.87,168.05,167.77,168,882339
2026-06-10T15:20:00+05:30,168.06,168.13,167.86,168.1,416330
2026-06-10T15:25:00+05:30,168.1,168.31,168,168.2,226781
2026-06-11T09:15:00+05:30,167.9,167.9,166.17,167.01,187928
2026-06-11T09:20:00+05:30,167.04,167.26,166.72,167.05,266081
2026-06-11T09:25:00+05:30,166.97,167.25,166.9,167.02,63493
2026-06-11T09:30:00+05:30,167.03,167.15,166.76,167.02,65226
2026-06-11T09:35:00+05:30,167.02,167.52,166.91,167.42,60839
2026-06-11T09:40:00+05:30,167.42,167.68,167.2,167.68,64526
2026-06-11T09:45:00+05:30,167.69,167.7,167,167.24,76068
2026-06-11T09:50:00+05:30,167.25,167.41,167.07,167.3,47268
2026-06-11T09:55:00+05:30,167.3,167.3,167,167.08,55987
2026-06-11T10:00:00+05:30,167.08,167.2,166.38,166.54,188070
2026-06-11T10:05:00+05:30,166.54,166.88,166.5,166.69,50055
2026-06-11T10:10:00+05:30,166.78,166.8,166.51,166.54,68846
2026-06-11T10:15:00+05:30,166.55,166.64,166.41,166.61,83443
2026-06-11T10:20:00+05:30,166.61,166.79,166.33,166.5,92579
2026-06-11T10:25:00+05:30,166.51,166.58,166.48,166.53,48562
2026-06-11T10:30:00+05:30,166.58,166.77,166.51,166.66,56345
