date,open,high,low,close,volume
2026-06-08T09:15:00+05:30,738,741.5,736.6,740.3,2266468
2026-06-08T09:20:00+05:30,740.3,740.35,737.2,739.6,734016
2026-06-08T09:25:00+05:30,739.55,740.6,738.9,739.75,506658
2026-06-08T09:30:00+05:30,739.8,740.8,739.5,740.2,283751
2026-06-08T09:35:00+05:30,740.2,740.2,737,738.4,516461
2026-06-08T09:40:00+05:30,738.4,738.95,738.05,738.7,179678
2026-06-08T09:45:00+05:30,738.7,739.5,738,738.15,161110
2026-06-08T09:50:00+05:30,738.05,739.8,737,739.8,756912
2026-06-08T09:55:00+05:30,739.8,740.9,739.45,739.8,679072
2026-06-08T10:00:00+05:30,739.8,739.8,737.8,737.8,225227
2026-06-08T10:05:00+05:30,737.7,739.3,737.3,739.3,174338
2026-06-08T10:10:00+05:30,739.3,739.9,738.75,738.85,131247
2026-06-08T10:15:00+05:30,738.85,740.05,738.3,740,274559
2026-06-08T10:20:00+05:30,740,740.3,738.75,738.85,111847
2026-06-08T10:25:00+05:30,738.85,739.4,738.55,739.15,111396
2026-06-08T10:30:00+05:30,739.15,739.95,738.95,739.7,236879
2026-06-08T10:35:00+05:30,739.75,739.9,738.75,739.6,179453
2026-06-08T10:40:00+05:30,739.6,739.85,738.55,738.6,192123
2026-06-08T10:45:00+05:30,738.6,739,738.1,739,175347
2026-06-08T10:50:00+05:30,739,739.8,737.8,738.25,572067
2026-06-08T10:55:00+05:30,738.25,739.25,738.2,739.25,153000
2026-06-08T11:00:00+05:30,739.15,739.15,738.4,738.55,72004
2026-06-08T11:05:00+05:30,738.6,739,738.1,738.8,203660
2026-06-08T11:10:00+05:30,738.7,739.2,738.5,738.55,118008
2026-06-08T11:15:00+05:30,738.55,739,737.2,737.6,393845
2026-06-08T11:20:00+05:30,737.55,738,737.5,737.85,107402
2026-06-08T11:25:00+05:30,737.85,738,737.2,737.75,113858
2026-06-08T11:30:00+05:30,737.75,738,737.5,737.95,88112
2026-06-08T11:35:00+05:30,737.95,738,737.6,738,80599
2026-06-08T11:40:00+05:30,738,738,737.7,737.8,275716
2026-06-08T11:45:00+05:30,737.8,738,737.7,737.95,90212
2026-06-08T11:50:00+05:30,737.95,738.4,737.85,738.15,221468
2026-06-08T11:55:00+05:30,738.05,738.2,737.3,737.8,185034
2026-06-08T12:00:00+05:30,737.8,738.1,737.5,738.05,79024
2026-06-08T12:05:00+05:30,738.05,738.45,737.5,738.3,144834
2026-06-08T12:10:00+05:30,738.25,738.95,738.25,738.7,95287
