date,open,high,low,close,volume
2026-06-08T09:15:00+05:30,571.9,572,566.65,568.7,116110
2026-06-08T09:20:00+05:30,569,569,566.3,568,68629
2026-06-08T09:25:00+05:30,568.15,570.5,567.55,570.4,34501
2026-06-08T09:30:00+05:30,570.3,570.65,569.55,570,13711
2026-06-08T09:35:00+05:30,570,570.15,568.85,569.75,25101
2026-06-08T09:40:00+05:30,569.9,570.9,569.75,570.85,21907
2026-06-08T09:45:00+05:30,570.95,571.45,570,570,14719
2026-06-08T09:50:00+05:30,570,571.6,569.05,571.6,25462
2026-06-08T09:55:00+05:30,571.55,572.3,571.3,571.4,13068
2026-06-08T10:00:00+05:30,571.4,571.4,570,570.4,10418
2026-06-08T10:05:00+05:30,570,570.95,569.7,570.7,10215
2026-06-08T10:10:00+05:30,570.7,571.45,570.5,570.8,8487
2026-06-08T10:15:00+05:30,570.7,570.9,570.3,570.6,14488
2026-06-08T10:20:00+05:30,570.6,570.9,570.4,570.65,3769
2026-06-08T10:25:00+05:30,570.65,571.1,569.35,570.45,16429
2026-06-08T10:30:00+05:30,570.55,572.05,569.6,570.25,23820
2026-06-08T10:35:00+05:30,570.25,570.45,569.55,570.25,4644
2026-06-08T10:40:00+05:30,570.25,571.65,570,570.45,12360
2026-06-08T10:45:00+05:30,570.4,572.4,570.4,572.25,23498
2026-06-08T10:50:00+05:30,572.25,572.6,572.05,572.45,15431
2026-06-08T10:55:00+05:30,572.45,572.9,571.25,572.35,39139
2026-06-08T11:00:00+05:30,572.45,572.55,571.3,571.8,8455
2026-06-08T11:05:00+05:30,571.8,571.9,571.15,571.85,21449
2026-06-08T11:10:00+05:30,571.7,572,570.9,571.65,8556
2026-06-08T11:15:00+05:30,571.65,571.7,570.95,571.5,13466
2026-06-08T11:20:00+05:30,571.4,571.75,571.1,571.5,7330
2026-06-08T11:25:00+05:30,571.1,571.75,570.75,571.35,16729
2026-06-08T11:30:00+05:30,571.35,572.05,571.1,571.6,5876
2026-06-08T11:35:00+05:30,571.6,571.7,571.05,571.65,12375
2026-06-08T11:40:00+05:30,571.6,571.75,570.8,571.7,9810
