date,open,high,low,close,volume
2026-06-08T09:15:00+05:30,1246.4,1252.5,1243.9,1251.3,445759
2026-06-08T09:20:00+05:30,1251.3,1251.8,1249.6,1251.1,234290
2026-06-08T09:25:00+05:30,1251.3,1253.4,1249.7,1249.8,322114
2026-06-08T09:30:00+05:30,1249.8,1251.5,1249,1251.4,71309
2026-06-08T09:35:00+05:30,1251.9,1251.9,1248.2,1249.4,83114
2026-06-08T09:40:00+05:30,1249.2,1250.7,1248.6,1248.8,67040
2026-06-08T09:45:00+05:30,1249,1249.4,1246,1246,69248
2026-06-08T09:50:00+05:30,1246.1,1247.3,1245.5,1247.2,58534
2026-06-08T09:55:00+05:30,1247.2,1249.2,1247.1,1248.4,194635
2026-06-08T10:00:00+05:30,1248.4,1248.4,1245,1245.1,92988
2026-06-08T10:05:00+05:30,1244.8,1246.3,1243.2,1245.6,137876
2026-06-08T10:10:00+05:30,1245.6,1246.3,1243.9,1243.9,48078
2026-06-08T10:15:00+05:30,1244.1,1245,1243.1,1245,82367
2026-06-08T10:20:00+05:30,1245,1246.2,1245,1245.5,51441
2026-06-08T10:25:00+05:30,1245.6,1247,1244.6,1246.5,72883
2026-06-08T10:30:00+05:30,1246.6,1249.1,1246.2,1249.1,147888
2026-06-08T10:35:00+05:30,1248.9,1249.2,1247.1,1248.5,105868
2026-06-08T10:40:00+05:30,1248.6,1250.7,1248.2,1249,271167
2026-06-08T10:45:00+05:30,1248.9,1249.8,1248.5,1249.8,67870
2026-06-08T10:50:00+05:30,1249.8,1251.7,1248.2,1249.6,292206
2026-06-08T10:55:00+05:30,1249.5,1250.8,1248.3,1250,80341
2026-06-08T11:00:00+05:30,1250,1250,1248.6,1248.8,42074
2026-06-08T11:05:00+05:30,1248.8,1249.5,1247.6,1249,132053
2026-06-08T11:10:00+05:30,1249,1249.6,1247.9,1248.3,79603
2026-06-08T11:15:00+05:30,1248.3,1249,1246.1,1247.6,193792
2026-06-08T11:20:00+05:30,1247.6,1248,1247,1247.2,44279
2026-06-08T11:25:00+05:30,1247.3,1247.3,1245.7,1246,56638
2026-06-08T11:30:00+05:30,1246,1247.4,1245.6,1247.2,105656
2026-06-08T11:35:00+05:30,1247.2,1247.7,1246.8,1247.7,41666
2026-06-08T11:40:00+05:30,1247.7,1248.3,1247.5,1248.2,35069
2026-06-08T11:45:00+05:30,1248.2,1249.5,1248,1248.6,197004
2026-06-08T11:50:00+05:30,1248.6,1248.7,1246.9,1248.5,100509
2026-06-08T11:55:00+05:30,1248.5,1248.6,1247.2,1248.3,160037
2026-06-08T12:00:00+05:30,1248.2,1249.9,1248,1249.7,55536
2026-06-08T12:05:00+05:30,1249.7,1250.7,1248.6,1249.5,138687
2026-06-08T12:10:00+05:30,1249.5,1252.6,1249.4,1251.2,251871
2026-06-08T12:15:00+05:30,1251.1,1251.3,1250.2,1250.9,56528
2026-06-08T12:20:00+05:30,1251,1251.7,1250.6,1250.8,96944
2026-06-08T12:25:00+05:30,1250.9,1251.1,1250.6,1250.8,40496
2026-06-08T12:30:00+05:30,1250.8,1251.5,1250.6,1251.2,76102
2026-06-08T12:35:00+05:30,1251.4,1251.7,1251,1251.3,187715
2026-06-08T12:40:00+05:30,1251.2,1253.3,1251.1,1252.2,142905
2026-06-08T12:45:00+05:30,1252.2,1253.6,1251,1253.2,198093
2026-06-08T12:50:00+05:30,1253.1,1254,1252,1252.4,221169
2026-06-08T12:55:00+05:30,1252.3,1252.9,1252,1252.3,48609
2026-06-08T13:00:00+05:30,1252.2,1252.3,1250.6,1251,73392
2026-06-08T13:05:00+05:30,1251,1251.1,1249.9,1250.8,59642
2026-06-08T13:10:00+05:30,1250.9,1251,1250,1250.7,49702
2026-06-08T13:15:00+05:30,1250.6,1250.9,1250.1,1250.3,51579
2026-06-08T13:20:00+05:30,1250.2,1251.4,1250,1251.1,74636
2026-06-08T13:25:00+05:30,1251.1,1252.2,1250.1,1252.2,102942
2026-06-08T13:30:00+05:30,1252,1253.4,1250.6,1252.1,201000
2026-06-08T13:35:00+05:30,1252.1,1252.2,1250.8,1252.1,60367
2026-06-08T13:40:00+05:30,1252.3,1252.3,1250.8,1250.9,65612
2026-06-08T13:45:00+05:30,1250.8,1251.4,1249.5,1251.2,114414
2026-06-08T13:50:00+05:30,1251.1,1251.7,1249.8,1251.5,139880
2026-06-08T13:55:00+05:30,1251.3,1251.8,1250.5,1251.5,174240
2026-06-08T14:00:00+05:30,1251.5,1253.3,1251.2,1252.8,148655
2026-06-08T14:05:00+05:30,1252.8,1253.5,1252,1252.2,83198
2026-06-08T14:10:00+05:30,1252.2,1252.6,1251.1,1251.3,104756
2026-06-08T14:15:00+05:30,1251.2,1253.3,1250.5,1252.7,116662
2026-06-08T14:20:00+05:30,1252.6,1252.7,1251,1251.7,55033
2026-06-08T14:25:00+05:30,1251.6,1251.8,1251.2,1251.4,56895
2026-06-08T14:30:00+05:30,1251.4,1251.9,1249.2,1250.3,150935
2026-06-08T14:35:00+05:30,1250.3,1251.4,1249.7,1251.3,132597
2026-06-08T14:40:00+05:30,1251.4,1252.4,1250.8,1251.8,185788
2026-06-08T14:45:00+05:30,1251.7,1252,1249.4,1250.8,306169
2026-06-08T14:50:00+05:30,1250.8,1253,1250.5,1252.8,189151
2026-06-08T14:55:00+05:30,1252.9,1253,1250.7,1252.2,198989
2026-06-08T15:00:00+05:30,1252.2,1252.4,1248.1,1249.1,290335
2026-06-08T15:05:00+05:30,1249,1252.1,1249,1249.9,407411
2026-06-08T15:10:00+05:30,1249.9,1250.1,1249.2,1249.9,269065
2026-06-08T15:15:00+05:30,1249.9,1250.6,1249.5,1250.6,326253
2026-06-08T15:20:00+05:30,1250.6,1250.9,1250,1250.8,306140
2026-06-08T15:25:00+05:30,1250.8,1250.9,1248.5,1249.9,340807
2026-06-09T09:15:00+05:30,1255,1265,1252.7,1264.5,644405
2026-06-09T09:20:00+05:30,1264.4,1266.7,1262.7,1266.1,321254
2026-06-09T09:25:00+05:30,1266.1,1269.8,1266.1,1268.9,232380
2026-06-09T09:30:00+05:30,1269,1273.4,1268.9,1272.5,253221
2026-06-09T09:35:00+05:30,1272.6,1273,1268.3,1269.7,278663
2026-06-09T09:40:00+05:30,1269.7,1270.9,1269,1269.3,162432
2026-06-09T09:45:00+05:30,1269.2,1269.9,1266.4,1267.1,326820
2026-06-09T09:50:00+05:30,1267.1,1269.8,1265.6,1268.8,200882
2026-06-09T09:55:00+05:30,1268.8,1269.5,1267.5,1268.5,112414
2026-06-09T10:00:00+05:30,1268.5,1269.1,1267.1,1268.5,78183
2026-06-09T10:05:00+05:30,1268.5,1269.9,1267.3,1267.5,158114
2026-06-09T10:10:00+05:30,1267.7,1268.2,1266.6,1267.6,149973
2026-06-09T10:15:00+05:30,1267.5,1268.1,1267,1267.4,166557
2026-06-09T10:20:00+05:30,1267.4,1268.9,1267,1268.9,140542
2026-06-09T10:25:00+05:30,1268.9,1269.8,1268.1,1269.2,150582
2026-06-09T10:30:00+05:30,1269.2,1269.4,1267.6,1268.9,89122
2026-06-09T10:35:00+05:30,1268.9,1268.9,1268,1268.5,66886
2026-06-09T10:40:00+05:30,1268.5,1269.5,1268,1269.1,85530
2026-06-09T10:45:00+05:30,1269.1,1269.3,1267,1267,249133
2026-06-09T10:50:00+05:30,1267,1267,1265.1,1266.9,232257
2026-06-09T10:55:00+05:30,1267,1267,1263.1,1263.2,145810
2026-06-09T11:00:00+05:30,1262.8,1263.6,1261.5,1261.7,118908
2026-06-09T11:05:00+05:30,1261.7,1261.7,1260,1260.3,105912
2026-06-09T11:10:00+05:30,1260.3,1260.4,1259.1,1259.7,82406
2026-06-09T11:15:00+05:30,1259.7,1262.1,1259.4,1261.6,131858
2026-06-09T11:20:00+05:30,1261.6,1261.6,1257.9,1258.8,109790
2026-06-09T11:25:00+05:30,1258.8,1260.6,1258.2,1260.3,141771
2026-06-09T11:30:00+05:30,1260.3,1262.5,1259.6,1262.5,175297
2026-06-09T11:35:00+05:30,1262.5,1263.6,1262.1,1263.1,255948
2026-06-09T11:40:00+05:30,1263.1,1264,1260.6,1262.3,417798
2026-06-09T11:45:00+05:30,1262.2,1265,1261.6,1263.7,207697
2026-06-09T11:50:00+05:30,1263.7,1265.9,1263.2,1263.8,346348
2026-06-09T11:55:00+05:30,1263.8,1264.5,1263.2,1264,136069
2026-06-09T12:00:00+05:30,1263.9,1268.7,1263.9,1266.2,562531
2026-06-09T12:05:00+05:30,1266.3,1266.9,1265.2,1265.7,123529
2026-06-09T12:10:00+05:30,1265.6,1267.8,1265.4,1267.6,144291
2026-06-09T12:15:00+05:30,1267.6,1269.9,1267.1,1269.9,204630
2026-06-09T12:20:00+05:30,1269.7,1270.8,1268.4,1270.3,285886
2026-06-09T12:25:00+05:30,1270.1,1272,1270.1,1271.7,164564
2026-06-09T12:30:00+05:30,1271.7,1275.4,1271,1273.5,310660
2026-06-09T12:35:00+05:30,1273.5,1274.3,1271.7,1272.6,167992
2026-06-09T12:40:00+05:30,1272.6,1272.8,1270.6,1270.9,161092
2026-06-09T12:45:00+05:30,1270.8,1272.1,1270,1271.5,253683
2026-06-09T12:50:00+05:30,1271.4,1273,1270.9,1272.6,121610
2026-06-09T12:55:00+05:30,1272.6,1273.4,1271.4,1272.8,420105
2026-06-09T13:00:00+05:30,1272.5,1277.4,1272.5,1274.5,787307
2026-06-09T13:05:00+05:30,1274.8,1275,1272.6,1273.7,254452
2026-06-09T13:10:00+05:30,1273.7,1276.3,1273,1273.5,347429
2026-06-09T13:15:00+05:30,1273.5,1276.3,1271.5,1273.1,430137
2026-06-09T13:20:00+05:30,1273.1,1274.7,1272.3,1273.4,209946
2026-06-09T13:25:00+05:30,1273.4,1275.5,1273.1,1275.5,453687
2026-06-09T13:30:00+05:30,1275.4,1275.7,1273,1275.4,359506
2026-06-09T13:35:00+05:30,1275.4,1275.5,1272.9,1273.6,237759
2026-06-09T13:40:00+05:30,1273.7,1274,1271.3,1273.9,324599
2026-06-09T13:45:00+05:30,1273.9,1274,1272,1273,192040
2026-06-09T13:50:00+05:30,1273.1,1275,1272.5,1272.8,214878
2026-06-09T13:55:00+05:30,1272.8,1273.9,1272.5,1273.6,133193
2026-06-09T14:00:00+05:30,1273.4,1275.2,1272.5,1275,133328
2026-06-09T14:05:00+05:30,1275,1276.5,1274,1276,169661
2026-06-09T14:10:00+05:30,1276,1276.9,1275,1275,384556
2026-06-09T14:15:00+05:30,1275.1,1275.1,1272.7,1272.8,325516
2026-06-09T14:20:00+05:30,1272.8,1274.1,1271.3,1274,434597
2026-06-09T14:25:00+05:30,1274.1,1275.7,1273,1275.7,291176
2026-06-09T14:30:00+05:30,1275.7,1276.6,1274,1276.6,241941
2026-06-09T14:35:00+05:30,1276.5,1278,1275.8,1277.8,228858
2026-06-09T14:40:00+05:30,1277.8,1279.6,1277.4,1278.5,378696
2026-06-09T14:45:00+05:30,1278.5,1279.3,1277.6,1277.9,310135
2026-06-09T14:50:00+05:30,1278,1279.9,1277.1,1278.8,631193
2026-06-09T14:55:00+05:30,1278.8,1279.3,1278,1278.3,449754
2026-06-09T15:00:00+05:30,1278.1,1278.1,1274.1,1274.3,588660
2026-06-09T15:05:00+05:30,1274.2,1277.7,1272.5,1276.9,2139247
2026-06-09T15:10:00+05:30,1276.8,1277.6,1275.2,1275.5,936824
2026-06-09T15:15:00+05:30,1275.4,1275.6,1272,1273,578972
2026-06-09T15:20:00+05:30,1272.9,1274.6,1272.3,1274,340673
2026-06-09T15:25:00+05:30,1274,1276.5,1272.2,1273.8,282374
2026-06-10T09:15:00+05:30,1271.3,1284.9,1271.3,1280.9,1165948
2026-06-10T09:20:00+05:30,1280.9,1286.4,1280.9,1284.3,866802
2026-06-10T09:25:00+05:30,1284.3,1288.6,1283.2,1287.2,522715
2026-06-10T09:30:00+05:30,1287.2,1288.1,1283.7,1285,370494
2026-06-10T09:35:00+05:30,1285.4,1287.5,1284.4,1286,307170
2026-06-10T09:40:00+05:30,1286,1288,1286,1287.6,311213
2026-06-10T09:45:00+05:30,1287.6,1289.9,1286.9,1289.7,513562
2026-06-10T09:50:00+05:30,1289.8,1290.9,1288.2,1290.5,601245
2026-06-10T09:55:00+05:30,1290.5,1290.7,1285.1,1285.1,320421
2026-06-10T10:00:00+05:30,1285.1,1286.3,1285.1,1285.6,162578
2026-06-10T10:05:00+05:30,1285.6,1286,1283.3,1285.9,198383
2026-06-10T10:10:00+05:30,1285.7,1286.8,1285.7,1286,119887
2026-06-10T10:15:00+05:30,1286.1,1287.8,1285.1,1287.8,274295
2026-06-10T10:20:00+05:30,1287.8,1287.8,1285.3,1286,95908
2026-06-10T10:25:00+05:30,1286,1286.2,1284.4,1284.8,169429
2026-06-10T10:30:00+05:30,1284.8,1287.3,1284.8,1286.8,228336
2026-06-10T10:35:00+05:30,1286.8,1290,1286.7,1289.6,177646
2026-06-10T10:40:00+05:30,1289.6,1293,1289.3,1291.8,660058
2026-06-10T10:45:00+05:30,1291.8,1295.9,1291.8,1295.7,403788
2026-06-10T10:50:00+05:30,1295.7,1297.3,1294.2,1297.1,833063
2026-06-10T10:55:00+05:30,1297.1,1298.8,1294.9,1296.4,620411
2026-06-10T11:00:00+05:30,1296.9,1298.9,1296.2,1298.9,139988
2026-06-10T11:05:00+05:30,1298.9,1298.9,1296.4,1298.9,208780
2026-06-10T11:10:00+05:30,1298.9,1301,1298.1,1298.6,705753
2026-06-10T11:15:00+05:30,1298.5,1301,1298.5,1300.4,431021
2026-06-10T11:20:00+05:30,1300.4,1301.8,1299,1299.5,608437
2026-06-10T11:25:00+05:30,1299.7,1302.6,1299.3,1302.4,396436
2026-06-10T11:30:00+05:30,1302.4,1302.7,1300.7,1301.1,402530
2026-06-10T11:35:00+05:30,1301.4,1305.4,1300.9,1304.2,452683
2026-06-10T11:40:00+05:30,1304.2,1306,1303.3,1305.4,383584
2026-06-10T11:45:00+05:30,1305.4,1305.5,1302.9,1304,438728
