date,open,high,low,close,volume
2026-06-08T09:15:00+05:30,95.87,95.87,94.54,95.28,438797
2026-06-08T09:20:00+05:30,95.29,95.29,95,95.03,266262
2026-06-08T09:25:00+05:30,95.03,95.26,94.9,95.26,106043
2026-06-08T09:30:00+05:30,95.24,95.34,95.13,95.3,115107
2026-06-08T09:35:00+05:30,95.25,95.29,94.9,94.95,187310
2026-06-08T09:40:00+05:30,95,95.1,94.94,95.08,79547
2026-06-08T09:45:00+05:30,95.08,95.2,94.78,94.83,187784
2026-06-08T09:50:00+05:30,94.86,94.97,94.8,94.95,65122
2026-06-08T09:55:00+05:30,94.95,95.2,94.95,95.18,98039
2026-06-08T10:00:00+05:30,95.18,95.39,95.01,95.29,237255
2026-06-08T10:05:00+05:30,95.17,95.56,95.09,95.45,179091
2026-06-08T10:10:00+05:30,95.48,95.59,95.43,95.51,112583
2026-06-08T10:15:00+05:30,95.51,95.55,95.45,95.49,49845
2026-06-08T10:20:00+05:30,95.49,95.52,95.34,95.42,52421
2026-06-08T10:25:00+05:30,95.4,95.4,95.14,95.22,78381
2026-06-08T10:30:00+05:30,95.27,95.52,95.22,95.52,42521
2026-06-08T10:35:00+05:30,95.5,95.54,95.38,95.53,47368
2026-06-08T10:40:00+05:30,95.53,95.6,95.51,95.51,63557
2026-06-08T10:45:00+05:30,95.44,95.56,95.38,95.56,55059
2026-06-08T10:50:00+05:30,95.58,95.68,95.49,95.51,149397
2026-06-08T10:55:00+05:30,95.51,95.65,95.47,95.65,22269
2026-06-08T11:00:00+05:30,95.61,95.67,95.51,95.64,28133
2026-06-08T11:05:00+05:30,95.6,95.63,95.45,95.55,48690
2026-06-08T11:10:00+05:30,95.55,95.55,95.39,95.41,33160
2026-06-08T11:15:00+05:30,95.45,95.45,95.31,95.39,41461
2026-06-08T11:20:00+05:30,95.37,95.39,95.26,95.26,22027
2026-06-08T11:25:00+05:30,95.3,95.39,95.25,95.33,45209
2026-06-08T11:30:00+05:30,95.33,95.39,95.27,95.33,90860
2026-06-08T11:35:00+05:30,95.31,95.32,95.24,95.29,47343
2026-06-08T11:40:00+05:30,95.29,95.39,95.28,95.33,22051
2026-06-08T11:45:00+05:30,95.33,95.35,95.27,95.32,17444
2026-06-08T11:50:00+05:30,95.32,95.32,95.23,95.29,32742
2026-06-08T11:55:00+05:30,95.29,95.34,95.24,95.31,24780
2026-06-08T12:00:00+05:30,95.31,95.34,95.25,95.27,13915
2026-06-08T12:05:00+05:30,95.27,95.35,95.26,95.31,14100
2026-06-08T12:10:00+05:30,95.31,95.41,95.27,95.39,24243
2026-06-08T12:15:00+05:30,95.39,95.4,95.3,95.36,32925
2026-06-08T12:20:00+05:30,95.33,95.36,95.26,95.3,25864
2026-06-08T12:25:00+05:30,95.31,95.34,95.25,95.28,38013
2026-06-08T12:30:00+05:30,95.28,95.32,95.21,95.3,57574
2026-06-08T12:35:00+05:30,95.32,95.35,95.25,95.28,19517
2026-06-08T12:40:00+05:30,95.28,95.42,95.22,95.42,27272
2026-06-08T12:45:00+05:30,95.42,95.45,95.35,95.42,61462
2026-06-08T12:50:00+05:30,95.42,95.49,95.4,95.48,13262
2026-06-08T12:55:00+05:30,95.48,95.49,95.42,95.43,30658
2026-06-08T13:00:00+05:30,95.47,95.5,95.35,95.39,44307
2026-06-08T13:05:00+05:30,95.39,95.44,95.33,95.37,22478
2026-06-08T13:10:00+05:30,95.37,95.42,95.3,95.37,50969
2026-06-08T13:15:00+05:30,95.38,95.38,95.3,95.34,26408
2026-06-08T13:20:00+05:30,95.31,95.38,95.21,95.27,44920
2026-06-08T13:25:00+05:30,95.23,95.28,95.14,95.26,58758
2026-06-08T13:30:00+05:30,95.24,95.27,95.2,95.23,16969
2026-06-08T13:35:00+05:30,95.23,95.24,95.16,95.19,31382
2026-06-08T13:40:00+05:30,95.19,95.2,95.1,95.1,42765
2026-06-08T13:45:00+05:30,95.12,95.15,94.96,95.14,261628
2026-06-08T13:50:00+05:30,95.14,95.15,95.03,95.07,30096
2026-06-08T13:55:00+05:30,95.03,95.05,94.98,95.02,63170
2026-06-08T14:00:00+05:30,95.04,95.19,95.04,95.11,30749
2026-06-08T14:05:00+05:30,95.11,95.14,95.01,95.08,25295
2026-06-08T14:10:00+05:30,95.08,95.08,95.01,95.06,47393
2026-06-08T14:15:00+05:30,95.05,95.05,94.9,94.96,102128
2026-06-08T14:20:00+05:30,94.97,95,94.91,94.95,60070
2026-06-08T14:25:00+05:30,94.97,95,94.9,94.94,57953
2026-06-08T14:30:00+05:30,94.94,95.02,94.91,94.99,71381
2026-06-08T14:35:00+05:30,94.99,95.05,94.95,94.98,112328
2026-06-08T14:40:00+05:30,94.98,95.13,94.95,95.13,31171
2026-06-08T14:45:00+05:30,95.13,95.14,95.03,95.08,41869
2026-06-08T14:50:00+05:30,95.06,95.12,95,95.05,55310
2026-06-08T14:55:00+05:30,95.05,95.16,95,95.08,89362
2026-06-08T15:00:00+05:30,95.08,95.08,94.71,94.77,263833
2026-06-08T15:05:00+05:30,94.77,94.85,94.73,94.77,114700
2026-06-08T15:10:00+05:30,94.75,94.81,94.7,94.76,156224
2026-06-08T15:15:00+05:30,94.76,94.88,94.71,94.86,173269
2026-06-08T15:20:00+05:30,94.86,94.86,94.51,94.6,326522
2026-06-08T15:25:00+05:30,94.6,94.85,94.34,94.5,341188
2026-06-09T09:15:00+05:30,95.21,95.76,95,95.57,571757
2026-06-09T09:20:00+05:30,95.78,96.05,95.7,95.9,438619
2026-06-09T09:25:00+05:30,95.84,95.87,95.6,95.73,155328
2026-06-09T09:30:00+05:30,95.8,96,95.73,95.91,191307
2026-06-09T09:35:00+05:30,95.84,96.09,95.84,95.9,139227
2026-06-09T09:40:00+05:30,95.9,95.96,95.71,95.72,88734
2026-06-09T09:45:00+05:30,95.73,96.05,95.72,95.88,119839
2026-06-09T09:50:00+05:30,95.92,96.15,95.88,96.05,137257
2026-06-09T09:55:00+05:30,96.02,96.07,95.86,95.97,119606
2026-06-09T10:00:00+05:30,96,96.14,95.65,95.65,212118
2026-06-09T10:05:00+05:30,95.65,95.77,95.6,95.7,63027
2026-06-09T10:10:00+05:30,95.75,95.82,95.7,95.7,102906
2026-06-09T10:15:00+05:30,95.7,95.8,95.66,95.75,87598
2026-06-09T10:20:00+05:30,95.75,95.76,95.6,95.64,48150
2026-06-09T10:25:00+05:30,95.64,95.65,95.54,95.56,46314
2026-06-09T10:30:00+05:30,95.6,95.66,95.42,95.46,105978
2026-06-09T10:35:00+05:30,95.5,95.5,95.3,95.3,55683
2026-06-09T10:40:00+05:30,95.3,95.4,95.3,95.39,67540
2026-06-09T10:45:00+05:30,95.39,95.48,95.33,95.35,57935
2026-06-09T10:50:00+05:30,95.35,95.37,95.2,95.34,79155
2026-06-09T10:55:00+05:30,95.37,95.48,95.25,95.47,92135
2026-06-09T11:00:00+05:30,95.47,95.51,95.39,95.51,15690
2026-06-09T11:05:00+05:30,95.5,95.6,95.42,95.55,61138
2026-06-09T11:10:00+05:30,95.52,95.57,95.43,95.45,24188
2026-06-09T11:15:00+05:30,95.45,95.54,95.42,95.51,32515
2026-06-09T11:20:00+05:30,95.51,95.52,95.2,95.24,67199
2026-06-09T11:25:00+05:30,95.24,95.32,95.2,95.27,33069
2026-06-09T11:30:00+05:30,95.27,95.3,95.16,95.2,87081
2026-06-09T11:35:00+05:30,95.2,95.22,95.12,95.16,82192
2026-06-09T11:40:00+05:30,95.16,95.2,95.15,95.19,17858
2026-06-09T11:45:00+05:30,95.17,95.35,95.13,95.24,83380
2026-06-09T11:50:00+05:30,95.24,95.3,95.2,95.26,30224
2026-06-09T11:55:00+05:30,95.22,95.41,95.2,95.39,60471
2026-06-09T12:00:00+05:30,95.39,95.5,95.34,95.42,61315
2026-06-09T12:05:00+05:30,95.4,95.48,95.34,95.38,83012
2026-06-09T12:10:00+05:30,95.35,95.43,95.33,95.38,21403
2026-06-09T12:15:00+05:30,95.38,95.45,95.36,95.41,17025
2026-06-09T12:20:00+05:30,95.41,95.44,95.39,95.43,21378
2026-06-09T12:25:00+05:30,95.4,95.44,95.36,95.39,28554
2026-06-09T12:30:00+05:30,95.38,95.45,95.38,95.45,24416
2026-06-09T12:35:00+05:30,95.42,95.5,95.35,95.41,46467
2026-06-09T12:40:00+05:30,95.4,95.41,95.27,95.34,58130
2026-06-09T12:45:00+05:30,95.3,95.4,95.29,95.34,33487
2026-06-09T12:50:00+05:30,95.31,95.34,95.15,95.19,91153
2026-06-09T12:55:00+05:30,95.18,95.19,95.05,95.1,56190
2026-06-09T13:00:00+05:30,95.06,95.16,95.06,95.16,24523
2026-06-09T13:05:00+05:30,95.15,95.27,95.11,95.22,28632
2026-06-09T13:10:00+05:30,95.27,95.38,95.22,95.38,14911
2026-06-09T13:15:00+05:30,95.35,95.45,95.26,95.29,24929
2026-06-09T13:20:00+05:30,95.29,95.3,95.2,95.28,24100
2026-06-09T13:25:00+05:30,95.27,95.29,95.2,95.2,16575
2026-06-09T13:30:00+05:30,95.2,95.24,95.16,95.2,19128
2026-06-09T13:35:00+05:30,95.2,95.3,95.13,95.25,27661
2026-06-09T13:40:00+05:30,95.24,95.33,95.18,95.33,46878
2026-06-09T13:45:00+05:30,95.33,95.34,95.27,95.3,18997
2026-06-09T13:50:00+05:30,95.3,95.3,95.21,95.25,11034
2026-06-09T13:55:00+05:30,95.25,95.28,95.2,95.26,43688
2026-06-09T14:00:00+05:30,95.26,95.3,95.24,95.3,22976
2026-06-09T14:05:00+05:30,95.3,95.4,95.26,95.31,75259
2026-06-09T14:10:00+05:30,95.31,95.48,95.31,95.4,43134
2026-06-09T14:15:00+05:30,95.4,95.48,95.35,95.48,75274
2026-06-09T14:20:00+05:30,95.45,95.46,95.32,95.38,30201
2026-06-09T14:25:00+05:30,95.38,95.48,95.38,95.48,33774
2026-06-09T14:30:00+05:30,95.48,95.49,95.4,95.45,33849
2026-06-09T14:35:00+05:30,95.45,95.5,95.3,95.46,101920
2026-06-09T14:40:00+05:30,95.46,95.73,95.45,95.66,86208
2026-06-09T14:45:00+05:30,95.66,95.78,95.64,95.67,99801
2026-06-09T14:50:00+05:30,95.67,95.86,95.64,95.86,115081
