date,open,high,low,close,volume
2026-06-08T09:15:00+05:30,3901.1,3916.7,3892.2,3899,79698
2026-06-08T09:20:00+05:30,3898.2,3906.7,3895,3898,45262
2026-06-08T09:25:00+05:30,3898.8,3904.5,3896.3,3901.1,27855
2026-06-08T09:30:00+05:30,3901.1,3902.5,3898,3901.4,22845
2026-06-08T09:35:00+05:30,3902.8,3902.8,3887.7,3893,37634
2026-06-08T09:40:00+05:30,3894.5,3897.5,3878.1,3885.9,43888
2026-06-08T09:45:00+05:30,3886,3889.6,3879.9,3879.9,23606
2026-06-08T09:50:00+05:30,3879.1,3884.1,3875.6,3883.5,20049
2026-06-08T09:55:00+05:30,3884,3896,3883.1,3895.4,16057
2026-06-08T10:00:00+05:30,3895.9,3896.5,3885,3886.3,13924
2026-06-08T10:05:00+05:30,3885,3892.1,3883.6,3889.1,14058
2026-06-08T10:10:00+05:30,3889.1,3889.9,3886.3,3887.4,10886
2026-06-08T10:15:00+05:30,3887.3,3887.3,3880.2,3883,15831
2026-06-08T10:20:00+05:30,3883.9,3890.9,3880.3,3888.3,30356
2026-06-08T10:25:00+05:30,3888.5,3890,3883.3,3884.5,45297
2026-06-08T10:30:00+05:30,3885.4,3892.8,3884,3892.8,13994
2026-06-08T10:35:00+05:30,3892.8,3898.4,3892,3895.4,22222
2026-06-08T10:40:00+05:30,3895,3897.1,3886.9,3886.9,16974
2026-06-08T10:45:00+05:30,3887.3,3888.8,3884,3888,14880
2026-06-08T10:50:00+05:30,3888,3890.2,3885,3886.4,11065
2026-06-08T10:55:00+05:30,3886.4,3889,3882,3888.9,14124
2026-06-08T11:00:00+05:30,3888.9,3890.4,3884.6,3888.5,11334
2026-06-08T11:05:00+05:30,3888.5,3888.6,3881,3882.7,30598
2026-06-08T11:10:00+05:30,3882.7,3884.6,3879,3879.9,21341
2026-06-08T11:15:00+05:30,3879.6,3880.1,3875,3875.7,19532
2026-06-08T11:20:00+05:30,3875.7,3883.2,3875,3882.1,35184
2026-06-08T11:25:00+05:30,3882.1,3888,3880.4,3886.6,14474
2026-06-08T11:30:00+05:30,3886.8,3888.7,3884.6,3886.5,15296
2026-06-08T11:35:00+05:30,3886.5,3892.3,3884.3,3890.8,15182
2026-06-08T11:40:00+05:30,3890.6,3892,3888.1,3891.1,10564
2026-06-08T11:45:00+05:30,3891,3896.9,3890,3895.5,15829
2026-06-08T11:50:00+05:30,3895.5,3896.1,3891,3892,26000
2026-06-08T11:55:00+05:30,3892,3897,3891.7,3895.5,12773
2026-06-08T12:00:00+05:30,3895.5,3897,3894,3895.2,15423
2026-06-08T12:05:00+05:30,3895.2,3895.8,3889.2,3894.3,29127
2026-06-08T12:10:00+05:30,3894.3,3895.6,3891.3,3892.9,9373
2026-06-08T12:15:00+05:30,3893.1,3895.5,3888.9,3894.5,26561
2026-06-08T12:20:00+05:30,3894.6,3897.3,3892.5,3896.5,13699
2026-06-08T12:25:00+05:30,3896.4,3898.7,3895.6,3896.3,10683
2026-06-08T12:30:00+05:30,3896.3,3897.8,3895,3896.8,8924
