date,open,high,low,close,volume
2026-06-08T09:15:00+05:30,12900,12949,12853,12870,14835
2026-06-08T09:20:00+05:30,12862,12938,12841,12930,11514
2026-06-08T09:25:00+05:30,12930,12948,12913,12948,6769
2026-06-08T09:30:00+05:30,12948,12979,12931,12978,9755
2026-06-08T09:35:00+05:30,12978,12978,12936,12949,6635
2026-06-08T09:40:00+05:30,12948,12950,12921,12930,5600
2026-06-08T09:45:00+05:30,12928,12939,12921,12932,3405
2026-06-08T09:50:00+05:30,12932,12950,12920,12946,3681
2026-06-08T09:55:00+05:30,12945,12965,12941,12952,3160
2026-06-08T10:00:00+05:30,12952,12965,12950,12959,2972
2026-06-08T10:05:00+05:30,12954,12968,12954,12961,15724
2026-06-08T10:10:00+05:30,12957,12964,12957,12958,3558
2026-06-08T10:15:00+05:30,12959,12961,12925,12947,18580
2026-06-08T10:20:00+05:30,12947,12949,12925,12927,3358
2026-06-08T10:25:00+05:30,12926,12934,12923,12930,1918
2026-06-08T10:30:00+05:30,12933,12964,12932,12960,2537
2026-06-08T10:35:00+05:30,12960,12960,12950,12955,868
2026-06-08T10:40:00+05:30,12955,12959,12940,12945,1155
2026-06-08T10:45:00+05:30,12945,12945,12936,12939,1372
2026-06-08T10:50:00+05:30,12944,12950,12937,12945,1335
2026-06-08T10:55:00+05:30,12945,12953,12938,12947,2491
2026-06-08T11:00:00+05:30,12947,12960,12942,12950,1337
2026-06-08T11:05:00+05:30,12951,12953,12942,12948,3356
2026-06-08T11:10:00+05:30,12948,12958,12942,12950,1157
2026-06-08T11:15:00+05:30,12954,12960,12945,12950,859
2026-06-08T11:20:00+05:30,12950,12952,12936,12945,1767
2026-06-08T11:25:00+05:30,12940,12953,12939,12950,2934
2026-06-08T11:30:00+05:30,12950,12959,12945,12955,1191
2026-06-08T11:35:00+05:30,12955,12965,12954,12959,951
2026-06-08T11:40:00+05:30,12959,12999,12959,12993,6180
2026-06-08T11:45:00+05:30,12992,12998,12984,12993,1529
2026-06-08T11:50:00+05:30,12993,13029,12988,13025,6559
2026-06-08T11:55:00+05:30,13025,13028,13003,13010,5901
2026-06-08T12:00:00+05:30,13010,13015,12994,12999,1615
2026-06-08T12:05:00+05:30,12999,12999,12970,12987,2816
2026-06-08T12:10:00+05:30,12985,13000,12985,12991,4252
2026-06-08T12:15:00+05:30,12991,13004,12991,12992,4190
2026-06-08T12:20:00+05:30,12995,13004,12988,13004,3537
2026-06-08T12:25:00+05:30,13003,13005,13000,13005,1456
2026-06-08T12:30:00+05:30,13005,13008,12983,12995,12909
2026-06-08T12:35:00+05:30,12995,13000,12986,12999,3730
2026-06-08T12:40:00+05:30,13000,13004,12996,13000,2476
2026-06-08T12:45:00+05:30,13000,13003,12999,13000,1344
2026-06-08T12:50:00+05:30,13000,13010,13000,13002,1162
2026-06-08T12:55:00+05:30,13005,13009,13000,13000,1052
2026-06-08T13:00:00+05:30,13004,13004,12999,13002,1147
2026-06-08T13:05:00+05:30,13000,13002,12990,12998,1141
