date,open,high,low,close,volume
2026-06-08T09:15:00+05:30,2380,2406.1,2380,2397.4,38651
2026-06-08T09:20:00+05:30,2397.4,2397.4,2385.2,2386.8,23847
2026-06-08T09:25:00+05:30,2387.9,2395.8,2385.2,2391,19867
2026-06-08T09:30:00+05:30,2392.2,2393,2385.1,2388.7,13948
2026-06-08T09:35:00+05:30,2389,2389,2372.6,2374.6,47211
2026-06-08T09:40:00+05:30,2373.1,2381.9,2372,2381.8,16200
2026-06-08T09:45:00+05:30,2380.8,2388.5,2376,2377,12044
2026-06-08T09:50:00+05:30,2377,2378.5,2373.5,2378.3,14215
2026-06-08T09:55:00+05:30,2378.4,2385,2378.1,2383.7,9934
2026-06-08T10:00:00+05:30,2384.8,2384.8,2378,2381.1,7572
2026-06-08T10:05:00+05:30,2381.1,2381.2,2370.2,2378,20591
2026-06-08T10:10:00+05:30,2377.1,2379.6,2372.1,2373,27083
2026-06-08T10:15:00+05:30,2372.9,2377.8,2371,2377.8,9124
2026-06-08T10:20:00+05:30,2376.5,2379.3,2374,2375.7,6083
2026-06-08T10:25:00+05:30,2375.7,2375.9,2368.1,2372.1,16689
2026-06-08T10:30:00+05:30,2372.9,2383.4,2372,2382.9,9822
2026-06-08T10:35:00+05:30,2382.9,2389.9,2381.5,2387,12706
2026-06-08T10:40:00+05:30,2387,2393,2386,2389.1,13091
2026-06-08T10:45:00+05:30,2390.4,2390.4,2387,2390,4475
2026-06-08T10:50:00+05:30,2389.2,2391.6,2385,2385,6194
2026-06-08T10:55:00+05:30,2385,2389.9,2383,2389,4211
2026-06-08T11:00:00+05:30,2389,2390,2387.2,2388.8,1940
2026-06-08T11:05:00+05:30,2388.8,2389,2386,2386.9,5444
2026-06-08T11:10:00+05:30,2386.8,2387.3,2381.5,2383.1,3733
2026-06-08T11:15:00+05:30,2384.9,2385,2381,2382,3593
2026-06-08T11:20:00+05:30,2382,2383.2,2380.5,2381,2820
2026-06-08T11:25:00+05:30,2381,2387.5,2380.5,2386.2,2616
2026-06-08T11:30:00+05:30,2386.2,2389,2385.4,2389,4351
2026-06-08T11:35:00+05:30,2388.7,2390.8,2387.7,2390.2,5779
2026-06-08T11:40:00+05:30,2390,2390.8,2388.7,2390.1,2877
