date,open,high,low,close,volume
2026-06-08T09:15:00+05:30,3081.8,3113.9,3061.3,3082,29704
2026-06-08T09:20:00+05:30,3084.4,3089.5,3077.3,3083.4,9267
2026-06-08T09:25:00+05:30,3083.4,3088.4,3079,3088.4,9604
2026-06-08T09:30:00+05:30,3088.8,3089.8,3080.8,3082,6810
2026-06-08T09:35:00+05:30,3083.3,3083.3,3062.1,3067,16332
2026-06-08T09:40:00+05:30,3067,3071,3060.4,3064.8,7048
2026-06-08T09:45:00+05:30,3065.1,3072.7,3060.1,3060.1,6372
2026-06-08T09:50:00+05:30,3060.1,3061.5,3047.1,3055.2,14138
2026-06-08T09:55:00+05:30,3056.2,3075.4,3055,3073,10778
2026-06-08T10:00:00+05:30,3073,3073,3063,3063.5,7726
2026-06-08T10:05:00+05:30,3063.5,3066,3058.5,3063,5349
2026-06-08T10:10:00+05:30,3062.7,3064.7,3057.2,3060.6,4661
2026-06-08T10:15:00+05:30,3059.1,3065.5,3059.1,3065.5,4334
2026-06-08T10:20:00+05:30,3064.6,3066.3,3060,3064.8,3115
2026-06-08T10:25:00+05:30,3063.8,3065,3056,3057.2,3097
2026-06-08T10:30:00+05:30,3056.2,3065,3056.1,3064.9,3020
2026-06-08T10:35:00+05:30,3064.6,3068.4,3063,3067,5551
2026-06-08T10:40:00+05:30,3066,3066.5,3060,3061.5,1992
2026-06-08T10:45:00+05:30,3060,3062.9,3057,3060.8,3544
2026-06-08T10:50:00+05:30,3060.8,3064.8,3058.3,3059.7,2456
2026-06-08T10:55:00+05:30,3059.8,3062.9,3057.5,3059.1,3943
2026-06-08T11:00:00+05:30,3059,3062.8,3056.4,3058,3566
2026-06-08T11:05:00+05:30,3059.4,3059.4,3053,3055,6890
2026-06-08T11:10:00+05:30,3055,3055,3050,3053.2,7462
2026-06-08T11:15:00+05:30,3051.4,3053.3,3047.1,3050.1,10237
2026-06-08T11:20:00+05:30,3050.1,3051.7,3042.3,3043.1,9442
2026-06-08T11:25:00+05:30,3043.2,3048.6,3040,3046.8,6638
2026-06-08T11:30:00+05:30,3046.8,3049.8,3045.4,3047,3275
2026-06-08T11:35:00+05:30,3047.2,3049,3045,3048.1,3215
2026-06-08T11:40:00+05:30,3048.9,3049.9,3048,3049.2,2618
2026-06-08T11:45:00+05:30,3048,3053.8,3047.4,3049,6554
2026-06-08T11:50:00+05:30,3049,3049.4,3036,3037.3,22348
2026-06-08T11:55:00+05:30,3037.3,3039.3,3031.3,3032,19249
2026-06-08T12:00:00+05:30,3032,3033.3,3028,3032.7,9582
2026-06-08T12:05:00+05:30,3031.3,3035.9,3026.4,3027,17899
2026-06-08T12:10:00+05:30,3027,3032.2,3027,3030,3137
2026-06-08T12:15:00+05:30,3029,3029.7,3025.1,3027,3964
2026-06-08T12:20:00+05:30,3027,3031,3025.1,3029.8,4120
2026-06-08T12:25:00+05:30,3029.8,3029.8,3025.6,3027.9,3965
2026-06-08T12:30:00+05:30,3027.9,3030.2,3025.6,3030.2,3335
2026-06-08T12:35:00+05:30,3030.5,3032.9,3029.5,3030,3958
2026-06-08T12:40:00+05:30,3030.9,3032.2,3028.8,3030,3834
2026-06-08T12:45:00+05:30,3030,3033.2,3029.2,3032.6,4961
2026-06-08T12:50:00+05:30,3032,3033.9,3030.6,3032,4390
2026-06-08T12:55:00+05:30,3032,3032.8,3030.1,3032,2229
2026-06-08T13:00:00+05:30,3032.1,3033,3028,3028.7,6430
2026-06-08T13:05:00+05:30,3028.7,3029.4,3024,3028,10272
2026-06-08T13:10:00+05:30,3028,3028,3014.8,3018,24687
2026-06-08T13:15:00+05:30,3017.5,3018,3010,3010.1,19835
2026-06-08T13:20:00+05:30,3010,3010,3005,3007.2,11844
2026-06-08T13:25:00+05:30,3006,3009,3005,3007.2,6750
2026-06-08T13:30:00+05:30,3007.2,3011.9,3004.5,3011.9,11935
2026-06-08T13:35:00+05:30,3011.9,3011.9,3006.4,3008.8,3846
2026-06-08T13:40:00+05:30,3009.1,3010.5,3004.1,3004.1,13667
2026-06-08T13:45:00+05:30,3004.1,3010,3003.6,3009.8,14807
2026-06-08T13:50:00+05:30,3009.8,3011.3,3006,3007.4,9161
2026-06-08T13:55:00+05:30,3008.2,3008.2,3001,3006,12549
2026-06-08T14:00:00+05:30,3006,3012,3004,3006.8,11567
2026-06-08T14:05:00+05:30,3007.7,3007.7,3000.1,3003.8,8604
2026-06-08T14:10:00+05:30,3003.7,3004.8,3000,3000,11799
2026-06-08T14:15:00+05:30,3000.1,3002.9,2996.3,3000.6,8454
2026-06-08T14:20:00+05:30,3000.1,3000.1,2995,2996.4,9198
2026-06-08T14:25:00+05:30,2996.4,3000,2993,2995,12878
2026-06-08T14:30:00+05:30,2996.1,2996.1,2986.7,2989,24782
2026-06-08T14:35:00+05:30,2988.3,2994,2981.1,2982.9,23020
2026-06-08T14:40:00+05:30,2982.9,3000,2982,2990,31858
2026-06-08T14:45:00+05:30,2993.8,2993.9,2985,2985.2,37344
2026-06-08T14:50:00+05:30,2986.3,2987.6,2979.6,2983.7,55028
2026-06-08T14:55:00+05:30,2984.1,2985,2974.7,2983.5,53444
2026-06-08T15:00:00+05:30,2983.3,2983.3,2959,2962.1,73294
2026-06-08T15:05:00+05:30,2962.1,2969.5,2959,2967,26103
2026-06-08T15:10:00+05:30,2967,2969.9,2963.9,2965.9,31352
2026-06-08T15:15:00+05:30,2965.9,2976.9,2965,2975,52595
2026-06-08T15:20:00+05:30,2975,2975,2952.2,2954,41159
2026-06-08T15:25:00+05:30,2954,2955.5,2951,2954,36373
2026-06-09T09:15:00+05:30,2971,2999,2967.6,2991.1,32295
2026-06-09T09:20:00+05:30,2990.3,2995,2982.8,2984.7,14885
2026-06-09T09:25:00+05:30,2984.5,2992,2976,2976.6,17267
2026-06-09T09:30:00+05:30,2977,2983.9,2976.7,2983.5,9909
2026-06-09T09:35:00+05:30,2982.9,2987,2980,2982.1,6086
2026-06-09T09:40:00+05:30,2982,2982,2970.1,2970.8,12628
2026-06-09T09:45:00+05:30,2971,2976,2965.2,2969.9,9836
2026-06-09T09:50:00+05:30,2970,2991.3,2969.3,2980,11382
2026-06-09T09:55:00+05:30,2980,2982.7,2961.4,2963.3,13983
2026-06-09T10:00:00+05:30,2963.9,2965,2956,2958.4,10888
2026-06-09T10:05:00+05:30,2958.4,2959.6,2953.9,2958.2,7684
2026-06-09T10:10:00+05:30,2959,2972.1,2958.3,2970.9,6151
2026-06-09T10:15:00+05:30,2969.6,2971.5,2951.1,2954,36969
2026-06-09T10:20:00+05:30,2954,2962.1,2947,2955.2,8906
2026-06-09T10:25:00+05:30,2955.1,2956.9,2952.1,2954.8,4325
2026-06-09T10:30:00+05:30,2954.8,2955,2951.5,2953.2,3653
2026-06-09T10:35:00+05:30,2954.2,2955.4,2950.2,2951,3585
2026-06-09T10:40:00+05:30,2951,2952.6,2946.1,2951.6,10354
2026-06-09T10:45:00+05:30,2951.9,2955,2945,2945,6677
2026-06-09T10:50:00+05:30,2945,2950.5,2945,2950,3899
2026-06-09T10:55:00+05:30,2950,2957.9,2944,2952.7,17520
2026-06-09T11:00:00+05:30,2952.7,2952.7,2945.1,2948.9,3137
2026-06-09T11:05:00+05:30,2948.4,2950.3,2945.4,2948.4,2865
2026-06-09T11:10:00+05:30,2948.4,2952.6,2946.5,2951.8,4290
2026-06-09T11:15:00+05:30,2951.8,2952.1,2945,2947.5,4910
2026-06-09T11:20:00+05:30,2947.5,2949,2941.3,2943.7,4755
2026-06-09T11:25:00+05:30,2943.7,2948.7,2942.1,2943.5,4584
2026-06-09T11:30:00+05:30,2943.5,2951,2942.9,2949.4,3883
2026-06-09T11:35:00+05:30,2949.4,2959,2948.3,2958.5,9491
2026-06-09T11:40:00+05:30,2956.9,2962.5,2955.2,2958,10204
2026-06-09T11:45:00+05:30,2958,2963,2956.9,2959.8,6931
2026-06-09T11:50:00+05:30,2959.8,2978,2959.8,2977,34292
2026-06-09T11:55:00+05:30,2977,2993.2,2975.9,2990.1,17871
2026-06-09T12:00:00+05:30,2990.1,2992.2,2985.8,2986.6,6835
2026-06-09T12:05:00+05:30,2986.6,2987.5,2983.9,2985.3,4494
2026-06-09T12:10:00+05:30,2985,2986.8,2974.8,2976.2,6175
2026-06-09T12:15:00+05:30,2975.2,2981.9,2975,2980.7,3790
2026-06-09T12:20:00+05:30,2980.7,2981.4,2978.6,2979.6,2866
2026-06-09T12:25:00+05:30,2979.6,2995,2978.9,2994,9059
2026-06-09T12:30:00+05:30,2994.5,3008,2993.3,3004.9,20276
2026-06-09T12:35:00+05:30,3005,3006.9,2999.5,3000,5078
2026-06-09T12:40:00+05:30,3000,3004.7,2998.9,3004,3857
2026-06-09T12:45:00+05:30,3004,3008,2990.6,2991.9,8429
2026-06-09T12:50:00+05:30,2993.2,2993.8,2987.9,2990.4,3947
2026-06-09T12:55:00+05:30,2989.7,2990.2,2986,2987.6,2681
2026-06-09T13:00:00+05:30,2987.6,2989.2,2984.9,2986.6,2881
2026-06-09T13:05:00+05:30,2986.6,2991.8,2986.6,2991.3,2062
2026-06-09T13:10:00+05:30,2991.3,2993.2,2986.9,2993.2,2711
2026-06-09T13:15:00+05:30,2993.2,2995,2982.1,2982.2,4399
2026-06-09T13:20:00+05:30,2983.4,2987.5,2978,2979.7,16192
2026-06-09T13:25:00+05:30,2978.3,2980.3,2976.2,2976.9,5307
2026-06-09T13:30:00+05:30,2978.1,2979.8,2975,2978,6790
2026-06-09T13:35:00+05:30,2978,2981.7,2976.9,2979.5,5423
2026-06-09T13:40:00+05:30,2979.5,2981,2976.6,2977.3,5311
2026-06-09T13:45:00+05:30,2977.7,2978.8,2976.1,2976.7,3716
2026-06-09T13:50:00+05:30,2976.5,2982.3,2976,2978.8,3341
2026-06-09T13:55:00+05:30,2977.5,2981.1,2975,2975.6,10025
2026-06-09T14:00:00+05:30,2975.6,2976.9,2973,2973,3384
2026-06-09T14:05:00+05:30,2973,2981,2972.8,2980.7,3378
2026-06-09T14:10:00+05:30,2981.1,2987.6,2980.7,2987.3,5115
2026-06-09T14:15:00+05:30,2987.3,2988.3,2983.4,2984.7,3537
2026-06-09T14:20:00+05:30,2984.7,2987.5,2982,2986.5,3994
2026-06-09T14:25:00+05:30,2986.6,2992.1,2983.6,2990.9,3678
2026-06-09T14:30:00+05:30,2990.9,2993,2987.8,2990.3,3937
2026-06-09T14:35:00+05:30,2990.3,2998.7,2990.3,2998,6841
2026-06-09T14:40:00+05:30,2998,2999.8,2991.8,2991.8,11267
2026-06-09T14:45:00+05:30,2991.8,2993.5,2986.2,2988,6064
2026-06-09T14:50:00+05:30,2988,2992.8,2982.4,2987.2,9810
2026-06-09T14:55:00+05:30,2987.1,2992.9,2985.9,2990.3,12559
2026-06-09T15:00:00+05:30,2990.3,2990.9,2980,2989.4,17978
2026-06-09T15:05:00+05:30,2989.4,2996.7,2988.1,2989.4,18768
2026-06-09T15:10:00+05:30,2989.4,2991.6,2985,2991.6,17598
2026-06-09T15:15:00+05:30,2991.6,2991.9,2987,2989.1,17875
2026-06-09T15:20:00+05:30,2989.1,2996,2985.7,2994.1,36693
2026-06-09T15:25:00+05:30,2994.1,3002,2993.7,3000.9,13671
2026-06-10T09:15:00+05:30,2959.9,2960,2912,2929.8,93989
2026-06-10T09:20:00+05:30,2931,2933.9,2889,2899.9,55856
2026-06-10T09:25:00+05:30,2899.1,2909,2891,2907.4,36172
2026-06-10T09:30:00+05:30,2907.4,2919.6,2902,2913.1,13628
2026-06-10T09:35:00+05:30,2913.1,2915,2895,2901.9,29961
2026-06-10T09:40:00+05:30,2901.9,2901.9,2890,2891.2,26180
2026-06-10T09:45:00+05:30,2891.2,2898.9,2884.6,2893.2,31631
2026-06-10T09:50:00+05:30,2894.1,2894.1,2876.6,2878,26082
2026-06-10T09:55:00+05:30,2878,2883.6,2875.2,2881,24578
2026-06-10T10:00:00+05:30,2881.1,2889.6,2881,2882,15199
2026-06-10T10:05:00+05:30,2882,2884.1,2879.9,2880.3,9262
2026-06-10T10:10:00+05:30,2880.3,2881,2871.9,2873.3,15857
2026-06-10T10:15:00+05:30,2872.9,2876.4,2872.7,2876.1,10300
2026-06-10T10:20:00+05:30,2876.4,2886.4,2873.6,2878,21514
2026-06-10T10:25:00+05:30,2877,2877,2870.2,2874,15751
2026-06-10T10:30:00+05:30,2873.4,2874,2870,2872.8,13620
2026-06-10T10:35:00+05:30,2873.9,2877.5,2870.5,2877,13864
2026-06-10T10:40:00+05:30,2876,2884,2873.6,2880.1,11930
2026-06-10T10:45:00+05:30,2880.1,2883.7,2879,2880.3,15155
2026-06-10T10:50:00+05:30,2880.5,2885,2879.2,2881,19019
2026-06-10T10:55:00+05:30,2881,2890,2880.2,2888.1,13900
2026-06-10T11:00:00+05:30,2888.1,2888.8,2880.4,2886,10023
2026-06-10T11:05:00+05:30,2886.1,2896.7,2885.1,2895,22858
2026-06-10T11:10:00+05:30,2895,2913.8,2894,2900,30018
2026-06-10T11:15:00+05:30,2900,2903,2897.1,2897.1,8417
2026-06-10T11:20:00+05:30,2897.3,2898,2890,2895.8,10376
2026-06-10T11:25:00+05:30,2896,2900.6,2889,2889.1,42490
2026-06-10T11:30:00+05:30,2889.1,2890.9,2886,2887.1,6386
2026-06-10T11:35:00+05:30,2887.4,2898,2886.3,2898,9561
2026-06-10T11:40:00+05:30,2897.1,2899.7,2893,2897.2,8611
2026-06-10T11:45:00+05:30,2897.8,2899.1,2891.6,2894.1,4405
2026-06-10T11:50:00+05:30,2895,2900,2894.1,2898.8,11508
2026-06-10T11:55:00+05:30,2898.8,2909,2898.2,2904.8,18808
2026-06-10T12:00:00+05:30,2904.8,2904.8,2894.4,2894.5,10300
2026-06-10T12:05:00+05:30,2894.5,2899.3,2893.2,2899.3,7761
2026-06-10T12:10:00+05:30,2898.7,2899.6,2894.7,2896.1,4456
2026-06-10T12:15:00+05:30,2896.1,2898.1,2895,2898.1,3460
2026-06-10T12:20:00+05:30,2898.1,2901.9,2893.2,2896.7,13773
2026-06-10T12:25:00+05:30,2896.7,2897.8,2894.4,2894.5,4337
2026-06-10T12:30:00+05:30,2894.5,2899,2891.8,2898.1,10222
2026-06-10T12:35:00+05:30,2898.1,2900,2894.5,2894.9,4299
2026-06-10T12:40:00+05:30,2894.9,2895.6,2890,2891.6,4349
2026-06-10T12:45:00+05:30,2891.6,2894.9,2883.4,2884,10921
2026-06-10T12:50:00+05:30,2884,2890.1,2883.2,2887,10298
2026-06-10T12:55:00+05:30,2887,2887,2882,2886,8337
2026-06-10T13:00:00+05:30,2886.5,2890.2,2885.9,2890.2,8967
2026-06-10T13:05:00+05:30,2890.2,2890.6,2886,2889.3,4862
2026-06-10T13:10:00+05:30,2889.4,2892.1,2887.2,2890.5,7257
2026-06-10T13:15:00+05:30,2890.8,2892.4,2888.6,2889.2,4044
2026-06-10T13:20:00+05:30,2889.2,2889.2,2883.5,2884.8,11716
2026-06-10T13:25:00+05:30,2884.8,2887.5,2883.6,2885.5,5813
2026-06-10T13:30:00+05:30,2884.5,2885.6,2880.5,2881.6,6150
2026-06-10T13:35:00+05:30,2881.6,2885,2876.1,2880.9,9801
2026-06-10T13:40:00+05:30,2880.9,2885.5,2880,2881.1,9586
2026-06-10T13:45:00+05:30,2881.1,2883.9,2881,2882.6,5321
2026-06-10T13:50:00+05:30,2881.6,2882.6,2877.1,2878,15915
2026-06-10T13:55:00+05:30,2878,2879.5,2877,2877.4,4259
2026-06-10T14:00:00+05:30,2877.6,2885.4,2877,2884.1,10376
2026-06-10T14:05:00+05:30,2884.1,2899,2884.1,2896,47447
2026-06-10T14:10:00+05:30,2896,2899.9,2890.5,2892,12840
2026-06-10T14:15:00+05:30,2892,2897.8,2892,2897,10867
2026-06-10T14:20:00+05:30,2897,2900,2892.2,2894.3,14723
2026-06-10T14:25:00+05:30,2894.3,2897,2885,2885.6,17249
2026-06-10T14:30:00+05:30,2885.6,2887.7,2881,2883.6,14841
2026-06-10T14:35:00+05:30,2884.2,2889.2,2880,2880.3,19960
2026-06-10T14:40:00+05:30,2880.3,2887.2,2879.1,2880.6,12331
2026-06-10T14:45:00+05:30,2881.2,2884.7,2877,2883.6,18389
2026-06-10T14:50:00+05:30,2883.6,2894.5,2881,2891.7,27701
2026-06-10T14:55:00+05:30,2891,2903.2,2890,2901.9,35088
2026-06-10T15:00:00+05:30,2902.5,2910.2,2900,2904.6,58474
2026-06-10T15:05:00+05:30,2904.6,2906,2894.8,2895.1,53219
2026-06-10T15:10:00+05:30,2895.5,2895.6,2890,2891,33748
2026-06-10T15:15:00+05:30,2891.4,2900,2890.4,2899.8,36007
2026-06-10T15:20:00+05:30,2899.7,2899.9,2895,2898.9,25596
2026-06-10T15:25:00+05:30,2897.9,2914.4,2897.9,2910,22214
2026-06-11T09:15:00+05:30,2846,2854,2822.6,2849.7,95961
2026-06-11T09:20:00+05:30,2847.9,2876.9,2846.6,2858.7,46991
2026-06-11T09:25:00+05:30,2858.6,2861.5,2849.4,2858,16392
2026-06-11T09:30:00+05:30,2860.5,2865.6,2852.1,2857.2,17043
2026-06-11T09:35:00+05:30,2856,2870,2856,2868.6,7811
2026-06-11T09:40:00+05:30,2871,2881.1,2866,2877,11222
2026-06-11T09:45:00+05:30,2877,2914.9,2876.5,2913.2,47512
2026-06-11T09:50:00+05:30,2913.1,2917.9,2905.5,2906.6,24788
2026-06-11T09:55:00+05:30,2903.6,2907.1,2897,2900.2,11680
2026-06-11T10:00:00+05:30,2900.2,2904,2892.6,2893.8,10280
2026-06-11T10:05:00+05:30,2892.4,2908,2890.5,2906.1,41881
2026-06-11T10:10:00+05:30,2908,2909.9,2898.6,2900,26979
2026-06-11T10:15:00+05:30,2900,2901.4,2899.1,2900.9,14632
2026-06-11T10:20:00+05:30,2900.9,2903.8,2885,2890,21693
2026-06-11T10:25:00+05:30,2885.2,2897,2885.2,2894.5,29861
2026-06-11T10:30:00+05:30,2893.8,2896,2888,2892.7,3023
2026-06-11T10:35:00+05:30,2893.8,2903.5,2892.7,2900,3925
2026-06-11T10:40:00+05:30,2900.5,2906,2898,2901.5,6657
2026-06-11T10:45:00+05:30,2901.5,2903.5,2900,2900.2,3516
2026-06-11T10:50:00+05:30,2901.8,2903.6,2900,2901,8400
2026-06-11T10:55:00+05:30,2901.9,2901.9,2888.1,2888.5,33434
2026-06-11T11:00:00+05:30,2888.5,2893.4,2888.1,2890.5,4413
2026-06-11T11:05:00+05:30,2891,2897.2,2890,2895.7,3036
2026-06-11T11:10:00+05:30,2895.7,2901,2894,2897.4,18881
2026-06-11T11:15:00+05:30,2897.4,2898.5,2883,2883.4,25962
2026-06-11T11:20:00+05:30,2883,2894,2881.7,2892.6,8362
2026-06-11T11:25:00+05:30,2892.6,2892.6,2886,2887.6,7605
2026-06-11T11:30:00+05:30,2888,2889.2,2877.6,2878.5,23476
2026-06-11T11:35:00+05:30,2878.5,2880.9,2876,2879.6,4122
2026-06-11T11:40:00+05:30,2880,2883,2879.1,2881.8,4179
2026-06-11T11:45:00+05:30,2881.8,2884.4,2880,2881.6,3943
2026-06-11T11:50:00+05:30,2881.6,2892.6,2881.6,2889.5,4677
2026-06-11T11:55:00+05:30,2889.5,2892.6,2884.2,2886.3,12510
2026-06-11T12:00:00+05:30,2886.3,2889.3,2883,2883.4,2722
2026-06-11T12:05:00+05:30,2883.4,2884.4,2880,2880,3970
2026-06-11T12:10:00+05:30,2880,2888.5,2879.1,2887.3,2760
2026-06-11T12:15:00+05:30,2887.3,2898.6,2887.3,2889.5,16965
2026-06-11T12:20:00+05:30,2889.5,2889.7,2881.5,2881.9,6251
2026-06-11T12:25:00+05:30,2881.9,2886.2,2881.4,2886.2,2186
2026-06-11T12:30:00+05:30,2886.4,2899.8,2885.1,2896.1,13422
2026-06-11T12:35:00+05:30,2896.1,2900.9,2890,2896.4,10239
2026-06-11T12:40:00+05:30,2896.4,2896.4,2889.2,2891,4212
2026-06-11T12:45:00+05:30,2891,2893.1,2886.8,2889.5,4586
2026-06-11T12:50:00+05:30,2889.5,2890.3,2879.2,2879.3,9548
2026-06-11T12:55:00+05:30,2879.6,2887.6,2877.1,2887,4125
2026-06-11T13:00:00+05:30,2886.7,2890.4,2885.5,2888.9,10939
2026-06-11T13:05:00+05:30,2888.6,2889.2,2881.5,2881.5,4298
2026-06-11T13:10:00+05:30,2881,2881.9,2878.4,2880.8,6743
2026-06-11T13:15:00+05:30,2880.7,2882.9,2878,2878.3,2353
2026-06-11T13:20:00+05:30,2877.1,2881.1,2875,2877.4,4956
2026-06-11T13:25:00+05:30,2877.1,2878.3,2875,2876.9,1459
2026-06-11T13:30:00+05:30,2878.3,2884.4,2877.8,2880.3,3041
2026-06-11T13:35:00+05:30,2880.3,2885.6,2877.2,2885.6,6717
2026-06-11T13:40:00+05:30,2884,2885,2879.9,2882.1,7237
2026-06-11T13:45:00+05:30,2881.8,2886.1,2881,2885,4031
2026-06-11T13:50:00+05:30,2886,2892.6,2885,2891.1,4031
2026-06-11T13:55:00+05:30,2891.1,2900,2890.3,2895.6,17638
2026-06-11T14:00:00+05:30,2895.6,2900,2893.7,2899.6,5339
2026-06-11T14:05:00+05:30,2899.6,2900,2889,2890.1,4799
2026-06-11T14:10:00+05:30,2890.1,2893.8,2888,2891,5336
2026-06-11T14:15:00+05:30,2891,2892.1,2887.7,2891.3,2376
2026-06-11T14:20:00+05:30,2891.4,2893.5,2889.1,2890.9,4020
2026-06-11T14:25:00+05:30,2890.9,2895.5,2889,2892.4,3025
2026-06-11T14:30:00+05:30,2892.8,2895,2887.5,2888.6,10095
2026-06-11T14:35:00+05:30,2887.7,2891.4,2884.5,2888.1,4328
2026-06-11T14:40:00+05:30,2888.1,2888.7,2881.7,2884.5,5437
2026-06-11T14:45:00+05:30,2885,2887.2,2881,2884.5,5833
2026-06-11T14:50:00+05:30,2884.5,2886.6,2882.7,2882.8,4244
2026-06-11T14:55:00+05:30,2884.2,2887.8,2882,2886.7,7686
2026-06-11T15:00:00+05:30,2885.9,2891.8,2878.2,2878.2,15316
2026-06-11T15:05:00+05:30,2878.2,2883.8,2878.2,2882,9835
2026-06-11T15:10:00+05:30,2884.2,2888.3,2881.1,2888.3,14686
2026-06-11T15:15:00+05:30,2887,2896.2,2886.7,2895,21147
2026-06-11T15:20:00+05:30,2895,2899.2,2895,2897.6,18129
2026-06-11T15:25:00+05:30,2897,2899,2894.6,2898,26711
2026-06-12T09:15:00+05:30,2955,2999.9,2954.9,2985.3,75302
2026-06-12T09:20:00+05:30,2985.3,2994.2,2971,2973.1,17258
2026-06-12T09:25:00+05:30,2973.1,2980.9,2970.1,2980.9,7411
2026-06-12T09:30:00+05:30,2981.3,2985,2974.2,2983,11933
2026-06-12T09:35:00+05:30,2983,2983,2974,2979,5691
2026-06-12T09:40:00+05:30,2979,2979.9,2968,2970,9420
2026-06-12T09:45:00+05:30,2968.7,2973.5,2964,2966.1,10116
2026-06-12T09:50:00+05:30,2966.1,2971.4,2962.1,2962.1,6960
2026-06-12T09:55:00+05:30,2962,2962.4,2953.4,2957.4,5976
2026-06-12T10:00:00+05:30,2956.3,2957.7,2951.2,2955.7,6629
2026-06-12T10:05:00+05:30,2956.8,2965.9,2956.3,2963.2,3398
2026-06-12T10:10:00+05:30,2963.2,2973,2963.1,2971.4,7057
2026-06-12T10:15:00+05:30,2972.8,2972.8,2965.2,2967.6,4064
2026-06-12T10:20:00+05:30,2967.6,2969.7,2966.4,2968.9,2516
2026-06-12T10:25:00+05:30,2968.5,2977,2966.4,2966.4,9704
2026-06-12T10:30:00+05:30,2966.4,2973,2966.4,2971.3,2461
2026-06-12T10:35:00+05:30,2971.6,2971.6,2965,2967.4,5964
2026-06-12T10:40:00+05:30,2967.4,2968.2,2959.6,2963.9,4884
2026-06-12T10:45:00+05:30,2963.7,2973.9,2962.7,2970,9450
2026-06-12T10:50:00+05:30,2970,2985,2970,2982.4,10146
2026-06-12T10:55:00+05:30,2982.5,2993.5,2982.4,2988.9,15009
2026-06-12T11:00:00+05:30,2987.7,2992,2986.3,2990.3,4177
2026-06-12T11:05:00+05:30,2988.8,2990,2982,2986.5,6923
2026-06-12T11:10:00+05:30,2986.4,3003,2980.9,2996.4,27199
2026-06-12T11:15:00+05:30,2996.4,3005.5,2995,3000,19729
2026-06-12T11:20:00+05:30,3000,3004.4,2999,3001.5,5269
2026-06-12T11:25:00+05:30,3000.9,3002.4,2988.2,2989.9,6305
2026-06-12T11:30:00+05:30,2989.9,2993.3,2988.1,2992.1,6862
2026-06-12T11:35:00+05:30,2992.1,2997.4,2992.1,2993.8,4930
2026-06-12T11:40:00+05:30,2993.8,2995.1,2990.6,2991.8,6745
2026-06-12T11:45:00+05:30,2991.8,2995.4,2988.7,2993.4,10257
2026-06-12T11:50:00+05:30,2994,2998.7,2992.2,2994.4,7144
2026-06-12T11:55:00+05:30,2994.4,2998.5,2992.4,2992.4,2571
