date,open,high,low,close,volume
2026-06-08T09:15:00+05:30,358.95,359.45,355.15,358.25,412785
2026-06-08T09:20:00+05:30,358.35,358.85,357.1,358.6,150518
2026-06-08T09:25:00+05:30,358.5,359.8,358.35,359.15,147304
2026-06-08T09:30:00+05:30,359.05,360.75,358.95,360.3,148903
2026-06-08T09:35:00+05:30,360.2,360.45,359.25,360.25,65161
2026-06-08T09:40:00+05:30,360.1,360.7,359.75,359.75,46204
2026-06-08T09:45:00+05:30,359.75,359.9,359.1,359.1,44293
2026-06-08T09:50:00+05:30,359.1,359.4,358.75,359.3,87220
2026-06-08T09:55:00+05:30,359.45,360.05,359.1,359.9,102837
2026-06-08T10:00:00+05:30,359.85,360,359.35,359.55,68992
2026-06-08T10:05:00+05:30,359.4,360.55,359.1,360.45,83869
2026-06-08T10:10:00+05:30,360.45,361.25,360.15,361.1,70443
2026-06-08T10:15:00+05:30,361.1,361.3,361,361.3,39529
2026-06-08T10:20:00+05:30,361.3,361.6,361.05,361.5,77951
2026-06-08T10:25:00+05:30,361.5,362.4,361.4,362.25,56413
2026-06-08T10:30:00+05:30,362.25,363.4,362.25,363.2,137716
2026-06-08T10:35:00+05:30,363.2,363.45,362.55,362.65,76546
2026-06-08T10:40:00+05:30,362.55,362.8,361.85,362.1,64802
2026-06-08T10:45:00+05:30,362,363.2,361.7,362.75,1582710
2026-06-08T10:50:00+05:30,362.6,363.05,362.55,362.65,684432
2026-06-08T10:55:00+05:30,362.75,363,362.5,362.85,54437
2026-06-08T11:00:00+05:30,362.9,362.95,362.7,362.85,39092
2026-06-08T11:05:00+05:30,362.9,363,362.5,362.95,230911
2026-06-08T11:10:00+05:30,362.95,363,362.55,363,132847
2026-06-08T11:15:00+05:30,362.95,363.8,362.25,362.25,672034
2026-06-08T11:20:00+05:30,362.25,362.85,362.2,362.55,43285
2026-06-08T11:25:00+05:30,362.55,362.95,362.5,362.95,100342
2026-06-08T11:30:00+05:30,362.9,363,362.5,362.9,116187
2026-06-08T11:35:00+05:30,362.85,363.65,362.5,362.55,1169219
2026-06-08T11:40:00+05:30,362.7,363,362.5,362.95,310494
2026-06-08T11:45:00+05:30,362.95,363.35,362.5,363,1402100
2026-06-08T11:50:00+05:30,363,363.5,363,363.2,84049
2026-06-08T11:55:00+05:30,363.2,364.85,363.2,364.55,127639
2026-06-08T12:00:00+05:30,364.55,365,363.85,364,115418
2026-06-08T12:05:00+05:30,364,364.3,363.6,364,59670
2026-06-08T12:10:00+05:30,364.05,364.8,364.05,364.35,61344
2026-06-08T12:15:00+05:30,364.35,364.65,364.25,364.35,33166
2026-06-08T12:20:00+05:30,364.4,364.65,364.3,364.4,65452
2026-06-08T12:25:00+05:30,364.5,364.85,364.35,364.4,62138
2026-06-08T12:30:00+05:30,364.4,364.7,363.2,363.25,357014
