date,open,high,low,close,volume
2026-06-08T09:15:00+05:30,426.2,429.8,425.2,429.65,210715
2026-06-08T09:20:00+05:30,430,431.2,428.9,430.6,98993
2026-06-08T09:25:00+05:30,430.6,431.7,429.6,429.7,212915
2026-06-08T09:30:00+05:30,429.9,431.2,429.45,430.9,169770
2026-06-08T09:35:00+05:30,430.9,430.9,428.75,428.9,77940
2026-06-08T09:40:00+05:30,429.2,429.45,427.25,427.5,56365
2026-06-08T09:45:00+05:30,427.55,428.45,426.35,426.5,69466
2026-06-08T09:50:00+05:30,426.35,426.7,425.95,426.5,61716
2026-06-08T09:55:00+05:30,426.8,427.95,426.5,427.75,57063
2026-06-08T10:00:00+05:30,427.95,427.95,426.5,426.6,27508
2026-06-08T10:05:00+05:30,426.8,427.85,426.05,427.7,45839
2026-06-08T10:10:00+05:30,427.6,427.9,427.5,427.75,12196
2026-06-08T10:15:00+05:30,427.75,428.2,427.3,428.2,35366
2026-06-08T10:20:00+05:30,428,428.75,428,428.15,33513
2026-06-08T10:25:00+05:30,428.25,428.4,427.45,427.85,78551
2026-06-08T10:30:00+05:30,427.85,429.85,427.75,429.25,247102
2026-06-08T10:35:00+05:30,429.25,431.3,428.95,431.3,56146
2026-06-08T10:40:00+05:30,431.3,432.5,431.05,431.5,74846
2026-06-08T10:45:00+05:30,431.5,432.45,430.55,432.4,102568
2026-06-08T10:50:00+05:30,432.5,434.35,432,432.8,110134
2026-06-08T10:55:00+05:30,432.8,433.95,432.35,433.95,44148
2026-06-08T11:00:00+05:30,433.75,433.75,432.9,432.95,19493
2026-06-08T11:05:00+05:30,432.9,433.6,432.75,433.35,34991
2026-06-08T11:10:00+05:30,433.35,433.35,430.8,431.1,201716
2026-06-08T11:15:00+05:30,431.05,431.4,430.3,431.4,55876
2026-06-08T11:20:00+05:30,431.4,431.6,429.9,429.9,159378
2026-06-08T11:25:00+05:30,430.05,430.6,429.7,430.4,58039
2026-06-08T11:30:00+05:30,430.4,430.9,429.8,429.95,39823
2026-06-08T11:35:00+05:30,430.15,431.35,428.9,431.1,411448
2026-06-08T11:40:00+05:30,431.1,431.9,430.9,431.8,152095
2026-06-08T11:45:00+05:30,431.7,432.75,431.6,432.5,55255
2026-06-08T11:50:00+05:30,432.5,432.9,432.05,432.5,41229
2026-06-08T11:55:00+05:30,432.5,433.6,432.3,432.85,45594
2026-06-08T12:00:00+05:30,432.85,433.05,431.6,432.45,68306
2026-06-08T12:05:00+05:30,432.45,433,432.05,432.8,38711
2026-06-08T12:10:00+05:30,432.8,433.6,432.7,433.3,31375
2026-06-08T12:15:00+05:30,433.3,433.5,432.7,433.4,33752
2026-06-08T12:20:00+05:30,433.4,434,433.3,433.95,31507
2026-06-08T12:25:00+05:30,433.85,433.95,433.35,433.85,28272
2026-06-08T12:30:00+05:30,433.85,434.45,433.6,434.3,113310
2026-06-08T12:35:00+05:30,434.3,434.45,434.05,434.1,37044
2026-06-08T12:40:00+05:30,434.05,434.9,434.05,434.9,51763
2026-06-08T12:45:00+05:30,434.9,435.25,434.3,435.15,100792
2026-06-08T12:50:00+05:30,435,435.4,434.65,434.9,51767
2026-06-08T12:55:00+05:30,434.85,435.1,433.8,434,119797
2026-06-08T13:00:00+05:30,434,434.6,433.6,433.75,50503
2026-06-08T13:05:00+05:30,433.75,434.4,433.65,434,45309
2026-06-08T13:10:00+05:30,433.8,434.45,433.65,433.95,49875
2026-06-08T13:15:00+05:30,433.95,434.5,433.75,434,49056
2026-06-08T13:20:00+05:30,433.95,434.15,433.8,433.9,44852
2026-06-08T13:25:00+05:30,433.9,434.2,433.5,434,58500
2026-06-08T13:30:00+05:30,434,434.05,432.6,432.85,314700
2026-06-08T13:35:00+05:30,432.85,433.05,432,432,168597
2026-06-08T13:40:00+05:30,432,432,431.5,431.5,91222
2026-06-08T13:45:00+05:30,431.5,432.35,431.1,432.25,122127
2026-06-08T13:50:00+05:30,432.1,433.2,432.1,432.75,50179
2026-06-08T13:55:00+05:30,432.75,432.8,432,432.25,78997
2026-06-08T14:00:00+05:30,432.55,433.45,432.5,432.95,69231
2026-06-08T14:05:00+05:30,432.95,433.3,432.25,432.8,61540
2026-06-08T14:10:00+05:30,432.8,433.2,432.35,432.95,45936
2026-06-08T14:15:00+05:30,432.95,433.1,432.3,432.6,52350
2026-06-08T14:20:00+05:30,432.5,432.5,432,432.1,35900
2026-06-08T14:25:00+05:30,432.25,432.35,431.85,431.95,40775
2026-06-08T14:30:00+05:30,431.8,432.5,431.65,432.15,39431
2026-06-08T14:35:00+05:30,432,432.6,431.85,431.95,47350
2026-06-08T14:40:00+05:30,431.95,432.2,431.6,431.85,44527
2026-06-08T14:45:00+05:30,431.95,432.05,431.25,431.45,62206
2026-06-08T14:50:00+05:30,431.45,431.7,430.9,430.9,44052
2026-06-08T14:55:00+05:30,430.9,431.5,430.35,431.3,64278
2026-06-08T15:00:00+05:30,430.95,430.95,428.15,428.4,162396
2026-06-08T15:05:00+05:30,428.45,429.5,428.15,429.2,148988
2026-06-08T15:10:00+05:30,429.25,429.25,428.6,428.6,112326
2026-06-08T15:15:00+05:30,428.6,429.05,428.5,428.9,117519
2026-06-08T15:20:00+05:30,428.9,429,427.3,427.45,271367
2026-06-08T15:25:00+05:30,427.45,429,426.5,428,195195
2026-06-09T09:15:00+05:30,430.3,432,429.7,431.7,164168
2026-06-09T09:20:00+05:30,431.7,433.9,431.7,433.6,116325
2026-06-09T09:25:00+05:30,433.7,434.4,432.7,432.7,85329
2026-06-09T09:30:00+05:30,432.95,433.3,432.25,432.3,62915
2026-06-09T09:35:00+05:30,432.3,432.65,431.8,432.45,37875
2026-06-09T09:40:00+05:30,432.4,433.7,431.95,433.2,176983
2026-06-09T09:45:00+05:30,433.15,435.9,433.15,435.35,177381
2026-06-09T09:50:00+05:30,435.6,438,435.4,437.3,402567
2026-06-09T09:55:00+05:30,437.4,437.7,436,436,71135
2026-06-09T10:00:00+05:30,436.05,436.35,435.1,435.2,337420
2026-06-09T10:05:00+05:30,435.4,435.75,435.25,435.45,76908
2026-06-09T10:10:00+05:30,435.45,436.6,435.45,435.8,227817
2026-06-09T10:15:00+05:30,435.8,436.55,435.75,436.2,147475
2026-06-09T10:20:00+05:30,436.2,436.7,435.1,435.25,60767
2026-06-09T10:25:00+05:30,435.25,436.05,435.2,435.9,44814
2026-06-09T10:30:00+05:30,436.1,436.1,435,435.6,223356
2026-06-09T10:35:00+05:30,435.8,435.85,435,435.05,25342
2026-06-09T10:40:00+05:30,435.1,436.2,435.05,435.15,188915
2026-06-09T10:45:00+05:30,435.15,436.1,434.95,435,151310
2026-06-09T10:50:00+05:30,434.2,435.45,434.05,435.3,138211
2026-06-09T10:55:00+05:30,435.25,435.8,434.6,435.8,36499
2026-06-09T11:00:00+05:30,435.8,435.9,435.3,435.55,19368
2026-06-09T11:05:00+05:30,435.75,436.9,435.5,436.4,49621
2026-06-09T11:10:00+05:30,436.4,437.2,435.8,435.85,148913
2026-06-09T11:15:00+05:30,435.85,436,435.05,435.45,37778
2026-06-09T11:20:00+05:30,435.45,435.5,434.45,434.5,15844
2026-06-09T11:25:00+05:30,434.5,434.9,434.1,434.75,43949
2026-06-09T11:30:00+05:30,434.75,434.75,434.4,434.7,19415
2026-06-09T11:35:00+05:30,434.7,435.3,434.55,434.8,37639
2026-06-09T11:40:00+05:30,434.8,435.2,434.4,435.05,50438
2026-06-09T11:45:00+05:30,434.95,436,434.8,435.25,20191
2026-06-09T11:50:00+05:30,435.25,435.7,434.85,435.3,23044
2026-06-09T11:55:00+05:30,435.3,436,435.15,435.7,30768
2026-06-09T12:00:00+05:30,435.7,436,435.65,435.85,18652
2026-06-09T12:05:00+05:30,435.85,436.35,435.8,435.8,23592
2026-06-09T12:10:00+05:30,435.85,436.15,435.7,436.1,18964
2026-06-09T12:15:00+05:30,436.1,436.45,436.1,436.2,23362
2026-06-09T12:20:00+05:30,436.15,436.8,436.05,436.25,37005
2026-06-09T12:25:00+05:30,436.15,436.25,436,436,9803
2026-06-09T12:30:00+05:30,436.05,436.4,435.75,436.1,34622
2026-06-09T12:35:00+05:30,436.05,436.25,435.7,435.9,16013
2026-06-09T12:40:00+05:30,435.9,436.45,435.85,435.9,11363
2026-06-09T12:45:00+05:30,435.9,435.9,435.15,435.15,12004
2026-06-09T12:50:00+05:30,435.15,435.15,434.55,434.55,27061
2026-06-09T12:55:00+05:30,434.55,434.65,433.8,433.8,59893
2026-06-09T13:00:00+05:30,433.85,434.45,433.65,433.75,50572
2026-06-09T13:05:00+05:30,433.75,434.55,433.75,434.15,23642
2026-06-09T13:10:00+05:30,434.15,435.95,434.05,435.8,52031
2026-06-09T13:15:00+05:30,435.8,436,435.3,435.5,29423
2026-06-09T13:20:00+05:30,435.65,435.75,434.9,434.95,29046
2026-06-09T13:25:00+05:30,434.95,435.9,434.95,435.55,37253
2026-06-09T13:30:00+05:30,435.55,435.75,435.35,435.65,13982
2026-06-09T13:35:00+05:30,435.65,436.3,435.65,436.3,31925
2026-06-09T13:40:00+05:30,436.3,436.4,436.05,436.25,18722
2026-06-09T13:45:00+05:30,436.3,436.3,436,436,11675
2026-06-09T13:50:00+05:30,435.95,436.1,435.25,435.45,17576
2026-06-09T13:55:00+05:30,435.45,436,435.1,435.85,24223
2026-06-09T14:00:00+05:30,435.85,436.05,435.6,435.9,30755
2026-06-09T14:05:00+05:30,435.85,435.9,435.55,435.75,14546
2026-06-09T14:10:00+05:30,435.7,436,435.65,435.7,9403
2026-06-09T14:15:00+05:30,435.65,436.1,435.45,435.85,29237
2026-06-09T14:20:00+05:30,435.9,435.9,435.5,435.6,11865
2026-06-09T14:25:00+05:30,435.6,436.35,435.6,436.25,38870
2026-06-09T14:30:00+05:30,436.25,436.7,435.85,436.4,55041
2026-06-09T14:35:00+05:30,436.4,436.95,436.1,436.85,47707
2026-06-09T14:40:00+05:30,436.85,436.85,435.75,435.8,271490
2026-06-09T14:45:00+05:30,435.8,436,435.25,435.25,48229
2026-06-09T14:50:00+05:30,435.25,436.2,435.1,436,162131
2026-06-09T14:55:00+05:30,436,436.25,435.85,436,240472
2026-06-09T15:00:00+05:30,436,436,434.75,435.6,132149
2026-06-09T15:05:00+05:30,435.6,436,435.5,435.6,108082
