date,open,high,low,close,volume
2026-06-08T09:15:00+05:30,340,341.8,338.45,341.65,325319
2026-06-08T09:20:00+05:30,341.8,342.5,341,341.95,195274
2026-06-08T09:25:00+05:30,341.95,343,341.6,342.3,144280
2026-06-08T09:30:00+05:30,342.25,342.7,341.9,342.4,131071
2026-06-08T09:35:00+05:30,342.45,342.45,341,341.25,113397
2026-06-08T09:40:00+05:30,341.45,342,340.25,340.65,69004
2026-06-08T09:45:00+05:30,340.7,341.25,339.65,339.65,105485
2026-06-08T09:50:00+05:30,339.8,339.8,339.2,339.7,95523
2026-06-08T09:55:00+05:30,339.7,340.7,339.7,340.5,58751
2026-06-08T10:00:00+05:30,340.65,340.75,339.85,340.15,126949
2026-06-08T10:05:00+05:30,340,340.95,339.4,340.6,100727
2026-06-08T10:10:00+05:30,340.65,341.65,340.4,341.25,196431
2026-06-08T10:15:00+05:30,341.05,342,341,341.95,164056
2026-06-08T10:20:00+05:30,342,342.1,341.6,342,545590
2026-06-08T10:25:00+05:30,342,342.45,341.75,342.25,396197
2026-06-08T10:30:00+05:30,342.25,344.15,342,343.6,299543
2026-06-08T10:35:00+05:30,343.6,344.85,343.6,344.8,146353
2026-06-08T10:40:00+05:30,344.8,345,343.85,344,57492
2026-06-08T10:45:00+05:30,343.85,344.75,343.85,344.65,64910
2026-06-08T10:50:00+05:30,344.65,346.4,344.5,345.35,248704
2026-06-08T10:55:00+05:30,345.45,345.9,345.1,345.9,48236
2026-06-08T11:00:00+05:30,345.9,345.9,345.5,345.75,46367
2026-06-08T11:05:00+05:30,345.75,346,345.3,345.45,46933
2026-06-08T11:10:00+05:30,345.35,345.45,344.55,344.65,50984
2026-06-08T11:15:00+05:30,344.65,345,344.35,344.7,52303
2026-06-08T11:20:00+05:30,344.7,344.8,344,344,83417
2026-06-08T11:25:00+05:30,344,344.55,344,344.25,32916
2026-06-08T11:30:00+05:30,344.25,344.65,344,344.1,35101
2026-06-08T11:35:00+05:30,344.2,344.4,343.85,344.2,360071
2026-06-08T11:40:00+05:30,344.2,344.9,344,344.15,145218
2026-06-08T11:45:00+05:30,344,344.6,344,344.35,467636
2026-06-08T11:50:00+05:30,344.35,344.7,344.05,344.7,31785
2026-06-08T11:55:00+05:30,344.7,345,344.45,344.6,44149
2026-06-08T12:00:00+05:30,344.6,345.15,344,344.95,117183
2026-06-08T12:05:00+05:30,344.95,344.95,344.1,344.4,31517
2026-06-08T12:10:00+05:30,344.4,345.1,344.4,344.9,113857
2026-06-08T12:15:00+05:30,344.75,345.1,344.7,345.05,44865
2026-06-08T12:20:00+05:30,345.1,345.25,344.95,345.05,69905
2026-06-08T12:25:00+05:30,345.05,345.15,344.9,345.15,44005
2026-06-08T12:30:00+05:30,345.15,345.4,345,345.3,78335
2026-06-08T12:35:00+05:30,345.3,345.3,345,345.15,27177
2026-06-08T12:40:00+05:30,345.15,345.6,345.05,345.55,46816
2026-06-08T12:45:00+05:30,345.55,345.75,345.4,345.75,52767
2026-06-08T12:50:00+05:30,345.7,345.75,345.35,345.45,62335
2026-06-08T12:55:00+05:30,345.35,345.45,344.95,345,75877
2026-06-08T13:00:00+05:30,345.05,345.3,344.9,345.05,83816
2026-06-08T13:05:00+05:30,345,345.05,344.9,345.05,53713
2026-06-08T13:10:00+05:30,345,345.3,345,345.05,24885
2026-06-08T13:15:00+05:30,345.05,345.3,345,345.1,29369
2026-06-08T13:20:00+05:30,345.1,345.1,344.9,345,115773
2026-06-08T13:25:00+05:30,345,345.45,344.65,345.45,615261
2026-06-08T13:30:00+05:30,345.45,345.6,345,345.15,33244
2026-06-08T13:35:00+05:30,345.15,345.25,345,345,44818
2026-06-08T13:40:00+05:30,345,345.2,344.5,344.6,58926
2026-06-08T13:45:00+05:30,344.6,344.65,344,344.6,94308
2026-06-08T13:50:00+05:30,344.6,344.9,344.55,344.65,26382
2026-06-08T13:55:00+05:30,344.55,345.05,344.3,345.05,81459
2026-06-08T14:00:00+05:30,345.05,345.5,345,345.45,29822
2026-06-08T14:05:00+05:30,345.35,345.4,345,345.15,44560
2026-06-08T14:10:00+05:30,345.1,345.4,345.1,345.3,20199
2026-06-08T14:15:00+05:30,345.3,345.35,345.05,345.25,28402
2026-06-08T14:20:00+05:30,345.25,345.3,344.9,345.05,26853
2026-06-08T14:25:00+05:30,345,345.1,344.9,345,58821
2026-06-08T14:30:00+05:30,345.05,345.3,344.95,345.1,32477
2026-06-08T14:35:00+05:30,345,345.35,345,345.2,42282
2026-06-08T14:40:00+05:30,345.1,345.3,344.95,345.25,31392
2026-06-08T14:45:00+05:30,345.3,345.3,344.9,344.95,94650
2026-06-08T14:50:00+05:30,345,345.1,344.75,345,199956
2026-06-08T14:55:00+05:30,344.85,345.3,344.35,345.15,401932
2026-06-08T15:00:00+05:30,345.25,345.25,342.65,342.95,517275
2026-06-08T15:05:00+05:30,342.95,344.2,342.8,344.05,420341
2026-06-08T15:10:00+05:30,344.05,344.25,342.9,343.2,457343
2026-06-08T15:15:00+05:30,343.2,343.9,342.95,343.75,262549
