date,open,high,low,close,volume
2026-06-08T09:15:00+05:30,24030,24030,23740,23930,432
2026-06-08T09:20:00+05:30,23930,23965,23870,23965,151
2026-06-08T09:25:00+05:30,23965,24075,23920,24040,344
2026-06-08T09:30:00+05:30,24050,24090,24020,24025,268
2026-06-08T09:35:00+05:30,24000,24005,23900,23900,96
2026-06-08T09:40:00+05:30,23905,23930,23890,23890,103
2026-06-08T09:45:00+05:30,23890,23900,23840,23840,406
2026-06-08T09:50:00+05:30,23835,23855,23800,23825,701
2026-06-08T09:55:00+05:30,23825,23825,23750,23780,555
2026-06-08T10:00:00+05:30,23780,23800,23780,23790,93
2026-06-08T10:05:00+05:30,23790,23800,23765,23800,39
2026-06-08T10:10:00+05:30,23800,23815,23780,23780,212
2026-06-08T10:15:00+05:30,23770,23770,23700,23760,403
2026-06-08T10:20:00+05:30,23765,23770,23730,23770,394
2026-06-08T10:25:00+05:30,23770,23775,23730,23740,148
2026-06-08T10:30:00+05:30,23740,23820,23740,23810,338
2026-06-08T10:35:00+05:30,23810,23840,23785,23840,277
2026-06-08T10:40:00+05:30,23840,23850,23810,23810,193
2026-06-08T10:45:00+05:30,23810,23810,23780,23780,27
2026-06-08T10:50:00+05:30,23780,23820,23780,23800,194
2026-06-08T10:55:00+05:30,23800,23820,23790,23800,190
2026-06-08T11:00:00+05:30,23800,23930,23790,23890,2902
2026-06-08T11:05:00+05:30,23890,23890,23780,23850,4016
2026-06-08T11:10:00+05:30,23850,23850,23795,23850,1025
2026-06-08T11:15:00+05:30,23850,23975,23845,23935,5360
2026-06-08T11:20:00+05:30,23900,23930,23810,23860,2790
2026-06-08T11:25:00+05:30,23860,23900,23795,23815,7294
2026-06-08T11:30:00+05:30,23815,23815,23790,23800,159
2026-06-08T11:35:00+05:30,23800,23805,23785,23795,111
2026-06-08T11:40:00+05:30,23795,23835,23760,23760,328
2026-06-08T11:45:00+05:30,23760,23780,23760,23780,35
2026-06-08T11:50:00+05:30,23780,23780,23755,23780,73
2026-06-08T11:55:00+05:30,23780,23805,23765,23770,53
2026-06-08T12:00:00+05:30,23770,23790,23760,23790,53
2026-06-08T12:05:00+05:30,23790,23790,23750,23770,100
2026-06-08T12:10:00+05:30,23770,23800,23770,23800,81
2026-06-08T12:15:00+05:30,23800,23800,23770,23780,130
2026-06-08T12:20:00+05:30,23780,23805,23780,23795,330
2026-06-08T12:25:00+05:30,23795,23795,23780,23780,55
2026-06-08T12:30:00+05:30,23780,23800,23780,23785,61
2026-06-08T12:35:00+05:30,23785,23790,23780,23780,23
2026-06-08T12:40:00+05:30,23780,23800,23780,23790,75
2026-06-08T12:45:00+05:30,23790,23805,23780,23800,56
2026-06-08T12:50:00+05:30,23800,23805,23780,23785,123
2026-06-08T12:55:00+05:30,23785,23800,23785,23790,35
2026-06-08T13:00:00+05:30,23790,23805,23790,23795,154
2026-06-08T13:05:00+05:30,23795,23795,23780,23780,139
2026-06-08T13:10:00+05:30,23780,23795,23750,23750,124
2026-06-08T13:15:00+05:30,23750,23800,23740,23750,79
2026-06-08T13:20:00+05:30,23750,23765,23740,23750,36
2026-06-08T13:25:00+05:30,23750,23760,23730,23730,34
2026-06-08T13:30:00+05:30,23740,23745,23720,23725,40
2026-06-08T13:35:00+05:30,23725,23730,23675,23700,246
2026-06-08T13:40:00+05:30,23700,23700,23650,23660,106
2026-06-08T13:45:00+05:30,23660,23685,23625,23685,160
2026-06-08T13:50:00+05:30,23685,23690,23635,23650,251
2026-06-08T13:55:00+05:30,23650,23675,23650,23675,1276
2026-06-08T14:00:00+05:30,23675,23675,23635,23645,1068
2026-06-08T14:05:00+05:30,23645,23650,23640,23650,540
2026-06-08T14:10:00+05:30,23650,23675,23645,23660,267
2026-06-08T14:15:00+05:30,23660,23660,23625,23645,477
2026-06-08T14:20:00+05:30,23645,23645,23620,23625,64
2026-06-08T14:25:00+05:30,23620,23635,23590,23595,182
2026-06-08T14:30:00+05:30,23595,23675,23585,23655,489
2026-06-08T14:35:00+05:30,23655,23655,23630,23640,78
2026-06-08T14:40:00+05:30,23640,23645,23630,23645,56
2026-06-08T14:45:00+05:30,23635,23675,23635,23675,649
2026-06-08T14:50:00+05:30,23675,23675,23630,23630,260
2026-06-08T14:55:00+05:30,23630,23640,23595,23610,2359
2026-06-08T15:00:00+05:30,23595,23595,23535,23535,901
2026-06-08T15:05:00+05:30,23545,23605,23530,23585,582
2026-06-08T15:10:00+05:30,23580,23580,23525,23575,771
2026-06-08T15:15:00+05:30,23575,23575,23535,23540,847
2026-06-08T15:20:00+05:30,23540,23555,23435,23445,1013
2026-06-08T15:25:00+05:30,23445,23515,23410,23505,1105
2026-06-09T09:15:00+05:30,23535,23625,23535,23565,607
2026-06-09T09:20:00+05:30,23560,23595,23530,23595,272
2026-06-09T09:25:00+05:30,23600,23625,23505,23510,927
2026-06-09T09:30:00+05:30,23545,23560,23525,23550,92
2026-06-09T09:35:00+05:30,23550,23550,23500,23540,716
2026-06-09T09:40:00+05:30,23540,23560,23515,23520,189
2026-06-09T09:45:00+05:30,23520,23550,23520,23520,254
2026-06-09T09:50:00+05:30,23520,23550,23500,23540,72
2026-06-09T09:55:00+05:30,23540,23550,23530,23545,128
2026-06-09T10:00:00+05:30,23545,23600,23545,23550,397
2026-06-09T10:05:00+05:30,23550,23550,23530,23530,96
2026-06-09T10:10:00+05:30,23530,23555,23525,23525,94
2026-06-09T10:15:00+05:30,23525,23550,23510,23530,87
2026-06-09T10:20:00+05:30,23530,23545,23520,23545,65
2026-06-09T10:25:00+05:30,23545,23545,23505,23525,43
2026-06-09T10:30:00+05:30,23525,23540,23510,23525,54
2026-06-09T10:35:00+05:30,23525,23525,23480,23505,102
2026-06-09T10:40:00+05:30,23505,23515,23480,23515,83
2026-06-09T10:45:00+05:30,23515,23540,23485,23485,43
2026-06-09T10:50:00+05:30,23485,23500,23485,23500,12
2026-06-09T10:55:00+05:30,23500,23500,23480,23485,38
2026-06-09T11:00:00+05:30,23500,23505,23480,23505,37
2026-06-09T11:05:00+05:30,23505,23535,23490,23510,58
2026-06-09T11:10:00+05:30,23510,23510,23435,23440,183
2026-06-09T11:15:00+05:30,23440,23490,23410,23470,380
2026-06-09T11:20:00+05:30,23470,23520,23440,23505,2733
2026-06-09T11:25:00+05:30,23505,23510,23435,23500,7629
2026-06-09T11:30:00+05:30,23500,23500,23440,23500,1327
2026-06-09T11:35:00+05:30,23500,23505,23440,23440,5655
2026-06-09T11:40:00+05:30,23440,23460,23430,23460,108
2026-06-09T11:45:00+05:30,23460,23495,23435,23460,378
2026-06-09T11:50:00+05:30,23460,23490,23440,23485,51
2026-06-09T11:55:00+05:30,23485,23485,23420,23460,214
2026-06-09T12:00:00+05:30,23460,23525,23445,23495,3328
2026-06-09T12:05:00+05:30,23495,23495,23465,23475,325
2026-06-09T12:10:00+05:30,23475,23500,23475,23495,577
2026-06-09T12:15:00+05:30,23490,23495,23450,23455,749
2026-06-09T12:20:00+05:30,23455,23470,23440,23450,326
2026-06-09T12:25:00+05:30,23450,23525,23450,23495,1214
2026-06-09T12:30:00+05:30,23495,23550,23485,23530,3396
2026-06-09T12:35:00+05:30,23530,23540,23520,23530,292
2026-06-09T12:40:00+05:30,23535,23535,23490,23515,125
2026-06-09T12:45:00+05:30,23515,23530,23485,23515,220
2026-06-09T12:50:00+05:30,23515,23540,23485,23485,603
2026-06-09T12:55:00+05:30,23485,23500,23465,23490,139
2026-06-09T13:00:00+05:30,23490,23495,23470,23470,24
2026-06-09T13:05:00+05:30,23470,23480,23450,23475,157
2026-06-09T13:10:00+05:30,23475,23480,23450,23450,74
2026-06-09T13:15:00+05:30,23450,23510,23450,23495,1765
2026-06-09T13:20:00+05:30,23495,23495,23460,23460,185
2026-06-09T13:25:00+05:30,23460,23460,23430,23435,57
2026-06-09T13:30:00+05:30,23435,23460,23410,23410,104
2026-06-09T13:35:00+05:30,23410,23450,23410,23450,53
2026-06-09T13:40:00+05:30,23435,23455,23430,23430,135
2026-06-09T13:45:00+05:30,23430,23450,23425,23425,38
2026-06-09T13:50:00+05:30,23425,23440,23420,23440,40
2026-06-09T13:55:00+05:30,23440,23440,23375,23400,335
2026-06-09T14:00:00+05:30,23400,23415,23380,23385,50
2026-06-09T14:05:00+05:30,23385,23410,23385,23410,78
2026-06-09T14:10:00+05:30,23415,23475,23415,23465,283
2026-06-09T14:15:00+05:30,23465,23465,23425,23450,261
2026-06-09T14:20:00+05:30,23450,23465,23435,23455,159
2026-06-09T14:25:00+05:30,23455,23465,23430,23455,103
2026-06-09T14:30:00+05:30,23455,23470,23430,23445,498
2026-06-09T14:35:00+05:30,23445,23470,23405,23465,698
2026-06-09T14:40:00+05:30,23465,23500,23460,23480,1632
2026-06-09T14:45:00+05:30,23480,23480,23440,23440,639
2026-06-09T14:50:00+05:30,23440,23470,23440,23460,303
2026-06-09T14:55:00+05:30,23460,23495,23445,23480,2229
2026-06-09T15:00:00+05:30,23480,23480,23420,23460,607
2026-06-09T15:05:00+05:30,23460,23495,23440,23445,2451
2026-06-09T15:10:00+05:30,23450,23450,23410,23425,526
2026-06-09T15:15:00+05:30,23425,23430,23390,23420,967
2026-06-09T15:20:00+05:30,23420,23420,23355,23410,1167
2026-06-09T15:25:00+05:30,23410,23410,23290,23390,1764
2026-06-10T09:15:00+05:30,23415,23450,23335,23440,438
2026-06-10T09:20:00+05:30,23440,23440,23365,23400,617
2026-06-10T09:25:00+05:30,23400,23565,23390,23485,701
2026-06-10T09:30:00+05:30,23485,23490,23465,23465,177
2026-06-10T09:35:00+05:30,23465,23465,23415,23415,58
2026-06-10T09:40:00+05:30,23415,23440,23390,23420,377
2026-06-10T09:45:00+05:30,23420,23430,23400,23415,2762
2026-06-10T09:50:00+05:30,23415,23440,23385,23385,1234
2026-06-10T09:55:00+05:30,23385,23410,23385,23390,70
2026-06-10T10:00:00+05:30,23390,23395,23355,23395,155
2026-06-10T10:05:00+05:30,23395,23395,23355,23355,10
2026-06-10T10:10:00+05:30,23355,23395,23350,23350,97
2026-06-10T10:15:00+05:30,23350,23370,23330,23335,139
2026-06-10T10:20:00+05:30,23335,23355,23315,23325,69
2026-06-10T10:25:00+05:30,23325,23325,23290,23290,93
2026-06-10T10:30:00+05:30,23290,23310,23290,23300,30
