date,open,high,low,close,volume
2026-06-08T09:15:00+05:30,18250,18381,18042,18364,5874
2026-06-08T09:20:00+05:30,18364,18398,18328,18398,2225
2026-06-08T09:25:00+05:30,18389,18467,18389,18445,4037
2026-06-08T09:30:00+05:30,18437,18459,18411,18429,1463
2026-06-08T09:35:00+05:30,18429,18429,18336,18341,1745
2026-06-08T09:40:00+05:30,18350,18403,18345,18403,2060
2026-06-08T09:45:00+05:30,18403,18423,18350,18350,830
2026-06-08T09:50:00+05:30,18346,18448,18331,18429,1288
2026-06-08T09:55:00+05:30,18429,18498,18410,18482,2023
2026-06-08T10:00:00+05:30,18489,18489,18428,18445,850
2026-06-08T10:05:00+05:30,18441,18441,18378,18409,969
2026-06-08T10:10:00+05:30,18409,18424,18356,18360,1257
2026-06-08T10:15:00+05:30,18365,18372,18355,18366,417
2026-06-08T10:20:00+05:30,18366,18373,18321,18325,706
2026-06-08T10:25:00+05:30,18325,18332,18303,18320,874
2026-06-08T10:30:00+05:30,18320,18409,18315,18388,1076
2026-06-08T10:35:00+05:30,18388,18432,18388,18432,878
2026-06-08T10:40:00+05:30,18432,18444,18385,18395,2221
2026-06-08T10:45:00+05:30,18382,18391,18333,18361,1570
2026-06-08T10:50:00+05:30,18361,18392,18353,18384,380
2026-06-08T10:55:00+05:30,18384,18416,18371,18402,439
2026-06-08T11:00:00+05:30,18397,18403,18350,18368,1053
2026-06-08T11:05:00+05:30,18368,18369,18342,18346,509
2026-06-08T11:10:00+05:30,18346,18353,18342,18350,293
2026-06-08T11:15:00+05:30,18342,18360,18333,18338,711
2026-06-08T11:20:00+05:30,18338,18351,18315,18319,634
2026-06-08T11:25:00+05:30,18319,18350,18310,18335,729
2026-06-08T11:30:00+05:30,18332,18341,18315,18333,707
2026-06-08T11:35:00+05:30,18335,18348,18321,18344,366
2026-06-08T11:40:00+05:30,18345,18360,18340,18357,477
2026-06-08T11:45:00+05:30,18355,18371,18350,18355,268
2026-06-08T11:50:00+05:30,18355,18360,18344,18347,231
2026-06-08T11:55:00+05:30,18347,18360,18345,18352,233
2026-06-08T12:00:00+05:30,18352,18356,18321,18329,508
2026-06-08T12:05:00+05:30,18329,18332,18303,18319,979
2026-06-08T12:10:00+05:30,18319,18335,18311,18325,623
2026-06-08T12:15:00+05:30,18325,18325,18300,18301,826
