date,open,high,low,close,volume
2026-06-08T09:15:00+05:30,311.85,313.5,308.5,312.85,114468
2026-06-08T09:20:00+05:30,313.2,314.45,312.8,313.85,33660
2026-06-08T09:25:00+05:30,313.85,314.5,313.55,314.4,29227
2026-06-08T09:30:00+05:30,314.45,314.9,314.2,314.45,41944
2026-06-08T09:35:00+05:30,314.55,314.75,313,313.45,24648
2026-06-08T09:40:00+05:30,313.45,313.8,313,313,20577
2026-06-08T09:45:00+05:30,313.2,313.9,313,313,19715
2026-06-08T09:50:00+05:30,313,313.1,312.05,312.55,19543
2026-06-08T09:55:00+05:30,312.85,313.8,312.55,313.5,20359
2026-06-08T10:00:00+05:30,313.5,313.5,312.9,313.25,18151
2026-06-08T10:05:00+05:30,313.25,313.45,311.8,312.95,30141
2026-06-08T10:10:00+05:30,312.95,313.55,312.5,312.8,19909
2026-06-08T10:15:00+05:30,312.85,313.3,312.55,312.95,11217
2026-06-08T10:20:00+05:30,313.25,313.9,313,313.55,19070
2026-06-08T10:25:00+05:30,313.55,313.75,313.35,313.35,18754
2026-06-08T10:30:00+05:30,313.35,314.1,313.3,313.85,16291
2026-06-08T10:35:00+05:30,314.1,314.35,313.4,313.45,19360
2026-06-08T10:40:00+05:30,313.45,314,313.4,313.6,9262
2026-06-08T10:45:00+05:30,313.8,314,313.6,313.7,11510
2026-06-08T10:50:00+05:30,313.95,314,313.7,313.85,11268
2026-06-08T10:55:00+05:30,314,314.9,313.85,314.65,64324
2026-06-08T11:00:00+05:30,314.65,316,314.6,315.65,70497
2026-06-08T11:05:00+05:30,315.9,315.9,315.25,315.75,21214
2026-06-08T11:10:00+05:30,315.85,315.9,315.45,315.65,18107
2026-06-08T11:15:00+05:30,315.65,316,315.55,315.85,18152
2026-06-08T11:20:00+05:30,315.85,316.35,315.75,316,29895
2026-06-08T11:25:00+05:30,316,316.1,315.25,315.6,34196
2026-06-08T11:30:00+05:30,315.6,315.85,315.15,315.3,15703
2026-06-08T11:35:00+05:30,315.45,315.75,315.2,315.55,16696
2026-06-08T11:40:00+05:30,315.75,315.9,315.45,315.75,20937
2026-06-08T11:45:00+05:30,315.95,316,315.6,315.7,20596
2026-06-08T11:50:00+05:30,315.95,315.95,315.6,315.9,22449
2026-06-08T11:55:00+05:30,315.9,316,315.55,315.6,22571
2026-06-08T12:00:00+05:30,315.6,315.85,315.4,315.6,23238
2026-06-08T12:05:00+05:30,315.6,315.85,315.55,315.55,12763
2026-06-08T12:10:00+05:30,315.7,315.85,315.55,315.85,21282
2026-06-08T12:15:00+05:30,315.65,315.85,314.45,315.65,27412
2026-06-08T12:20:00+05:30,315.65,316.3,315.6,316.25,36849
2026-06-08T12:25:00+05:30,316.25,316.3,316,316.05,21746
2026-06-08T12:30:00+05:30,316.05,316.3,316,316,27128
2026-06-08T12:35:00+05:30,316.05,316.35,316,316.25,19946
2026-06-08T12:40:00+05:30,316.3,316.4,316.05,316.15,20492
2026-06-08T12:45:00+05:30,316.4,316.5,316.05,316.25,16529
2026-06-08T12:50:00+05:30,316.25,316.6,316.2,316.55,15138
2026-06-08T12:55:00+05:30,316.55,316.6,316.3,316.55,20505
2026-06-08T13:00:00+05:30,316.55,316.6,316.3,316.4,15542
2026-06-08T13:05:00+05:30,316.4,316.65,316.3,316.6,18347
2026-06-08T13:10:00+05:30,316.6,316.6,315.9,316.1,19196
2026-06-08T13:15:00+05:30,316.1,316.5,315.9,316.2,15602
2026-06-08T13:20:00+05:30,316.2,316.45,315.9,316.45,16277
2026-06-08T13:25:00+05:30,316.2,316.5,315.6,315.6,22276
2026-06-08T13:30:00+05:30,315.6,316,315.6,315.85,14332
2026-06-08T13:35:00+05:30,316,316.05,315.6,315.85,16297
2026-06-08T13:40:00+05:30,316.05,316.15,315.7,315.75,15978
2026-06-08T13:45:00+05:30,315.95,316,315.4,316,26947
2026-06-08T13:50:00+05:30,316.15,316.45,315.6,315.9,34905
2026-06-08T13:55:00+05:30,315.9,315.95,315.25,315.6,23590
2026-06-08T14:00:00+05:30,315.7,316,315.45,315.7,17817
2026-06-08T14:05:00+05:30,315.95,316.35,315.6,316.3,18678
2026-06-08T14:10:00+05:30,316.3,316.35,314.4,314.4,36792
2026-06-08T14:15:00+05:30,314.45,314.65,313.75,313.95,27271
2026-06-08T14:20:00+05:30,314.2,314.25,313.95,314.25,23805
2026-06-08T14:25:00+05:30,314,314.5,313.95,314.3,26472
2026-06-08T14:30:00+05:30,314.3,314.5,313.65,313.65,31137
