date,open,high,low,close,volume
2026-06-08T09:15:00+05:30,203.44,204.6,202.21,202.8,1393430
2026-06-08T09:20:00+05:30,202.93,203.09,201.86,203.06,1814156
2026-06-08T09:25:00+05:30,203.1,203.35,202.95,203.3,698360
2026-06-08T09:30:00+05:30,203.3,204.14,203.26,204,763052
2026-06-08T09:35:00+05:30,204,204.35,203.95,204.25,519096
2026-06-08T09:40:00+05:30,204.31,204.83,204.18,204.22,728076
2026-06-08T09:45:00+05:30,204.22,204.39,203.95,203.96,1067302
2026-06-08T09:50:00+05:30,204,204.44,203.95,204.44,650856
2026-06-08T09:55:00+05:30,204.56,204.67,204.34,204.66,224740
2026-06-08T10:00:00+05:30,204.67,204.7,204.13,204.41,249386
2026-06-08T10:05:00+05:30,204.33,205.09,204.33,204.88,790166
2026-06-08T10:10:00+05:30,204.88,204.95,204.65,204.65,266051
2026-06-08T10:15:00+05:30,204.74,204.8,204.6,204.66,104261
2026-06-08T10:20:00+05:30,204.66,204.96,204.5,204.56,418876
2026-06-08T10:25:00+05:30,204.59,205,204.53,204.75,322436
2026-06-08T10:30:00+05:30,204.78,204.96,204.65,204.67,251662
2026-06-08T10:35:00+05:30,204.72,204.9,204.63,204.75,346782
2026-06-08T10:40:00+05:30,204.71,204.8,204.51,204.56,307587
2026-06-08T10:45:00+05:30,204.53,205.13,204.45,204.95,397194
2026-06-08T10:50:00+05:30,204.95,205,204.75,204.78,99590
2026-06-08T10:55:00+05:30,204.87,204.99,204.7,204.89,176308
2026-06-08T11:00:00+05:30,204.86,205.21,204.8,205.18,250834
2026-06-08T11:05:00+05:30,205.18,205.2,204.79,204.89,241472
2026-06-08T11:10:00+05:30,204.87,204.95,204.6,204.61,141053
2026-06-08T11:15:00+05:30,204.68,204.7,204.5,204.51,263238
2026-06-08T11:20:00+05:30,204.59,204.7,204.45,204.45,124190
2026-06-08T11:25:00+05:30,204.5,204.67,204.45,204.59,90484
2026-06-08T11:30:00+05:30,204.57,204.68,204.25,204.31,1582349
2026-06-08T11:35:00+05:30,204.34,204.39,204.15,204.25,634446
