date,open,high,low,close,volume
2026-06-08T09:15:00+05:30,364,364.75,361.1,363.8,312588
2026-06-08T09:20:00+05:30,363.9,364.15,362.7,363.3,178748
2026-06-08T09:25:00+05:30,363.25,365.5,362.8,365.1,170823
2026-06-08T09:30:00+05:30,365,365,362.45,363.4,203419
2026-06-08T09:35:00+05:30,363.25,363.5,361.4,361.65,190146
2026-06-08T09:40:00+05:30,361.8,362.4,361.35,362,129281
2026-06-08T09:45:00+05:30,362.1,363.25,361.9,362,138278
2026-06-08T09:50:00+05:30,362,363,361.5,362.95,162537
2026-06-08T09:55:00+05:30,363,363.45,362.5,363.25,86444
2026-06-08T10:00:00+05:30,364.5,364.7,362.15,362.8,313031
2026-06-08T10:05:00+05:30,363,363.5,361.85,362.5,299180
2026-06-08T10:10:00+05:30,362.5,363.05,362.15,362.35,58109
2026-06-08T10:15:00+05:30,362.15,362.85,362,362.7,62380
2026-06-08T10:20:00+05:30,362.3,363.1,362.3,362.8,40167
2026-06-08T10:25:00+05:30,362.8,362.95,362.1,362.95,41939
2026-06-08T10:30:00+05:30,362.95,363.5,362.7,363.35,52744
2026-06-08T10:35:00+05:30,363.35,364.25,363.2,363.7,64517
2026-06-08T10:40:00+05:30,363.6,363.85,363.1,363.4,51215
2026-06-08T10:45:00+05:30,363.2,366.3,362.7,365.6,283303
2026-06-08T10:50:00+05:30,365.6,367.8,365.45,366.3,217344
2026-06-08T10:55:00+05:30,366.35,366.65,365.45,365.95,135266
2026-06-08T11:00:00+05:30,365.95,365.95,365.2,365.75,77443
2026-06-08T11:05:00+05:30,365.55,366.15,365.3,366,77246
2026-06-08T11:10:00+05:30,366,367,365.7,366.65,112745
2026-06-08T11:15:00+05:30,366.75,367.55,366,367.35,70029
2026-06-08T11:20:00+05:30,367.35,367.55,366.8,367,106446
2026-06-08T11:25:00+05:30,367.05,367.65,366.5,366.9,94893
2026-06-08T11:30:00+05:30,366.85,367.4,366.55,366.9,49409
2026-06-08T11:35:00+05:30,366.85,367.35,366.7,366.8,71894
2026-06-08T11:40:00+05:30,366.8,367.4,366.6,367,63704
2026-06-08T11:45:00+05:30,367,367,366.2,366.65,87939
2026-06-08T11:50:00+05:30,366.65,366.8,366.2,366.6,80367
2026-06-08T11:55:00+05:30,366.5,367,366.15,366.4,62111
2026-06-08T12:00:00+05:30,366.4,366.85,366.1,366.55,51961
2026-06-08T12:05:00+05:30,366.2,366.7,366,366.1,55366
2026-06-08T12:10:00+05:30,366.05,366.45,365.65,366.15,106080
2026-06-08T12:15:00+05:30,365.9,366.6,365.8,366.15,140459
2026-06-08T12:20:00+05:30,366.15,366.15,365.3,365.55,80674
2026-06-08T12:25:00+05:30,365.55,365.75,365.2,365.5,98001
2026-06-08T12:30:00+05:30,365.55,366.65,365.4,366.4,102242
2026-06-08T12:35:00+05:30,366.4,367.2,366,366.6,150231
2026-06-08T12:40:00+05:30,366.6,367.15,365.3,365.65,122687
2026-06-08T12:45:00+05:30,365.7,365.7,365.25,365.45,78099
2026-06-08T12:50:00+05:30,365.6,365.65,365.2,365.35,111991
2026-06-08T12:55:00+05:30,365.4,365.5,364.8,364.95,184506
2026-06-08T13:00:00+05:30,365,365.15,364.85,365,90865
2026-06-08T13:05:00+05:30,365,365.1,364.5,364.95,146203
2026-06-08T13:10:00+05:30,364.95,365.65,364.65,365.2,99353
2026-06-08T13:15:00+05:30,365.25,366.1,365.05,366,63380
2026-06-08T13:20:00+05:30,366.15,366.3,365.35,365.5,69169
2026-06-08T13:25:00+05:30,365.75,365.9,364.9,365.45,122198
2026-06-08T13:30:00+05:30,365.4,365.85,365.25,365.4,65403
2026-06-08T13:35:00+05:30,365.4,365.65,365.05,365.4,65075
2026-06-08T13:40:00+05:30,365.4,365.6,364.75,365,114556
2026-06-08T13:45:00+05:30,365,365.2,364.8,365.1,160891
2026-06-08T13:50:00+05:30,365.1,365.35,364.8,365,81321
2026-06-08T13:55:00+05:30,365,365.4,364.8,365.4,67308
2026-06-08T14:00:00+05:30,365.35,365.75,365.25,365.6,25142
2026-06-08T14:05:00+05:30,365.6,365.75,364.8,364.85,190178
2026-06-08T14:10:00+05:30,365.1,365.35,364.85,365.05,37342
2026-06-08T14:15:00+05:30,365.05,365.25,365,365.2,44947
2026-06-08T14:20:00+05:30,365.25,365.45,365,365.25,48848
2026-06-08T14:25:00+05:30,365.25,365.75,365.25,365.35,50155
2026-06-08T14:30:00+05:30,365.35,365.45,365,365.25,73619
2026-06-08T14:35:00+05:30,365.25,365.3,365,365.1,22096
2026-06-08T14:40:00+05:30,365.1,365.2,364.3,364.8,163357
2026-06-08T14:45:00+05:30,364.75,365.75,364.55,365.25,105938
2026-06-08T14:50:00+05:30,365.5,365.5,364.55,365,104484
2026-06-08T14:55:00+05:30,364.8,365,364.5,364.85,179184
2026-06-08T15:00:00+05:30,364.65,365.05,362.65,363.95,321274
2026-06-08T15:05:00+05:30,363.85,364.3,362.9,364.25,306167
2026-06-08T15:10:00+05:30,364.25,364.45,362.65,362.85,250927
2026-06-08T15:15:00+05:30,362.85,362.85,362.05,362.8,212519
2026-06-08T15:20:00+05:30,362.75,362.8,362,362,180385
2026-06-08T15:25:00+05:30,362.05,362.1,360.2,361.15,286249
2026-06-09T09:15:00+05:30,365,366.5,364,365.8,223410
2026-06-09T09:20:00+05:30,366.05,368.3,366.05,367.55,185056
2026-06-09T09:25:00+05:30,367.55,369.85,367.55,368.7,132350
2026-06-09T09:30:00+05:30,368.7,370.3,368.6,369.55,143525
2026-06-09T09:35:00+05:30,369.5,369.7,366.3,367,99518
2026-06-09T09:40:00+05:30,366.8,367,366,366.3,70863
2026-06-09T09:45:00+05:30,366.2,367.25,366,366.3,41817
2026-06-09T09:50:00+05:30,366.3,368.75,366,368.55,59711
2026-06-09T09:55:00+05:30,368.6,369.2,367.3,367.3,80649
2026-06-09T10:00:00+05:30,367.5,367.55,365.6,365.8,92271
2026-06-09T10:05:00+05:30,365.85,366.55,365.5,366.35,103171
