date,open,high,low,close,volume
2026-06-08T09:15:00+05:30,392,392.9,388.2,391.05,416116
2026-06-08T09:20:00+05:30,391.1,391.7,389.95,391.35,201302
2026-06-08T09:25:00+05:30,391.3,391.85,390.7,391.8,133148
2026-06-08T09:30:00+05:30,391.65,392.25,391.5,392.1,89079
2026-06-08T09:35:00+05:30,392.1,392.1,390.05,390.2,139785
2026-06-08T09:40:00+05:30,390.45,391.25,389.6,391,142164
2026-06-08T09:45:00+05:30,391,392,390.3,390.45,55532
2026-06-08T09:50:00+05:30,390.25,390.7,389.6,390.6,96049
2026-06-08T09:55:00+05:30,390.65,391.25,390.45,391.2,59434
2026-06-08T10:00:00+05:30,391.2,391.25,390.05,390.15,80375
2026-06-08T10:05:00+05:30,390.2,390.3,389.55,389.95,51357
2026-06-08T10:10:00+05:30,389.85,390,389.05,389.15,49774
2026-06-08T10:15:00+05:30,389.05,389.6,388.8,389.55,64017
2026-06-08T10:20:00+05:30,389.55,389.9,389.3,389.5,40910
2026-06-08T10:25:00+05:30,389.55,389.55,389.05,389.45,39131
2026-06-08T10:30:00+05:30,389.55,390.6,389.55,390.5,67966
2026-06-08T10:35:00+05:30,390.5,390.55,389.9,389.95,60117
2026-06-08T10:40:00+05:30,389.85,390.1,389.1,389.1,58856
2026-06-08T10:45:00+05:30,389,389,387,387.75,171793
2026-06-08T10:50:00+05:30,387.75,388,387,387.25,96205
2026-06-08T10:55:00+05:30,387.25,387.7,387.05,387.35,78212
2026-06-08T11:00:00+05:30,387.35,387.6,387.1,387.35,70735
2026-06-08T11:05:00+05:30,387.4,389,387.2,388.6,191050
2026-06-08T11:10:00+05:30,388.7,389.45,388.5,389.2,90746
2026-06-08T11:15:00+05:30,389.25,389.5,389.05,389.25,82749
2026-06-08T11:20:00+05:30,389.3,389.45,389.25,389.3,224457
2026-06-08T11:25:00+05:30,389.3,389.3,388.65,388.7,116512
2026-06-08T11:30:00+05:30,388.95,389,388.6,388.9,43088
2026-06-08T11:35:00+05:30,389,389.15,388.25,389.15,61898
2026-06-08T11:40:00+05:30,389.05,389.25,388.35,388.7,63561
2026-06-08T11:45:00+05:30,388.65,389.95,388.6,389.85,77917
2026-06-08T11:50:00+05:30,389.85,390.1,389.4,389.6,90027
2026-06-08T11:55:00+05:30,389.6,389.85,389.1,389.5,64441
2026-06-08T12:00:00+05:30,389.5,389.5,388.9,389.3,42828
2026-06-08T12:05:00+05:30,389.3,389.3,388.7,388.9,41663
2026-06-08T12:10:00+05:30,388.9,389.75,388.85,389.45,59140
2026-06-08T12:15:00+05:30,389.45,389.55,389.1,389.2,40512
2026-06-08T12:20:00+05:30,389.25,389.6,389.15,389.5,42417
2026-06-08T12:25:00+05:30,389.5,389.55,389.2,389.55,42733
2026-06-08T12:30:00+05:30,389.55,389.8,389.3,389.8,47365
2026-06-08T12:35:00+05:30,389.85,389.85,389.5,389.75,43181
2026-06-08T12:40:00+05:30,389.75,390.65,389.55,390.6,82640
2026-06-08T12:45:00+05:30,390.6,390.6,390.2,390.45,45964
2026-06-08T12:50:00+05:30,390.45,391.35,390.35,391.35,108408
2026-06-08T12:55:00+05:30,391.3,391.9,391.25,391.4,119397
2026-06-08T13:00:00+05:30,391.55,392,391.4,391.55,99569
2026-06-08T13:05:00+05:30,391.55,391.9,391.2,391.8,129914
2026-06-08T13:10:00+05:30,391.8,392,391.5,391.6,79286
2026-06-08T13:15:00+05:30,391.6,391.95,391.5,391.9,57793
2026-06-08T13:20:00+05:30,391.9,392,391.75,391.85,56275
2026-06-08T13:25:00+05:30,391.85,391.95,391.25,391.95,216873
2026-06-08T13:30:00+05:30,391.95,391.95,390.65,390.8,111002
2026-06-08T13:35:00+05:30,390.95,391.05,390.65,390.7,68166
2026-06-08T13:40:00+05:30,390.75,390.85,389.8,390,74681
2026-06-08T13:45:00+05:30,390,390.3,389.1,390.2,99914
2026-06-08T13:50:00+05:30,390.2,390.3,389.7,390,47109
2026-06-08T13:55:00+05:30,390,390.1,389.5,389.9,60068
2026-06-08T14:00:00+05:30,389.9,390.5,389.6,389.8,80007
2026-06-08T14:05:00+05:30,389.85,389.9,389.2,389.4,66875
2026-06-08T14:10:00+05:30,389.4,389.55,389.05,389.35,59125
2026-06-08T14:15:00+05:30,389.3,389.7,388.25,389.5,95086
2026-06-08T14:20:00+05:30,389.4,389.45,388.8,388.95,56485
2026-06-08T14:25:00+05:30,388.75,389.05,388.55,388.9,62964
2026-06-08T14:30:00+05:30,388.85,389.35,388.6,388.8,62119
2026-06-08T14:35:00+05:30,388.75,389.45,388.75,389.3,81733
2026-06-08T14:40:00+05:30,389.2,389.7,388.1,389.7,165287
2026-06-08T14:45:00+05:30,389.75,390.15,389.45,390.05,105536
2026-06-08T14:50:00+05:30,390.15,390.7,389.95,390.25,90956
2026-06-08T14:55:00+05:30,390.05,390.9,389.85,390.55,110504
2026-06-08T15:00:00+05:30,390.25,390.25,388.05,388.85,326345
2026-06-08T15:05:00+05:30,388.5,389.8,388.5,389.55,244133
2026-06-08T15:10:00+05:30,389.55,389.55,389,389.2,139410
2026-06-08T15:15:00+05:30,389.2,389.5,389,389.05,132691
2026-06-08T15:20:00+05:30,389.05,389.75,388.15,389.6,283188
2026-06-08T15:25:00+05:30,389.6,389.6,388.5,388.5,185539
2026-06-09T09:15:00+05:30,393.95,395.45,391.9,391.9,487795
2026-06-09T09:20:00+05:30,391.8,392.5,391,391.85,194080
2026-06-09T09:25:00+05:30,391.95,392.9,391.65,392.75,151026
2026-06-09T09:30:00+05:30,393.2,393.55,392.45,392.45,194307
2026-06-09T09:35:00+05:30,392.45,392.8,391.45,392.15,126856
2026-06-09T09:40:00+05:30,392.05,392.3,391.3,391.6,77079
2026-06-09T09:45:00+05:30,391.45,391.8,390.7,390.9,113794
2026-06-09T09:50:00+05:30,390.9,391.75,390.85,391.75,87135
