date,open,high,low,close,volume
2026-06-08T09:15:00+05:30,3325,3349.6,3315.1,3343.2,28283
2026-06-08T09:20:00+05:30,3341.8,3349.3,3340,3343.1,8967
2026-06-08T09:25:00+05:30,3343.7,3362,3341.8,3360,14482
2026-06-08T09:30:00+05:30,3360,3360.5,3342.6,3355.5,43632
2026-06-08T09:35:00+05:30,3355.7,3358.8,3346.4,3350.1,14375
2026-06-08T09:40:00+05:30,3350,3355.6,3347.5,3355,8749
2026-06-08T09:45:00+05:30,3355,3367.3,3355,3361.9,14832
2026-06-08T09:50:00+05:30,3361.6,3367.6,3356,3365.1,11028
2026-06-08T09:55:00+05:30,3365.1,3373.8,3363.9,3371.7,9850
2026-06-08T10:00:00+05:30,3372.3,3376.2,3369.1,3373.9,14326
2026-06-08T10:05:00+05:30,3373.9,3378.9,3370.9,3378.9,8161
2026-06-08T10:10:00+05:30,3376.2,3376.3,3364.4,3368,8175
2026-06-08T10:15:00+05:30,3367,3367,3359.9,3364.2,6276
2026-06-08T10:20:00+05:30,3364.2,3365.3,3357.4,3362,3821
2026-06-08T10:25:00+05:30,3363.2,3365.3,3357.7,3361.5,3678
2026-06-08T10:30:00+05:30,3361.5,3371.2,3360,3368.7,5108
2026-06-08T10:35:00+05:30,3367.5,3369.7,3365,3368.4,4651
2026-06-08T10:40:00+05:30,3368.4,3368.6,3354,3354.6,8192
2026-06-08T10:45:00+05:30,3354,3356.1,3351,3351.5,4849
2026-06-08T10:50:00+05:30,3352.1,3356,3351.4,3353.7,4533
2026-06-08T10:55:00+05:30,3353.7,3358.4,3352.2,3355,6209
2026-06-08T11:00:00+05:30,3355,3359,3352.8,3355.6,5519
2026-06-08T11:05:00+05:30,3355.9,3363.3,3355,3358.7,4020
2026-06-08T11:10:00+05:30,3359,3362.7,3358.6,3360.3,4546
2026-06-08T11:15:00+05:30,3360.3,3364,3360,3361.2,4744
2026-06-08T11:20:00+05:30,3361.2,3361.2,3350,3351.2,7527
2026-06-08T11:25:00+05:30,3349,3349.2,3345,3347.1,15813
2026-06-08T11:30:00+05:30,3347.1,3352,3344.6,3351.2,6316
2026-06-08T11:35:00+05:30,3351.2,3352.7,3348.4,3348.5,5598
2026-06-08T11:40:00+05:30,3348.5,3352.3,3348.4,3350.2,6232
2026-06-08T11:45:00+05:30,3350.2,3355.2,3350,3350.2,5713
2026-06-08T11:50:00+05:30,3350.2,3358,3350,3358,11265
2026-06-08T11:55:00+05:30,3358,3358.1,3345,3345.8,9879
2026-06-08T12:00:00+05:30,3345.8,3347.9,3332.2,3332.2,8941
2026-06-08T12:05:00+05:30,3332.2,3335.2,3330,3334.1,8188
2026-06-08T12:10:00+05:30,3334.1,3341,3334.1,3336.2,4793
2026-06-08T12:15:00+05:30,3336.2,3337.7,3330.5,3333.4,6451
2026-06-08T12:20:00+05:30,3333.4,3335.3,3330.7,3331.9,5115
2026-06-08T12:25:00+05:30,3331.9,3334.3,3330,3332.8,5001
2026-06-08T12:30:00+05:30,3332.8,3335.2,3326,3331.8,9697
2026-06-08T12:35:00+05:30,3331.8,3334.9,3330.3,3331,4068
2026-06-08T12:40:00+05:30,3331,3332.4,3328.7,3332.3,5297
2026-06-08T12:45:00+05:30,3330,3336.2,3328.8,3335.6,5270
2026-06-08T12:50:00+05:30,3335.5,3336.5,3330,3332.3,14310
2026-06-08T12:55:00+05:30,3332.3,3332.5,3329,3330.7,5800
2026-06-08T13:00:00+05:30,3330.7,3336,3330,3331.2,25925
2026-06-08T13:05:00+05:30,3340.1,3346,3337,3338.8,114306
2026-06-08T13:10:00+05:30,3338.8,3341.7,3337.1,3338.2,6252
2026-06-08T13:15:00+05:30,3338.2,3341.7,3338,3341.7,6216
2026-06-08T13:20:00+05:30,3341,3342,3338,3338.7,4807
2026-06-08T13:25:00+05:30,3338.8,3344.8,3338.3,3343.5,5671
2026-06-08T13:30:00+05:30,3343.5,3343.7,3340.4,3342.5,5458
2026-06-08T13:35:00+05:30,3342.5,3343.4,3340.8,3341.9,5103
2026-06-08T13:40:00+05:30,3342.3,3342.3,3339,3339,23385
2026-06-08T13:45:00+05:30,3339.2,3346.3,3337.5,3344.7,27542
2026-06-08T13:50:00+05:30,3345.4,3345.5,3340,3340.9,4012
2026-06-08T13:55:00+05:30,3340.9,3343,3340,3340,4953
2026-06-08T14:00:00+05:30,3340,3343.7,3340,3342.6,3790
2026-06-08T14:05:00+05:30,3342.6,3343.8,3340,3342,4324
2026-06-08T14:10:00+05:30,3342.7,3344.8,3341.1,3342.6,3422
2026-06-08T14:15:00+05:30,3342.6,3345,3341.8,3344.9,4789
2026-06-08T14:20:00+05:30,3343.7,3344.5,3340.2,3341.2,3572
2026-06-08T14:25:00+05:30,3341.2,3342.5,3340,3341.1,4899
2026-06-08T14:30:00+05:30,3341.1,3344,3340,3340,6150
2026-06-08T14:35:00+05:30,3340,3342.3,3339.1,3339.9,9627
2026-06-08T14:40:00+05:30,3339.7,3343.9,3339.1,3343.3,13859
2026-06-08T14:45:00+05:30,3343.3,3345.5,3340.4,3341.4,5295
2026-06-08T14:50:00+05:30,3341.3,3341.3,3336.1,3336.9,18729
2026-06-08T14:55:00+05:30,3336.9,3337.5,3330.9,3334.4,16522
2026-06-08T15:00:00+05:30,3332.9,3332.9,3310,3311.5,23530
2026-06-08T15:05:00+05:30,3310.7,3321.8,3301,3312.6,42587
2026-06-08T15:10:00+05:30,3312.8,3323.5,3308,3320.5,53359
2026-06-08T15:15:00+05:30,3320.5,3322.8,3317,3322.6,24731
2026-06-08T15:20:00+05:30,3322.6,3323,3311,3312.1,51468
2026-06-08T15:25:00+05:30,3312.1,3320,3308.2,3315,20089
2026-06-09T09:15:00+05:30,3357,3359.5,3325,3334.8,43061
2026-06-09T09:20:00+05:30,3334.8,3346,3333.8,3344.9,10175
2026-06-09T09:25:00+05:30,3344.9,3348.3,3339.9,3340.1,9516
2026-06-09T09:30:00+05:30,3340.1,3345.7,3331.7,3332,7178
2026-06-09T09:35:00+05:30,3331.5,3334,3325.9,3332.4,5926
2026-06-09T09:40:00+05:30,3332.4,3337.3,3328.1,3329.2,7629
2026-06-09T09:45:00+05:30,3329.2,3338.1,3328.9,3329.6,3666
2026-06-09T09:50:00+05:30,3329.5,3339.1,3328.9,3338.5,7184
2026-06-09T09:55:00+05:30,3335.9,3340,3335.1,3338.5,3224
2026-06-09T10:00:00+05:30,3338.5,3341.8,3331.9,3331.9,8851
