date,open,high,low,close,volume
2026-06-08T09:15:00+05:30,160.27,161.64,159.9,161.49,406132
2026-06-08T09:20:00+05:30,161.5,162.68,161.12,162.55,352141
2026-06-08T09:25:00+05:30,162.52,164.54,162.29,164.17,653637
2026-06-08T09:30:00+05:30,164.18,165.75,163.88,165.23,1384322
2026-06-08T09:35:00+05:30,165.23,165.29,163.86,164.15,696372
2026-06-08T09:40:00+05:30,164.15,164.39,163.47,163.83,240363
2026-06-08T09:45:00+05:30,163.89,164.15,163,163.06,274466
2026-06-08T09:50:00+05:30,163.06,163.18,162.02,162.2,1207943
2026-06-08T09:55:00+05:30,162.2,162.65,162.1,162.6,221537
2026-06-08T10:00:00+05:30,162.6,162.6,161.8,161.8,173411
2026-06-08T10:05:00+05:30,161.8,161.8,161.1,161.1,290078
2026-06-08T10:10:00+05:30,161.16,161.28,160.4,160.48,374374
2026-06-08T10:15:00+05:30,160.4,160.55,160.06,160.44,387573
2026-06-08T10:20:00+05:30,160.35,160.48,159.52,159.68,327426
2026-06-08T10:25:00+05:30,159.69,159.72,158.76,159.29,351410
2026-06-08T10:30:00+05:30,159.29,159.85,159.28,159.79,129310
2026-06-08T10:35:00+05:30,159.84,160.07,159.79,160.06,96096
2026-06-08T10:40:00+05:30,160.06,160.24,159.43,159.59,252098
2026-06-08T10:45:00+05:30,159.55,159.76,159.35,159.71,77891
2026-06-08T10:50:00+05:30,159.73,159.91,159.57,159.57,73188
2026-06-08T10:55:00+05:30,159.66,160.14,159.54,160.02,70023
2026-06-08T11:00:00+05:30,160.02,160.05,159.78,159.91,48532
2026-06-08T11:05:00+05:30,159.88,159.95,159.71,159.87,31154
2026-06-08T11:10:00+05:30,159.87,159.87,159.49,159.53,48578
2026-06-08T11:15:00+05:30,159.54,159.54,159.2,159.26,99627
2026-06-08T11:20:00+05:30,159.25,159.37,158.96,159.13,77218
2026-06-08T11:25:00+05:30,159.13,159.24,158.97,159.13,53714
2026-06-08T11:30:00+05:30,159.13,159.24,159.07,159.16,49280
2026-06-08T11:35:00+05:30,159.16,159.52,159.07,159.49,47661
2026-06-08T11:40:00+05:30,159.45,159.73,159.39,159.68,39523
2026-06-08T11:45:00+05:30,159.68,159.78,159.54,159.74,41805
2026-06-08T11:50:00+05:30,159.74,159.97,159.7,159.83,55579
2026-06-08T11:55:00+05:30,159.83,160.07,159.78,159.84,54451
2026-06-08T12:00:00+05:30,159.84,159.98,159.72,159.93,61890
2026-06-08T12:05:00+05:30,159.93,159.98,159.78,159.84,33008
2026-06-08T12:10:00+05:30,159.84,160.17,159.84,160.13,79652
2026-06-08T12:15:00+05:30,160.11,160.43,160.11,160.33,102925
2026-06-08T12:20:00+05:30,160.34,160.71,160.34,160.53,68375
2026-06-08T12:25:00+05:30,160.53,160.53,160.3,160.4,23144
2026-06-08T12:30:00+05:30,160.4,160.6,160.36,160.51,43136
2026-06-08T12:35:00+05:30,160.51,160.69,160.41,160.56,41734
2026-06-08T12:40:00+05:30,160.56,160.87,160.52,160.87,41282
2026-06-08T12:45:00+05:30,160.87,160.87,160.58,160.79,37817
2026-06-08T12:50:00+05:30,160.79,161.09,160.71,160.86,127896
2026-06-08T12:55:00+05:30,160.86,160.93,160.62,160.71,44807
2026-06-08T13:00:00+05:30,160.73,161.08,160.68,160.85,79340
2026-06-08T13:05:00+05:30,160.89,161.1,160.77,160.97,91978
2026-06-08T13:10:00+05:30,160.97,161.09,160.77,160.87,69905
2026-06-08T13:15:00+05:30,160.82,160.85,160.58,160.64,115657
2026-06-08T13:20:00+05:30,160.68,161,160.53,160.84,149273
2026-06-08T13:25:00+05:30,160.84,160.96,160.75,160.95,86826
2026-06-08T13:30:00+05:30,160.93,161.22,160.93,161.1,66208
2026-06-08T13:35:00+05:30,161.13,161.3,161.05,161.09,110983
2026-06-08T13:40:00+05:30,161.09,161.14,160.85,160.86,56385
2026-06-08T13:45:00+05:30,160.76,161.08,160.58,161.07,101925
2026-06-08T13:50:00+05:30,161.07,161.08,160.63,160.81,91525
2026-06-08T13:55:00+05:30,160.83,161.04,160.75,161.03,98522
2026-06-08T14:00:00+05:30,161,161.48,160.96,161.4,177392
2026-06-08T14:05:00+05:30,161.52,161.52,161.14,161.31,64165
2026-06-08T14:10:00+05:30,161.24,161.33,161.1,161.22,142459
2026-06-08T14:15:00+05:30,161.11,161.47,161.04,161.43,264233
2026-06-08T14:20:00+05:30,161.41,161.41,161.24,161.24,29489
2026-06-08T14:25:00+05:30,161.24,161.31,161.15,161.24,114937
