date,open,high,low,close,volume
2026-06-08T09:15:00+05:30,193.39,193.89,190.32,190.4,3882369
2026-06-08T09:20:00+05:30,190.39,190.44,188.5,188.6,3431533
2026-06-08T09:25:00+05:30,188.6,188.97,188.3,188.78,2322694
2026-06-08T09:30:00+05:30,188.75,189.22,188.17,188.17,1907480
2026-06-08T09:35:00+05:30,188.22,188.22,187.51,187.86,2219552
2026-06-08T09:40:00+05:30,187.86,187.86,187.08,187.63,1923064
2026-06-08T09:45:00+05:30,187.63,188.2,187.35,187.38,1719140
2026-06-08T09:50:00+05:30,187.39,188.24,187.13,188.1,1362727
2026-06-08T09:55:00+05:30,188.08,188.32,187.9,188.2,1420728
2026-06-08T10:00:00+05:30,188.16,188.53,187.94,188.14,831561
2026-06-08T10:05:00+05:30,188.02,188.2,187.8,187.9,1054811
2026-06-08T10:10:00+05:30,187.9,188.15,187.71,187.8,721301
2026-06-08T10:15:00+05:30,187.73,187.8,187.32,187.7,1006878
2026-06-08T10:20:00+05:30,187.7,187.72,187.4,187.49,843357
2026-06-08T10:25:00+05:30,187.47,187.52,187.01,187.05,1315099
2026-06-08T10:30:00+05:30,187.09,187.56,187.03,187.41,930727
2026-06-08T10:35:00+05:30,187.41,187.68,187.34,187.62,423952
2026-06-08T10:40:00+05:30,187.62,187.9,187.58,187.58,623890
2026-06-08T10:45:00+05:30,187.56,187.61,187.2,187.23,645603
2026-06-08T10:50:00+05:30,187.22,187.37,187.19,187.29,440940
2026-06-08T10:55:00+05:30,187.24,187.27,187.02,187.18,660217
2026-06-08T11:00:00+05:30,187.18,187.25,187.1,187.12,283651
2026-06-08T11:05:00+05:30,187.17,187.19,187,187,537477
2026-06-08T11:10:00+05:30,187.02,187.1,186.18,186.33,2370345
2026-06-08T11:15:00+05:30,186.27,186.37,185.81,186.1,1385316
2026-06-08T11:20:00+05:30,186.03,186.2,185.75,185.83,840710
2026-06-08T11:25:00+05:30,185.85,185.97,185.61,185.65,930409
2026-06-08T11:30:00+05:30,185.7,186.1,185.55,185.77,1416649
2026-06-08T11:35:00+05:30,185.79,185.9,185.51,185.63,694911
2026-06-08T11:40:00+05:30,185.61,185.69,185.5,185.56,565242
2026-06-08T11:45:00+05:30,185.56,185.89,185.4,185.58,825589
2026-06-08T11:50:00+05:30,185.58,185.58,185.3,185.35,805789
2026-06-08T11:55:00+05:30,185.32,185.68,185.25,185.4,541808
2026-06-08T12:00:00+05:30,185.4,185.54,185.14,185.45,491595
2026-06-08T12:05:00+05:30,185.45,185.75,185.35,185.62,541410
2026-06-08T12:10:00+05:30,185.63,185.68,185.44,185.51,323235
2026-06-08T12:15:00+05:30,185.48,185.61,185.45,185.51,320661
2026-06-08T12:20:00+05:30,185.51,185.65,185.5,185.6,288660
2026-06-08T12:25:00+05:30,185.55,185.6,185.4,185.44,356665
2026-06-08T12:30:00+05:30,185.44,185.44,185.2,185.26,439709
2026-06-08T12:35:00+05:30,185.3,185.3,185.06,185.24,795572
2026-06-08T12:40:00+05:30,185.24,185.59,185.11,185.47,480731
2026-06-08T12:45:00+05:30,185.45,185.59,185.26,185.34,439095
2026-06-08T12:50:00+05:30,185.34,185.58,185.27,185.34,344467
2026-06-08T12:55:00+05:30,185.41,185.44,185.25,185.33,333032
2026-06-08T13:00:00+05:30,185.34,185.36,184.63,184.75,2019156
2026-06-08T13:05:00+05:30,184.74,184.86,184.2,184.31,1067375
2026-06-08T13:10:00+05:30,184.38,184.4,184.3,184.35,501634
